日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,国机精工,1002046,11.43,11.50,11.20,11.30,-0.32,-2.75,"53,034","6,014",2.58,1.56
2017-06-29,国机精工,1002046,11.30,11.97,11.21,11.62,0.36,3.20,"126,470","14,661",6.75,3.71
2017-06-21,国机精工,1002046,11.02,11.50,11.01,11.26,0.27,2.46,"98,654","11,105",4.46,2.90
2017-06-20,国机精工,1002046,10.98,11.36,10.82,10.99,-0.08,-0.72,"126,437","14,042",4.88,3.71
2017-06-19,国机精工,1002046,10.25,11.37,10.24,11.07,0.73,7.06,"115,962","12,609",10.93,3.41
2017-06-16,国机精工,1002046,10.32,10.46,10.15,10.34,-0.03,-0.29,"41,058","4,222",2.99,1.21
2017-06-15,国机精工,1002046,10.15,10.54,10.11,10.38,0.17,1.67,"54,585","5,642",4.21,1.60
2017-06-14,国机精工,1002046,9.99,10.28,9.94,10.21,0.21,2.10,"42,956","4,353",3.40,1.26
2017-06-13,国机精工,1002046,9.74,10.00,9.70,10.00,0.24,2.46,"22,585","2,234",3.07,0.66
2017-06-12,国机精工,1002046,10.08,10.08,9.76,9.76,-0.42,-4.13,"29,358","2,918",3.14,0.86
2017-06-09,国机精工,1002046,10.12,10.20,10.05,10.18,0.02,0.20,"28,448","2,881",1.48,0.84
2017-06-08,国机精工,1002046,10.23,10.34,10.07,10.16,-0.06,-0.59,"28,632","2,907",2.64,0.84
2017-06-07,国机精工,1002046,9.99,10.29,9.99,10.22,0.25,2.51,"33,802","3,426",3.01,0.99
2017-06-06,国机精工,1002046,9.87,9.98,9.80,9.97,0.10,1.01,"22,611","2,244",1.82,0.66
2017-06-05,国机精工,1002046,9.80,9.95,9.77,9.87,0.10,1.02,"18,750","1,848",1.84,0.55
2017-06-02,国机精工,1002046,9.58,9.88,9.41,9.77,0.12,1.24,"27,588","2,663",4.87,0.81
2017-06-01,国机精工,1002046,9.85,9.92,9.65,9.65,-0.23,-2.33,"32,864","3,194",2.73,0.97
2017-05-31,国机精工,1002046,10.09,10.39,9.85,9.88,-0.18,-1.79,"36,733","3,680",5.37,1.08
2017-05-26,国机精工,1002046,9.99,10.30,9.93,10.06,0.16,1.62,"38,899","3,942",3.74,1.14
2017-05-25,国机精工,1002046,9.88,9.93,9.62,9.90,0.05,0.51,"29,764","2,924",3.15,0.87
2017-05-24,国机精工,1002046,9.71,9.85,9.35,9.85,0.13,1.34,"38,705","3,720",5.14,1.14
2017-05-23,国机精工,1002046,10.46,10.55,9.70,9.72,-0.74,-7.07,"64,972","6,484",8.13,1.91
2017-05-22,国机精工,1002046,10.80,10.92,10.40,10.46,-0.42,-3.86,"37,930","4,048",4.78,1.11
2017-05-19,国机精工,1002046,11.06,11.15,10.83,10.88,-0.20,-1.81,"31,699","3,489",2.89,0.93
2017-05-18,国机精工,1002046,11.07,11.23,10.95,11.08,-0.16,-1.42,"41,335","4,586",2.49,1.21
2017-05-17,国机精工,1002046,11.15,11.69,11.07,11.24,0.09,0.81,"61,561","7,007",5.56,1.81
2017-05-16,国机精工,1002046,10.98,11.15,10.70,11.15,0.28,2.58,"44,260","4,827",4.14,1.30
2017-05-15,国机精工,1002046,11.15,11.17,10.81,10.87,-0.15,-1.36,"27,975","3,084",3.27,0.82
2017-05-12,国机精工,1002046,11.08,11.13,10.97,11.02,-0.04,-0.36,"26,802","2,959",1.45,0.79
2017-05-11,国机精工,1002046,10.80,11.08,10.58,11.06,0.22,2.03,"45,238","4,909",4.61,1.33
2017-05-10,国机精工,1002046,11.13,11.29,10.80,10.84,-0.29,-2.61,"38,244","4,236",4.40,1.12
2017-05-09,国机精工,1002046,10.81,11.18,10.71,11.13,0.30,2.77,"44,692","4,913",4.34,1.31
2017-05-08,国机精工,1002046,11.68,11.68,10.80,10.83,-0.92,-7.83,"71,794","8,063",7.49,2.11
2017-05-05,国机精工,1002046,12.39,12.45,11.75,11.75,-0.72,-5.77,"74,461","8,994",5.61,2.19
2017-05-04,国机精工,1002046,12.40,12.55,12.23,12.47,-0.10,-0.80,"69,707","8,637",2.55,2.05
2017-05-03,国机精工,1002046,12.10,13.00,12.02,12.57,0.47,3.88,"111,439","13,951",8.10,3.27
2017-05-02,国机精工,1002046,12.22,12.30,12.01,12.10,-0.12,-0.98,"47,172","5,730",2.37,1.39
2017-04-28,国机精工,1002046,12.23,12.38,12.14,12.22,-0.01,-0.08,"54,435","6,670",1.96,1.60
2017-04-27,国机精工,1002046,12.11,12.23,11.62,12.23,0.11,0.91,"75,315","8,998",5.03,2.21
2017-04-26,国机精工,1002046,12.09,12.21,11.93,12.12,0.05,0.41,"52,630","6,356",2.32,1.55
2017-04-25,国机精工,1002046,12.03,12.27,12.00,12.07,0.04,0.33,"49,603","6,016",2.24,1.46
2017-04-24,国机精工,1002046,12.10,12.29,11.70,12.03,-0.31,-2.51,"69,645","8,407",4.78,2.05
2017-04-21,国机精工,1002046,13.37,13.59,12.03,12.34,-1.01,-7.57,"146,454","18,718",11.69,4.30
2017-04-20,国机精工,1002046,13.56,13.78,13.13,13.35,-0.29,-2.13,"70,091","9,416",4.77,2.06
2017-04-19,国机精工,1002046,13.90,14.20,13.40,13.64,-0.61,-4.28,"103,036","14,160",5.61,3.03
2017-04-18,国机精工,1002046,13.98,14.67,13.98,14.25,0.32,2.30,"116,403","16,770",4.95,3.42
2017-04-17,国机精工,1002046,14.10,14.10,13.06,13.93,-0.23,-1.62,"114,752","15,820",7.34,3.37
2017-04-14,国机精工,1002046,14.75,14.91,14.15,14.16,-0.56,-3.80,"132,477","19,180",5.16,3.89
2017-04-13,国机精工,1002046,14.50,14.98,14.50,14.72,0.10,0.68,"107,524","15,857",3.28,3.16
2017-04-12,国机精工,1002046,15.39,15.60,14.57,14.62,-0.93,-5.98,"206,177","31,254",6.62,6.05
2017-04-11,国机精工,1002046,15.23,15.75,14.95,15.55,0.35,2.30,"355,309","54,638",5.26,10.43
2017-04-10,国机精工,1002046,14.50,15.20,14.28,15.20,0.61,4.18,"232,395","34,615",6.31,6.82
