日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,宝鼎科技,1002552,16.14,16.42,15.61,15.78,-0.24,-1.50,"59,379","9,490",5.06,1.98
2017-03-30,宝鼎科技,1002552,17.00,17.19,15.97,16.02,-1.28,-7.40,"111,493","18,203",7.05,3.72
2017-03-29,宝鼎科技,1002552,16.85,17.77,16.75,17.30,-0.03,-0.17,"123,199","21,277",5.89,4.11
2017-03-28,宝鼎科技,1002552,19.15,19.16,17.28,17.33,-1.87,-9.74,"219,556","39,242",9.79,7.32
2017-03-27,宝鼎科技,1002552,18.28,19.59,18.28,19.20,0.85,4.63,"281,818","54,076",7.14,9.39
2017-03-24,宝鼎科技,1002552,18.60,18.60,18.02,18.35,-0.55,-2.91,"118,131","21,625",3.07,3.94
2017-03-23,宝鼎科技,1002552,18.81,19.07,18.60,18.90,0.04,0.21,"218,485","41,204",2.49,7.28
2017-03-22,宝鼎科技,1002552,18.32,18.99,18.10,18.86,0.19,1.02,"147,218","27,488",4.77,4.91
2017-03-21,宝鼎科技,1002552,18.27,19.79,18.25,18.67,0.27,1.47,"363,643","69,336",8.37,12.12
2017-03-20,宝鼎科技,1002552,18.01,18.50,17.91,18.40,0.20,1.10,"153,460","28,020",3.24,5.12
2017-03-17,宝鼎科技,1002552,16.79,18.39,16.55,18.20,1.48,8.85,"298,136","53,390",11.00,9.94
2017-03-16,宝鼎科技,1002552,16.60,16.80,16.57,16.72,0.12,0.72,"47,164","7,872",1.39,1.57
2017-03-15,宝鼎科技,1002552,16.84,16.85,16.41,16.60,-0.25,-1.48,"60,066","9,954",2.61,2.00
2017-03-14,宝鼎科技,1002552,17.08,17.15,16.83,16.85,-0.23,-1.35,"47,900","8,137",1.87,1.60
2017-03-13,宝鼎科技,1002552,17.43,17.43,16.98,17.08,-0.30,-1.73,"57,937","9,907",2.59,1.93
2017-03-10,宝鼎科技,1002552,17.20,17.56,17.18,17.38,0.10,0.58,"59,995","10,462",2.20,2.00
2017-03-09,宝鼎科技,1002552,17.40,17.48,17.12,17.28,-0.27,-1.54,"54,724","9,457",2.05,1.82
2017-03-08,宝鼎科技,1002552,17.20,17.58,17.11,17.55,0.40,2.33,"89,057","15,488",2.74,2.97
2017-03-07,宝鼎科技,1002552,17.13,17.21,17.02,17.15,0.04,0.23,"41,773","7,154",1.11,1.39
