日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-09-30,怡合达,1301029,81.98,85.03,81.57,83.85,2.79,3.44,"5,611","4,715",4.27,1.66
2021-09-29,怡合达,1301029,85.00,85.45,81.00,81.06,-4.72,-5.50,"9,001","7,480",5.19,2.66
2021-09-28,怡合达,1301029,86.19,87.77,85.60,85.78,-1.43,-1.64,"4,765","4,120",2.49,1.41
2021-09-27,怡合达,1301029,88.01,91.99,86.33,87.21,-2.29,-2.56,"10,184","9,044",6.32,3.01
2021-09-24,怡合达,1301029,87.83,89.57,85.40,89.50,1.70,1.94,"6,981","6,079",4.75,2.07
2021-09-23,怡合达,1301029,88.08,88.69,87.42,87.80,0.01,0.01,"2,292","2,015",1.45,0.68
2021-09-22,怡合达,1301029,87.35,90.30,87.20,87.79,-1.38,-1.55,"3,587","3,167",3.48,1.06
2021-09-17,怡合达,1301029,90.74,92.60,88.89,89.17,-1.57,-1.73,"6,419","5,815",4.09,1.90
2021-09-16,怡合达,1301029,90.00,92.46,87.94,90.74,-0.19,-0.21,"9,538","8,612",4.97,2.82
2021-09-15,怡合达,1301029,91.67,91.91,86.57,90.93,-0.77,-0.84,"17,601","15,632",5.82,5.21
2021-09-14,怡合达,1301029,87.38,92.90,87.38,91.70,4.42,5.06,"13,940","12,678",6.32,4.12
2021-09-13,怡合达,1301029,93.43,93.53,86.73,87.28,-6.84,-7.27,"18,926","16,857",7.22,5.60
2021-09-10,怡合达,1301029,92.00,94.18,90.48,94.12,0.23,0.25,"8,878","8,227",3.94,2.63
2021-09-09,怡合达,1301029,93.40,94.71,86.73,93.89,0.36,0.38,"27,748","25,038",8.53,8.21
2021-09-08,怡合达,1301029,93.90,95.00,92.51,93.53,0.02,0.02,"6,914","6,482",2.66,2.05
2021-09-07,怡合达,1301029,95.30,96.31,92.91,93.51,-1.74,-1.83,"11,135","10,452",3.57,3.29
2021-09-06,怡合达,1301029,94.04,96.14,92.90,95.25,1.65,1.76,"7,174","6,821",3.46,2.12
2021-09-03,怡合达,1301029,94.69,96.46,92.00,93.60,-1.09,-1.15,"9,519","8,962",4.71,2.82
2021-09-02,怡合达,1301029,95.00,96.90,92.90,94.69,-0.71,-0.74,"12,893","12,140",4.19,3.81
2021-09-01,怡合达,1301029,96.30,97.96,92.81,95.40,-0.56,-0.58,"12,770","12,223",5.37,3.78
2021-08-31,怡合达,1301029,97.03,98.84,92.71,95.96,-2.17,-2.21,"28,649","27,182",6.25,8.47
2021-08-30,怡合达,1301029,99.10,103.25,96.66,98.13,-3.32,-3.27,"35,841","35,577",6.50,10.60
2021-08-27,怡合达,1301029,108.30,111.80,101.00,101.45,-6.85,-6.33,"22,651","23,637",9.97,6.70
2021-08-26,怡合达,1301029,103.00,114.42,101.97,108.30,4.61,4.45,"19,181","20,780",12.01,5.67
