日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,昊志机电,1300503,18.11,18.75,18.11,18.37,0.32,1.77,"23,580","4,347",3.55,2.27
2017-09-28,昊志机电,1300503,18.43,18.43,18.02,18.05,-0.38,-2.06,"20,883","3,802",2.22,2.01
2017-09-27,昊志机电,1300503,18.38,18.78,18.15,18.43,0.07,0.38,"24,815","4,570",3.43,2.38
2017-09-26,昊志机电,1300503,18.96,19.18,18.07,18.36,-0.76,-3.97,"44,537","8,215",5.81,4.28
2017-09-25,昊志机电,1300503,20.19,20.20,19.10,19.12,-1.01,-5.02,"38,042","7,488",5.46,3.65
2017-09-22,昊志机电,1300503,20.16,20.55,20.05,20.13,-0.24,-1.18,"41,062","8,310",2.45,3.94
2017-09-21,昊志机电,1300503,19.67,20.58,19.61,20.37,0.64,3.24,"65,201","13,179",4.92,6.26
2017-09-20,昊志机电,1300503,19.60,19.93,19.60,19.73,0.09,0.46,"27,954","5,522",1.68,2.69
2017-09-19,昊志机电,1300503,20.07,20.07,19.61,19.64,-0.36,-1.80,"24,259","4,793",2.30,2.33
2017-09-18,昊志机电,1300503,19.88,20.10,19.73,20.00,0.07,0.35,"27,750","5,528",1.86,2.67
2017-09-15,昊志机电,1300503,19.77,19.96,19.40,19.93,0.13,0.66,"38,056","7,502",2.83,3.66
2017-09-14,昊志机电,1300503,20.58,20.64,19.73,19.80,-0.79,-3.84,"62,080","12,461",4.42,5.96
2017-09-13,昊志机电,1300503,20.29,20.59,20.04,20.59,0.30,1.48,"52,182","10,588",2.71,5.01
2017-09-12,昊志机电,1300503,20.77,20.95,20.28,20.29,-0.48,-2.31,"75,088","15,409",3.23,7.21
2017-09-11,昊志机电,1300503,20.60,21.15,20.31,20.77,-0.07,-0.34,"62,626","12,994",4.03,6.02
2017-09-08,昊志机电,1300503,21.58,21.69,20.30,20.84,-0.62,-2.89,"105,879","22,232",6.48,10.17
2017-09-07,昊志机电,1300503,20.20,22.50,19.99,21.46,0.76,3.67,"196,041","40,950",12.13,18.83
2017-09-06,昊志机电,1300503,19.25,20.71,19.25,20.70,1.87,9.93,"204,192","41,027",7.75,19.62
2017-09-01,昊志机电,1300503,18.95,19.12,18.71,18.83,-0.15,-0.79,"38,099","7,184",2.16,3.66
2017-08-31,昊志机电,1300503,18.72,18.99,18.72,18.98,0.18,0.96,"36,914","6,971",1.44,3.55
2017-08-30,昊志机电,1300503,18.59,18.84,18.53,18.80,0.12,0.64,"30,286","5,660",1.66,2.91
2017-08-29,昊志机电,1300503,18.80,18.90,18.42,18.68,0.00,0.00,"33,196","6,172",2.57,3.19
2017-08-28,昊志机电,1300503,18.46,18.76,18.35,18.68,0.24,1.30,"37,912","7,058",2.22,3.64
2017-08-25,昊志机电,1300503,18.03,18.52,18.03,18.44,0.36,1.99,"32,000","5,878",2.71,3.07
2017-08-24,昊志机电,1300503,18.35,18.95,18.03,18.08,-0.14,-0.77,"31,632","5,796",5.05,3.04
2017-08-23,昊志机电,1300503,18.19,18.32,17.91,18.22,0.02,0.11,"17,447","3,157",2.25,1.68
2017-08-22,昊志机电,1300503,18.20,18.31,17.92,18.20,0.00,0.00,"19,327","3,498",2.14,1.86
2017-08-21,昊志机电,1300503,18.08,18.37,18.08,18.20,0.03,0.17,"15,100","2,747",1.60,1.45
2017-08-18,昊志机电,1300503,18.15,18.38,18.10,18.17,-0.25,-1.36,"16,606","3,022",1.52,1.60
2017-08-17,昊志机电,1300503,18.20,18.48,18.10,18.42,0.24,1.32,"28,613","5,237",2.09,2.75
2017-08-16,昊志机电,1300503,17.92,18.25,17.78,18.18,0.32,1.79,"34,862","6,302",2.63,3.35
2017-08-15,昊志机电,1300503,18.23,18.39,17.77,17.86,-0.37,-2.03,"23,871","4,301",3.40,2.29
2017-08-14,昊志机电,1300503,17.98,18.48,17.95,18.23,0.25,1.39,"16,151","2,942",2.95,1.55
2017-08-11,昊志机电,1300503,18.47,18.47,17.91,17.98,-0.43,-2.34,"16,539","3,002",3.04,1.59
2017-08-10,昊志机电,1300503,18.57,18.64,18.34,18.41,-0.15,-0.81,"18,500","3,418",1.62,1.78
2017-08-09,昊志机电,1300503,18.69,18.70,18.50,18.56,-0.01,-0.05,"11,266","2,093",1.08,1.08
2017-08-08,昊志机电,1300503,18.50,18.83,18.46,18.57,-0.05,-0.27,"13,275","2,470",1.99,1.28
2017-08-07,昊志机电,1300503,18.76,18.92,18.31,18.62,0.07,0.38,"12,026","2,248",3.29,1.16
2017-08-04,昊志机电,1300503,18.51,18.77,18.43,18.55,-0.05,-0.27,"18,722","3,471",1.83,1.80
2017-08-03,昊志机电,1300503,18.70,18.92,18.50,18.60,-0.08,-0.43,"24,210","4,543",2.25,2.33
2017-08-02,昊志机电,1300503,18.92,18.95,18.55,18.68,-0.22,-1.16,"26,723","5,010",2.12,2.57
2017-08-01,昊志机电,1300503,18.99,19.00,18.50,18.90,0.05,0.27,"25,095","4,687",2.65,2.41
2017-07-31,昊志机电,1300503,18.50,18.98,18.35,18.85,0.23,1.24,"41,975","7,899",3.38,4.03
2017-07-28,昊志机电,1300503,18.82,18.85,18.40,18.62,-0.38,-2.00,"54,935","10,230",2.37,5.28
2017-07-27,昊志机电,1300503,18.64,19.30,18.47,19.00,0.27,1.44,"120,433","22,804",4.43,11.57
2017-07-26,昊志机电,1300503,18.03,18.75,18.03,18.73,0.50,2.74,"52,178","9,694",3.95,5.01
2017-07-25,昊志机电,1300503,17.74,18.38,17.71,18.23,0.41,2.30,"23,316","4,221",3.76,2.24
2017-07-24,昊志机电,1300503,17.52,17.86,17.32,17.82,0.30,1.71,"23,509","4,153",3.08,2.26
2017-07-21,昊志机电,1300503,17.38,17.64,17.31,17.52,0.11,0.63,"15,903","2,781",1.90,1.53
2017-07-20,昊志机电,1300503,17.45,17.83,17.38,17.41,0.03,0.17,"22,701","3,983",2.59,2.18
2017-07-19,昊志机电,1300503,17.01,17.43,17.01,17.38,0.18,1.05,"26,453","4,566",2.44,2.54
2017-07-18,昊志机电,1300503,17.11,17.30,16.70,17.20,0.09,0.53,"34,826","5,942",3.51,3.35
2017-07-17,昊志机电,1300503,17.85,18.21,16.46,17.11,-1.07,-5.89,"32,550","5,603",9.63,3.13
2017-07-14,昊志机电,1300503,18.37,18.48,18.13,18.18,-0.25,-1.36,"22,023","4,022",1.90,2.12
2017-07-13,昊志机电,1300503,18.79,18.89,17.89,18.43,-0.36,-1.92,"57,173","10,492",5.32,5.49
2017-07-12,昊志机电,1300503,18.75,18.93,18.35,18.79,-0.14,-0.74,"36,751","6,848",3.06,3.53
2017-07-11,昊志机电,1300503,18.54,19.11,18.26,18.93,0.49,2.66,"48,619","9,103",4.61,4.67
2017-07-10,昊志机电,1300503,18.60,18.66,18.16,18.44,-0.25,-1.34,"37,887","6,978",2.68,3.64
2017-07-07,昊志机电,1300503,18.72,19.15,18.64,18.69,-0.03,-0.16,"50,574","9,539",2.72,4.86
2017-07-06,昊志机电,1300503,18.40,18.76,18.18,18.72,0.41,2.24,"55,470","10,299",3.17,5.33
2017-07-05,昊志机电,1300503,17.81,18.43,17.81,18.31,0.13,0.72,"28,842","5,247",3.41,2.77
2017-07-04,昊志机电,1300503,18.23,18.32,18.05,18.18,-0.14,-0.76,"20,163","3,664",1.47,1.94
2017-07-03,昊志机电,1300503,18.02,18.39,18.02,18.32,0.31,1.72,"22,930","4,170",2.05,2.20
2017-03-31,昊志机电,1300503,64.00,64.22,61.20,61.21,2.67,4.56,"40,848","25,442",5.16,9.81
2017-03-30,昊志机电,1300503,57.31,59.50,57.31,58.54,0.42,0.72,"12,609","7,385",3.77,3.03
2017-03-29,昊志机电,1300503,60.70,60.80,57.05,58.12,-2.18,-3.62,"14,587","8,575",6.22,3.50
2017-03-28,昊志机电,1300503,59.78,60.68,59.28,60.30,0.52,0.87,"12,288","7,381",2.34,2.95
2017-03-27,昊志机电,1300503,60.76,61.20,59.62,59.78,-0.97,-1.60,"14,759","8,876",2.60,3.54
2017-03-24,昊志机电,1300503,63.00,63.45,60.30,60.75,-1.84,-2.94,"28,191","17,233",5.03,6.77
2017-03-23,昊志机电,1300503,61.10,62.59,60.51,62.59,1.49,2.44,"20,466","12,625",3.40,4.92
2017-03-22,昊志机电,1300503,61.05,61.27,60.11,61.10,-0.19,-0.31,"13,058","7,939",1.89,3.14
2017-03-21,昊志机电,1300503,61.13,61.73,60.50,61.29,0.14,0.23,"13,160","8,041",2.01,3.16
2017-03-20,昊志机电,1300503,62.12,63.19,60.00,61.15,-3.82,-5.88,"31,149","19,095",4.91,7.48
2017-03-17,昊志机电,1300503,63.90,68.48,63.60,64.97,1.10,1.72,"32,940","21,698",7.64,7.91
2017-03-16,昊志机电,1300503,62.89,64.50,62.80,63.87,1.30,2.08,"19,332","12,296",2.72,4.64
2017-03-15,昊志机电,1300503,63.63,63.63,62.23,62.57,-1.06,-1.67,"13,702","8,601",2.20,3.29
2017-03-14,昊志机电,1300503,63.00,64.02,62.63,63.63,0.87,1.39,"18,578","11,774",2.21,4.46
2017-03-13,昊志机电,1300503,61.51,63.27,60.70,62.76,0.80,1.29,"17,808","11,118",4.15,4.28
2017-03-10,昊志机电,1300503,61.34,62.43,60.55,61.96,0.71,1.16,"13,717","8,453",3.07,3.29
2017-03-09,昊志机电,1300503,61.50,62.59,60.75,61.25,-0.80,-1.29,"12,752","7,855",2.97,5.10
2017-03-08,昊志机电,1300503,63.10,63.20,61.68,62.05,-1.73,-2.71,"18,067","11,218",2.38,7.23
2017-03-07,昊志机电,1300503,61.50,64.78,61.46,63.78,2.32,3.77,"29,127","18,521",5.40,11.65
2017-03-06,昊志机电,1300503,60.29,61.49,59.82,61.46,1.29,2.14,"18,899","11,546",2.78,7.56
2017-03-03,昊志机电,1300503,59.59,60.69,58.50,60.17,0.42,0.70,"10,689","6,380",3.67,4.28
2017-03-02,昊志机电,1300503,61.25,61.65,59.48,59.75,-1.50,-2.45,"13,629","8,193",3.54,5.45
2017-03-01,昊志机电,1300503,62.25,62.25,60.88,61.25,0.22,0.36,"10,448","6,421",2.24,4.18
2017-02-28,昊志机电,1300503,60.40,61.12,59.95,61.03,0.82,1.36,"7,175","4,332",1.94,2.87
2017-02-27,昊志机电,1300503,60.86,61.78,60.20,60.21,-1.00,-1.63,"7,441","4,517",2.58,2.98
2017-02-24,昊志机电,1300503,60.66,61.63,60.11,61.21,0.58,0.96,"9,066","5,539",2.51,3.63
2017-02-23,昊志机电,1300503,60.80,60.88,59.68,60.63,0.11,0.18,"10,753","6,485",1.98,4.30
2017-02-22,昊志机电,1300503,59.51,62.80,59.49,60.52,1.22,2.06,"17,262","10,589",5.58,6.90
2017-02-21,昊志机电,1300503,58.81,59.49,58.38,59.30,0.59,1.00,"9,062","5,357",1.89,3.62
2017-02-20,昊志机电,1300503,58.16,59.40,57.50,58.71,0.44,0.76,"9,158","5,345",3.26,3.66
2017-02-17,昊志机电,1300503,61.00,61.20,58.01,58.27,-2.53,-4.16,"14,287","8,458",5.25,5.71
2017-02-16,昊志机电,1300503,61.00,61.50,60.25,60.80,-0.60,-0.98,"7,624","4,633",2.04,3.05
2017-02-15,昊志机电,1300503,61.50,62.44,61.06,61.40,-0.50,-0.81,"11,297","6,991",2.23,4.52
2017-02-14,昊志机电,1300503,62.00,62.29,61.50,61.90,0.10,0.16,"7,894","4,882",1.28,3.16
2017-02-13,昊志机电,1300503,60.78,62.49,60.21,61.80,0.81,1.33,"11,994","7,401",3.74,4.80
2017-02-10,昊志机电,1300503,62.77,63.50,60.90,60.99,-1.74,-2.77,"13,799","8,504",4.14,5.52
2017-02-09,昊志机电,1300503,60.00,66.00,60.00,62.73,2.53,4.20,"23,279","14,745",9.97,9.31
2017-02-08,昊志机电,1300503,60.08,60.45,59.12,60.20,-0.08,-0.13,"11,777","7,042",2.21,4.71
2017-02-07,昊志机电,1300503,60.48,60.50,59.13,60.28,-0.47,-0.77,"11,049","6,612",2.26,4.42
2017-02-06,昊志机电,1300503,59.88,60.75,59.03,60.75,1.61,2.72,"10,992","6,581",2.91,4.40
2017-02-03,昊志机电,1300503,60.00,60.15,58.89,59.14,-0.50,-0.84,"5,357","3,174",2.11,2.14
2017-01-26,昊志机电,1300503,59.90,60.98,58.86,59.64,0.09,0.15,"10,205","6,064",3.56,4.08
2017-01-25,昊志机电,1300503,58.90,59.86,58.67,59.55,1.08,1.85,"12,426","7,375",2.04,4.97
2017-01-24,昊志机电,1300503,59.06,59.97,58.00,58.47,-0.97,-1.63,"8,909","5,230",3.31,3.56
2017-01-23,昊志机电,1300503,58.80,60.50,58.35,59.44,1.03,1.76,"13,145","7,825",3.68,5.26
2017-01-20,昊志机电,1300503,57.00,59.31,57.00,58.41,1.01,1.76,"12,616","7,387",4.02,5.05
2017-01-19,昊志机电,1300503,57.00,59.38,56.00,57.40,0.28,0.49,"14,299","8,314",5.92,5.72
2017-01-18,昊志机电,1300503,60.33,60.35,57.00,57.12,-4.08,-6.67,"14,982","8,777",5.47,5.99
2017-01-17,昊志机电,1300503,59.80,62.80,55.00,61.20,0.95,1.58,"22,896","13,636",12.95,9.16
2017-01-16,昊志机电,1300503,65.01,66.80,60.21,60.25,-6.65,-9.94,"20,490","12,698",9.85,8.20
2017-01-13,昊志机电,1300503,72.40,72.89,66.00,66.90,-5.42,-7.49,"23,781","16,224",9.53,9.51
2017-01-12,昊志机电,1300503,72.16,73.48,71.18,72.32,0.12,0.17,"13,015","9,422",3.19,5.21
2017-01-11,昊志机电,1300503,72.50,74.89,72.00,72.20,-0.30,-0.41,"15,943","11,723",3.99,6.38
2017-01-10,昊志机电,1300503,73.51,74.32,72.30,72.50,-1.94,-2.61,"11,160","8,179",2.71,4.46
2017-01-09,昊志机电,1300503,72.90,74.63,71.11,74.44,0.59,0.80,"16,272","11,869",4.77,6.51
2017-01-06,昊志机电,1300503,73.38,75.68,72.83,73.85,0.46,0.63,"25,805","19,226",3.88,10.32
2017-01-05,昊志机电,1300503,76.20,76.20,72.96,73.39,-2.57,-3.38,"35,440","26,207",4.27,14.18
2017-01-04,昊志机电,1300503,69.71,75.96,69.00,75.96,6.91,10.01,"40,440","30,215",10.08,16.18
2017-01-03,昊志机电,1300503,68.50,69.40,68.10,69.05,0.97,1.42,"10,298","7,080",1.91,4.12
2017-06-30,昊志机电,1300503,18.11,18.34,17.87,18.01,-0.32,-1.75,"28,166","5,093",2.56,2.71
2017-06-29,昊志机电,1300503,18.80,18.87,18.20,18.33,-0.35,-1.87,"38,863","7,201",3.59,3.73
2017-06-28,昊志机电,1300503,18.49,19.18,18.36,18.68,-0.12,-0.64,"63,583","12,000",4.36,6.11
2017-06-27,昊志机电,1300503,18.11,18.89,17.98,18.80,0.61,3.35,"45,663","8,416",5.00,4.39
2017-06-26,昊志机电,1300503,18.07,18.27,17.75,18.19,0.00,0.00,"24,312","4,373",2.86,2.34
2017-06-23,昊志机电,1300503,18.07,18.30,17.70,18.19,0.12,0.66,"21,077","3,795",3.32,2.02
2017-06-22,昊志机电,1300503,18.75,18.75,18.00,18.07,-0.68,-3.63,"35,445","6,504",4.00,3.41
2017-06-21,昊志机电,1300503,18.76,18.95,18.46,18.75,0.00,0.00,"24,415","4,555",2.61,2.35
2017-06-20,昊志机电,1300503,19.01,19.25,18.66,18.75,-0.29,-1.52,"38,947","7,379",3.10,3.74
2017-06-19,昊志机电,1300503,18.76,19.10,18.62,19.04,0.06,0.32,"30,927","5,830",2.53,2.97
2017-06-16,昊志机电,1300503,19.26,19.48,18.85,18.98,-0.58,-2.97,"51,484","9,841",3.22,4.95
2017-06-15,昊志机电,1300503,19.00,19.86,18.40,19.56,0.80,4.26,"93,993","17,922",7.78,9.03
2017-06-14,昊志机电,1300503,18.22,19.11,18.22,18.76,0.59,3.25,"75,872","14,231",4.90,7.29
2017-06-13,昊志机电,1300503,17.57,18.72,17.55,18.17,0.45,2.54,"61,927","11,293",6.60,5.95
2017-06-12,昊志机电,1300503,17.86,17.86,17.26,17.72,-0.44,-2.42,"47,470","8,344",3.30,4.56
2017-06-09,昊志机电,1300503,18.55,18.59,17.65,18.16,-0.46,-2.47,"50,501","9,137",5.05,4.85
2017-06-08,昊志机电,1300503,19.00,19.31,18.51,18.62,0.05,0.27,"99,265","18,655",4.31,9.54
