日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-09-30,森赫股份,1301056,11.12,11.30,11.08,11.12,0.02,0.18,"40,885","4,562",1.98,6.46
2021-09-29,森赫股份,1301056,11.50,11.64,11.05,11.10,-0.50,-4.31,"60,322","6,837",5.09,9.54
2021-09-28,森赫股份,1301056,11.73,11.73,11.48,11.60,-0.14,-1.19,"39,215","4,544",2.13,6.20
2021-09-27,森赫股份,1301056,11.70,11.90,11.44,11.74,0.04,0.34,"66,954","7,820",3.93,10.58
2021-09-24,森赫股份,1301056,12.16,12.22,11.61,11.70,-0.53,-4.33,"89,711","10,609",4.99,14.18
2021-09-23,森赫股份,1301056,12.19,12.48,12.10,12.23,0.04,0.33,"68,522","8,393",3.12,10.83
2021-09-22,森赫股份,1301056,12.40,12.69,12.03,12.19,-0.76,-5.87,"107,347","13,159",5.10,16.97
2021-09-17,森赫股份,1301056,12.80,13.24,12.80,12.95,0.17,1.33,"104,071","13,500",3.44,16.45
2021-09-16,森赫股份,1301056,12.71,13.17,12.63,12.78,-0.02,-0.16,"112,931","14,575",4.22,17.85
2021-09-15,森赫股份,1301056,12.86,12.99,12.66,12.80,-0.34,-2.59,"115,760","14,796",2.51,18.30
2021-09-14,森赫股份,1301056,12.65,13.14,12.64,13.14,0.40,3.14,"146,433","18,961",3.92,23.15
2021-09-13,森赫股份,1301056,12.91,13.03,12.61,12.74,-0.36,-2.75,"123,527","15,775",3.21,19.53
2021-09-10,森赫股份,1301056,13.01,13.50,12.77,13.10,-0.03,-0.23,"170,075","22,270",5.56,26.89
2021-09-09,森赫股份,1301056,13.41,13.71,13.05,13.13,-0.72,-5.20,"223,133","29,776",4.77,35.27
2021-09-08,森赫股份,1301056,13.55,14.39,13.41,13.85,-0.97,-6.55,"308,989","42,389",6.61,48.85
2021-09-07,森赫股份,1301056,15.50,16.66,14.70,14.82,10.89,277.10,"425,738","64,545",49.87,67.30
2021-12-31,森赫股份,1301056,11.47,11.65,11.47,11.53,0.06,0.52,"22,712","2,620",1.57,3.59
2021-12-30,森赫股份,1301056,11.50,11.64,11.46,11.47,-0.03,-0.26,"24,213","2,796",1.57,3.83
