日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-03,海陆重工,1002255,9.90,10.10,9.82,10.06,0.17,1.72,"149,025","14,870",2.83,2.70
2017-03-02,海陆重工,1002255,9.67,10.00,9.64,9.89,0.18,1.85,"176,335","17,340",3.71,3.20
2017-03-01,海陆重工,1002255,9.52,9.78,9.52,9.71,0.15,1.57,"137,186","13,275",2.72,2.49
2017-02-28,海陆重工,1002255,9.45,9.61,9.44,9.56,0.01,0.10,"76,470","7,288",1.78,1.39
2017-02-27,海陆重工,1002255,9.60,9.65,9.50,9.55,-0.05,-0.52,"86,327","8,260",1.56,1.57
2017-02-24,海陆重工,1002255,9.63,9.69,9.47,9.60,-0.04,-0.41,"123,325","11,814",2.28,2.24
2017-02-23,海陆重工,1002255,9.44,9.66,9.39,9.64,0.18,1.90,"219,649","21,034",2.85,3.98
2017-02-22,海陆重工,1002255,9.12,9.93,9.09,9.46,0.30,3.28,"221,876","21,055",9.17,4.02
2017-02-21,海陆重工,1002255,9.22,9.25,9.05,9.16,-0.05,-0.54,"115,212","10,549",2.17,2.09
2017-02-20,海陆重工,1002255,9.10,9.24,9.07,9.21,0.09,0.99,"94,015","8,621",1.86,1.71
2017-02-17,海陆重工,1002255,9.30,9.38,9.11,9.12,-0.20,-2.15,"140,843","12,992",2.90,2.55
2017-02-16,海陆重工,1002255,9.22,9.43,9.15,9.32,0.02,0.22,"112,848","10,536",3.01,2.05
2017-02-15,海陆重工,1002255,9.40,9.46,9.27,9.30,-0.13,-1.38,"148,355","13,878",2.01,2.69
2017-02-14,海陆重工,1002255,9.14,9.46,9.14,9.43,0.30,3.29,"236,174","22,100",3.50,4.28
2017-02-13,海陆重工,1002255,9.08,9.18,9.02,9.13,-0.01,-0.11,"106,957","9,749",1.75,1.94
2017-02-10,海陆重工,1002255,9.21,9.38,9.14,9.14,-0.08,-0.87,"136,461","12,608",2.60,2.47
2017-02-09,海陆重工,1002255,9.08,9.28,9.08,9.22,0.10,1.10,"153,309","14,062",2.19,2.78
2017-02-08,海陆重工,1002255,9.17,9.17,8.91,9.12,-0.11,-1.19,"121,801","11,015",2.82,2.21
2017-02-07,海陆重工,1002255,9.23,9.35,9.13,9.23,-0.04,-0.43,"114,183","10,563",2.37,2.07
2017-02-06,海陆重工,1002255,9.04,9.27,9.04,9.27,0.15,1.64,"115,752","10,596",2.52,2.10
2017-02-03,海陆重工,1002255,9.25,9.27,9.07,9.12,-0.14,-1.51,"96,969","8,873",2.16,1.76
2017-01-26,海陆重工,1002255,8.92,9.35,8.89,9.26,0.36,4.04,"244,235","22,430",5.17,4.43
2017-01-25,海陆重工,1002255,8.93,8.98,8.85,8.90,-0.07,-0.78,"80,137","7,131",1.45,1.45
2017-01-24,海陆重工,1002255,8.87,9.04,8.78,8.97,0.10,1.13,"97,795","8,722",2.93,1.77
2017-01-23,海陆重工,1002255,8.84,8.95,8.84,8.87,0.03,0.34,"74,927","6,656",1.24,1.36
2017-01-20,海陆重工,1002255,8.69,8.93,8.63,8.84,0.18,2.08,"91,886","8,086",3.46,1.67
2017-01-19,海陆重工,1002255,8.41,8.75,8.41,8.66,0.19,2.24,"89,615","7,744",4.01,1.63
2017-01-18,海陆重工,1002255,8.35,8.57,8.28,8.47,0.12,1.44,"68,337","5,790",3.47,1.24
2017-01-17,海陆重工,1002255,8.41,8.48,8.20,8.35,-0.05,-0.60,"86,508","7,183",3.33,1.57
2017-01-16,海陆重工,1002255,8.80,8.83,8.00,8.40,-0.40,-4.55,"129,830","11,029",9.43,2.35
2017-01-13,海陆重工,1002255,8.96,8.97,8.67,8.80,-0.16,-1.79,"97,554","8,609",3.35,1.77
2017-01-12,海陆重工,1002255,8.85,9.05,8.81,8.96,0.04,0.45,"119,424","10,688",2.69,2.17
2017-01-11,海陆重工,1002255,8.69,9.04,8.66,8.92,0.24,2.77,"159,900","14,162",4.38,2.90
2017-01-10,海陆重工,1002255,8.78,8.88,8.65,8.68,-0.15,-1.70,"78,834","6,905",2.60,1.43
2017-01-09,海陆重工,1002255,8.90,8.93,8.76,8.83,-0.05,-0.56,"70,316","6,194",1.91,1.28
2017-01-06,海陆重工,1002255,8.70,8.92,8.66,8.88,0.13,1.49,"98,766","8,685",2.97,1.79
2017-01-05,海陆重工,1002255,8.70,8.80,8.62,8.75,0.04,0.46,"108,869","9,511",2.07,1.97
2017-01-04,海陆重工,1002255,8.78,8.96,8.69,8.71,-0.07,-0.80,"122,030","10,765",3.08,2.21
2017-01-03,海陆重工,1002255,8.76,8.79,8.64,8.78,0.05,0.57,"76,238","6,652",1.72,1.38
2017-09-29,海陆重工,1002255,7.36,7.56,7.35,7.55,0.20,2.72,"56,735","4,240",2.86,1.03
2017-09-28,海陆重工,1002255,7.55,7.55,7.33,7.35,-0.20,-2.65,"76,868","5,706",2.91,1.39
2017-09-27,海陆重工,1002255,7.58,7.60,7.52,7.55,-0.03,-0.40,"48,966","3,701",1.06,0.89
2017-09-26,海陆重工,1002255,7.70,7.73,7.54,7.58,-0.11,-1.43,"59,819","4,574",2.47,1.08
2017-09-25,海陆重工,1002255,7.77,7.96,7.69,7.69,-0.26,-3.27,"59,725","4,666",3.40,1.08
2017-09-22,海陆重工,1002255,8.01,8.01,7.91,7.95,-0.07,-0.87,"17,531","1,393",1.25,0.32
2017-09-21,海陆重工,1002255,8.04,8.04,7.95,8.02,-0.02,-0.25,"30,306","2,422",1.12,0.55
2017-09-20,海陆重工,1002255,7.95,8.05,7.88,8.04,0.11,1.39,"41,540","3,305",2.14,0.75
2017-09-19,海陆重工,1002255,8.05,8.05,7.90,7.93,-0.10,-1.25,"39,977","3,178",1.87,0.73
2017-09-18,海陆重工,1002255,8.04,8.09,8.00,8.03,0.00,0.00,"32,547","2,614",1.12,0.59
2017-09-15,海陆重工,1002255,8.08,8.09,8.02,8.03,-0.06,-0.74,"35,529","2,857",0.87,0.64
2017-09-14,海陆重工,1002255,8.12,8.13,8.06,8.09,-0.02,-0.25,"41,152","3,326",0.86,0.75
2017-09-13,海陆重工,1002255,8.10,8.11,8.07,8.11,0.00,0.00,"27,732","2,243",0.49,0.50
2017-09-12,海陆重工,1002255,8.09,8.14,8.08,8.11,0.02,0.25,"46,220","3,744",0.74,0.84
2017-09-11,海陆重工,1002255,8.05,8.17,8.05,8.09,-0.01,-0.12,"51,465","4,170",1.48,0.93
2017-09-08,海陆重工,1002255,8.02,8.10,8.02,8.10,0.05,0.62,"26,292","2,120",0.99,0.48
2017-09-07,海陆重工,1002255,8.12,8.13,8.05,8.05,-0.07,-0.86,"41,033","3,317",0.99,0.74
2017-09-06,海陆重工,1002255,8.10,8.14,8.08,8.12,-0.02,-0.25,"35,206","2,853",0.74,0.64
2017-09-05,海陆重工,1002255,8.10,8.14,8.09,8.14,0.00,0.00,"35,941","2,919",0.61,0.65
2017-09-04,海陆重工,1002255,8.17,8.17,8.09,8.14,-0.04,-0.49,"44,291","3,597",0.98,0.80
2017-09-01,海陆重工,1002255,8.10,8.19,8.01,8.18,0.07,0.86,"55,115","4,464",2.22,1.00
2017-08-31,海陆重工,1002255,8.14,8.19,8.01,8.11,-0.07,-0.86,"64,581","5,221",2.20,1.17
2017-08-30,海陆重工,1002255,8.32,8.38,8.10,8.18,-0.14,-1.68,"73,907","6,065",3.37,1.34
2017-08-29,海陆重工,1002255,8.16,8.43,8.15,8.32,0.17,2.09,"95,992","7,974",3.44,1.74
2017-08-28,海陆重工,1002255,8.11,8.18,8.09,8.15,0.03,0.37,"46,931","3,823",1.11,0.85
2017-08-25,海陆重工,1002255,8.10,8.14,8.06,8.12,0.02,0.25,"31,378","2,545",0.99,0.57
2017-08-24,海陆重工,1002255,8.11,8.18,8.08,8.10,0.00,0.00,"26,252","2,131",1.23,0.48
2017-08-23,海陆重工,1002255,8.12,8.17,8.08,8.10,-0.07,-0.86,"29,195","2,370",1.10,0.53
2017-08-22,海陆重工,1002255,8.24,8.30,8.15,8.17,-0.05,-0.61,"31,440","2,573",1.82,0.57
2017-08-21,海陆重工,1002255,8.13,8.26,8.12,8.22,0.09,1.11,"30,690","2,520",1.72,0.56
2017-08-18,海陆重工,1002255,8.16,8.20,8.11,8.13,-0.09,-1.09,"38,463","3,133",1.09,0.70
2017-08-17,海陆重工,1002255,8.21,8.22,8.08,8.22,0.01,0.12,"53,913","4,397",1.71,0.98
2017-08-16,海陆重工,1002255,8.27,8.28,8.19,8.21,-0.03,-0.36,"41,884","3,448",1.09,0.76
2017-08-15,海陆重工,1002255,8.24,8.27,8.13,8.24,0.02,0.24,"57,638","4,721",1.70,1.05
2017-08-14,海陆重工,1002255,8.15,8.33,8.15,8.22,0.04,0.49,"77,969","6,429",2.20,1.41
2017-08-11,海陆重工,1002255,7.97,8.28,7.92,8.18,0.18,2.25,"126,056","10,244",4.50,2.29
2017-08-10,海陆重工,1002255,7.94,8.06,7.90,8.00,0.05,0.63,"66,872","5,344",2.01,1.21
2017-08-09,海陆重工,1002255,7.95,7.95,7.85,7.95,0.00,0.00,"41,854","3,305",1.26,0.76
2017-08-08,海陆重工,1002255,8.00,8.03,7.87,7.95,-0.05,-0.63,"65,115","5,154",2.00,1.18
2017-08-07,海陆重工,1002255,7.77,8.12,7.76,8.00,0.30,3.90,"92,659","7,404",4.68,1.68
2017-08-04,海陆重工,1002255,7.75,7.94,7.70,7.70,-0.09,-1.16,"90,292","7,069",3.08,1.64
2017-08-03,海陆重工,1002255,7.87,7.89,7.73,7.79,-0.08,-1.02,"73,803","5,740",2.03,1.34
2017-08-02,海陆重工,1002255,8.12,8.15,7.81,7.87,-0.25,-3.08,"94,117","7,546",4.19,1.71
2017-08-01,海陆重工,1002255,8.12,8.19,8.10,8.12,-0.03,-0.37,"58,507","4,754",1.10,1.06
2017-07-31,海陆重工,1002255,8.20,8.21,8.12,8.15,-0.04,-0.49,"67,576","5,522",1.10,1.23
2017-07-28,海陆重工,1002255,8.22,8.29,8.18,8.19,-0.04,-0.49,"63,297","5,202",1.34,1.15
2017-07-27,海陆重工,1002255,8.20,8.26,8.12,8.23,0.00,0.00,"84,295","6,895",1.70,1.53
2017-07-26,海陆重工,1002255,8.38,8.39,8.12,8.23,-0.04,-0.48,"95,621","7,866",3.26,1.73
2017-07-25,海陆重工,1002255,8.14,8.38,8.08,8.27,0.08,0.98,"129,540","10,691",3.66,2.35
2017-07-24,海陆重工,1002255,8.15,8.50,8.15,8.19,-0.86,-9.50,"373,119","30,716",3.87,6.77
2017-07-21,海陆重工,1002255,9.05,9.05,9.05,9.05,-1.01,-10.04,"22,391","2,026",0.00,0.41
2017-12-29,海陆重工,1002255,6.72,6.77,6.60,6.68,-0.04,-0.60,"18,979","1,269",2.53,0.33
2017-12-28,海陆重工,1002255,6.76,6.76,6.70,6.72,0.01,0.15,"24,400","1,641",0.89,0.43
2017-12-27,海陆重工,1002255,6.73,6.79,6.68,6.71,-0.07,-1.03,"11,896",802,1.62,0.21
