日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-12-31,福立旺,0688678,22.60,22.72,21.77,21.80,-0.44,-1.98,"43,019","9,551",4.27,12.19
2020-12-30,福立旺,0688678,21.96,22.89,21.95,22.24,-0.22,-0.98,"42,124","9,431",4.19,11.94
2020-12-29,福立旺,0688678,22.50,23.86,22.10,22.46,-0.44,-1.92,"50,326","11,541",7.69,14.26
2020-12-28,福立旺,0688678,25.72,25.78,22.90,22.90,-2.75,-10.72,"90,587","21,784",11.23,25.67
2020-12-25,福立旺,0688678,25.25,27.50,25.12,25.65,-0.37,-1.42,"88,180","23,204",9.15,24.99
2020-12-24,福立旺,0688678,29.38,29.85,25.90,26.02,-2.85,-9.87,"157,428","42,556",13.68,44.61
2020-12-23,福立旺,0688678,30.03,32.88,28.82,28.87,10.82,59.94,"246,979","74,706",22.49,69.99
2021-06-30,福立旺,0688678,23.39,23.89,22.85,23.70,0.54,2.33,"24,762","5,844",4.49,6.72
2021-06-29,福立旺,0688678,24.30,24.30,23.12,23.16,-1.21,-4.97,"31,660","7,455",4.84,8.59
2021-06-28,福立旺,0688678,23.99,25.18,22.50,24.37,1.97,8.79,"61,180","14,859",11.96,16.60
2021-06-25,福立旺,0688678,22.40,23.50,22.23,22.40,0.40,1.82,"41,641","9,489",5.77,11.30
2021-06-24,福立旺,0688678,21.51,22.17,21.33,22.00,0.43,1.99,"24,894","5,442",3.89,6.76
2021-06-23,福立旺,0688678,21.10,21.96,20.80,21.57,0.18,0.84,"22,245","4,732",5.42,6.04
2021-06-22,福立旺,0688678,20.96,21.48,20.66,21.39,0.44,2.10,"15,958","3,374",3.91,4.52
2021-06-21,福立旺,0688678,20.88,21.06,20.68,20.95,-0.20,-0.95,"10,619","2,217",1.80,3.01
2021-06-18,福立旺,0688678,21.50,21.50,20.11,21.15,-0.17,-0.80,"22,480","4,658",6.52,6.37
2021-06-17,福立旺,0688678,21.27,21.49,20.90,21.32,0.05,0.24,"13,936","2,953",2.77,3.95
2021-06-16,福立旺,0688678,21.75,22.16,20.52,21.27,-0.48,-2.21,"16,926","3,631",7.54,4.80
2021-06-15,福立旺,0688678,21.57,22.38,21.21,21.75,0.04,0.18,"20,483","4,484",5.39,5.80
2021-06-11,福立旺,0688678,21.98,22.12,21.45,21.71,-0.18,-0.82,"16,285","3,539",3.06,4.61
2021-06-10,福立旺,0688678,20.80,22.15,20.50,21.89,1.12,5.39,"42,623","9,227",7.94,12.08
2021-06-09,福立旺,0688678,20.52,20.91,20.21,20.77,0.25,1.22,"22,538","4,634",3.41,6.39
2021-06-08,福立旺,0688678,21.21,21.21,20.32,20.52,-0.72,-3.39,"27,732","5,737",4.19,7.86
2021-06-07,福立旺,0688678,21.60,22.04,21.05,21.24,-0.41,-1.89,"25,247","5,377",4.57,7.15
2021-06-04,福立旺,0688678,22.85,23.01,21.60,21.65,-1.06,-4.67,"39,709","8,785",6.21,11.25
2021-06-03,福立旺,0688678,21.85,23.16,21.45,22.71,0.91,4.17,"51,193","11,424",7.84,14.51
2021-06-02,福立旺,0688678,21.08,22.48,20.69,21.80,0.74,3.51,"49,820","10,793",8.50,14.12
2021-06-01,福立旺,0688678,20.29,21.47,20.12,21.06,0.89,4.41,"39,439","8,228",6.69,11.18
2021-05-31,福立旺,0688678,19.77,20.25,19.77,20.17,0.13,0.65,"10,631","2,130",2.40,3.01
2021-05-28,福立旺,0688678,20.59,20.69,19.70,20.04,-0.51,-2.48,"13,080","2,624",4.82,3.71
2021-05-27,福立旺,0688678,20.07,20.75,20.07,20.55,0.27,1.33,"13,254","2,707",3.35,3.76
2021-05-26,福立旺,0688678,20.15,20.91,20.12,20.58,0.46,2.29,"15,589","3,216",3.93,4.42
