日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,通裕重工,1300185,2.61,2.62,2.60,2.61,0.00,0.00,"145,653","3,798",0.77,0.45
2017-06-29,通裕重工,1300185,2.61,2.62,2.60,2.61,0.00,0.00,"145,274","3,795",0.77,0.44
2017-06-28,通裕重工,1300185,2.63,2.63,2.60,2.61,-0.02,-0.76,"189,324","4,941",1.14,0.58
2017-06-27,通裕重工,1300185,2.64,2.64,2.62,2.63,-0.01,-0.38,"196,492","5,161",0.76,0.60
2017-06-26,通裕重工,1300185,2.62,2.65,2.61,2.64,0.01,0.38,"197,550","5,205",1.52,0.60
2017-06-23,通裕重工,1300185,2.62,2.64,2.60,2.63,0.01,0.38,"241,756","6,329",1.53,0.74
2017-06-22,通裕重工,1300185,2.65,2.66,2.62,2.62,-0.04,-1.50,"236,558","6,258",1.50,0.72
2017-06-21,通裕重工,1300185,2.68,2.69,2.64,2.66,-0.02,-0.75,"233,172","6,207",1.87,0.71
2017-06-20,通裕重工,1300185,2.68,2.69,2.67,2.68,0.00,0.00,"208,246","5,585",0.75,0.64
2017-06-19,通裕重工,1300185,2.66,2.69,2.66,2.68,0.01,0.37,"190,901","5,107",1.12,0.58
2017-06-16,通裕重工,1300185,2.69,2.70,2.66,2.67,-0.02,-0.74,"190,860","5,103",1.49,0.58
2017-06-15,通裕重工,1300185,2.66,2.71,2.65,2.69,0.03,1.13,"229,760","6,179",2.26,0.70
2017-06-14,通裕重工,1300185,2.66,2.67,2.65,2.66,-0.01,-0.37,"96,676","2,573",0.75,0.30
2017-06-13,通裕重工,1300185,2.64,2.68,2.64,2.67,0.02,0.75,"98,867","2,636",1.51,0.30
2017-06-12,通裕重工,1300185,2.68,2.69,2.64,2.65,-0.05,-1.85,"124,603","3,319",1.85,0.38
2017-06-09,通裕重工,1300185,2.68,2.70,2.67,2.70,0.01,0.37,"120,408","3,229",1.12,0.37
2017-06-08,通裕重工,1300185,2.70,2.71,2.68,2.69,-0.02,-0.74,"179,827","4,847",1.11,0.55
2017-06-07,通裕重工,1300185,2.67,2.72,2.65,2.71,0.04,1.50,"234,568","6,319",2.62,0.72
2017-06-06,通裕重工,1300185,2.66,2.67,2.65,2.67,0.01,0.38,"114,795","3,054",0.75,0.35
2017-06-05,通裕重工,1300185,2.66,2.68,2.65,2.66,0.00,0.00,"104,992","2,798",1.13,0.32
2017-06-02,通裕重工,1300185,2.64,2.67,2.61,2.66,0.02,0.76,"165,030","4,349",2.27,0.51
2017-06-01,通裕重工,1300185,2.70,2.70,2.63,2.64,-0.06,-2.22,"138,248","3,685",2.59,0.42
2017-05-31,通裕重工,1300185,2.72,2.74,2.70,2.70,-0.01,-0.37,"118,960","3,237",1.48,0.36
