日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-12-31,上海艾录,1301062,18.09,18.31,17.95,18.03,-0.05,-0.28,"15,629","2,826",1.99,3.81
2021-12-30,上海艾录,1301062,18.40,18.40,17.87,18.08,-0.01,-0.06,"23,387","4,228",2.93,5.70
2021-12-29,上海艾录,1301062,18.20,18.52,17.92,18.09,-0.16,-0.88,"13,995","2,545",3.29,3.41
2021-12-28,上海艾录,1301062,18.48,18.61,18.01,18.25,-0.23,-1.24,"21,217","3,872",3.25,5.17
2021-12-27,上海艾录,1301062,18.59,19.16,18.33,18.48,-0.22,-1.18,"40,666","7,593",4.44,9.91
2021-12-24,上海艾录,1301062,18.50,19.00,17.75,18.70,0.61,3.37,"53,883","9,862",6.91,13.13
2021-12-23,上海艾录,1301062,18.04,18.40,17.57,18.09,-0.04,-0.22,"31,622","5,655",4.58,7.71
2021-12-22,上海艾录,1301062,17.40,18.15,17.40,18.13,0.63,3.60,"39,371","7,050",4.29,9.60
2021-12-21,上海艾录,1301062,17.00,18.05,16.90,17.50,0.30,1.74,"25,037","4,402",6.69,6.10
2021-12-20,上海艾录,1301062,16.78,17.38,16.60,17.20,0.40,2.38,"24,309","4,142",4.64,5.93
2021-12-17,上海艾录,1301062,17.44,17.55,16.73,16.80,-0.70,-4.00,"21,776","3,707",4.69,5.31
2021-12-16,上海艾录,1301062,17.45,17.77,17.30,17.50,0.05,0.29,"25,312","4,443",2.69,6.17
2021-12-15,上海艾录,1301062,18.06,18.18,17.34,17.45,-0.40,-2.24,"41,058","7,251",4.71,10.01
2021-12-14,上海艾录,1301062,16.60,17.89,16.55,17.85,1.33,8.05,"57,536","9,998",8.11,14.02
2021-12-13,上海艾录,1301062,16.51,16.67,16.38,16.52,-0.12,-0.72,"12,970","2,141",1.74,3.16
2021-12-10,上海艾录,1301062,16.70,16.75,16.48,16.64,-0.10,-0.60,"11,975","1,989",1.61,2.92
2021-12-09,上海艾录,1301062,16.90,16.91,16.56,16.74,0.10,0.60,"18,497","3,094",2.10,4.51
2021-12-08,上海艾录,1301062,16.24,16.90,16.24,16.64,0.43,2.65,"22,804","3,792",4.07,5.56
2021-12-07,上海艾录,1301062,17.10,17.14,15.96,16.21,-0.50,-2.99,"29,081","4,731",7.06,7.09
2021-12-06,上海艾录,1301062,17.12,17.32,16.63,16.71,-0.46,-2.68,"27,406","4,645",4.02,6.68
2021-12-03,上海艾录,1301062,17.74,17.98,17.17,17.17,-0.58,-3.27,"30,751","5,393",4.56,7.50
2021-12-02,上海艾录,1301062,18.71,18.97,17.68,17.75,-1.08,-5.74,"42,378","7,691",6.85,10.33
2021-12-01,上海艾录,1301062,18.15,19.26,18.12,18.83,0.40,2.17,"44,198","8,282",6.19,10.77
2021-11-30,上海艾录,1301062,18.87,19.10,17.90,18.43,-0.41,-2.18,"56,836","10,498",6.37,13.85
2021-11-29,上海艾录,1301062,18.80,19.10,18.50,18.84,-0.36,-1.88,"50,870","9,545",3.13,12.40
2021-11-26,上海艾录,1301062,20.30,20.50,18.97,19.20,-1.54,-7.43,"93,033","18,254",7.38,22.68
2021-11-25,上海艾录,1301062,18.78,21.30,18.62,20.74,1.60,8.36,"112,916","22,481",14.00,27.52
2021-11-24,上海艾录,1301062,17.89,20.45,17.85,19.14,1.24,6.93,"94,643","17,967",14.53,23.07
2021-11-23,上海艾录,1301062,18.15,18.45,17.85,17.90,-0.25,-1.38,"52,139","9,444",3.31,12.71
2021-11-22,上海艾录,1301062,17.53,18.18,17.41,18.15,0.48,2.72,"58,937","10,519",4.36,14.37
2021-11-19,上海艾录,1301062,17.13,18.50,16.81,17.67,0.82,4.87,"81,383","14,244",10.03,19.84
2021-11-18,上海艾录,1301062,17.01,17.05,16.65,16.85,-0.15,-0.88,"30,813","5,182",2.35,7.51
2021-11-17,上海艾录,1301062,16.94,17.38,16.70,17.00,0.06,0.35,"36,102","6,103",4.01,8.80
2021-11-16,上海艾录,1301062,17.64,17.81,16.85,16.94,-0.66,-3.75,"50,762","8,773",5.45,12.37
2021-11-15,上海艾录,1301062,17.20,18.00,16.80,17.60,0.32,1.85,"71,857","12,591",6.94,17.51
2021-11-12,上海艾录,1301062,16.41,17.55,16.30,17.28,0.68,4.10,"77,220","13,106",7.53,18.82
2021-11-11,上海艾录,1301062,16.11,17.05,16.01,16.60,0.45,2.79,"78,148","12,960",6.44,19.05
2021-11-10,上海艾录,1301062,15.71,16.40,15.60,16.15,0.48,3.06,"59,663","9,581",5.11,14.54
2021-11-09,上海艾录,1301062,16.07,16.25,15.59,15.67,-0.33,-2.06,"59,827","9,510",4.13,14.58
2021-11-08,上海艾录,1301062,15.78,16.25,15.70,16.00,0.03,0.19,"43,047","6,853",3.44,10.49
2021-11-05,上海艾录,1301062,16.49,16.54,15.83,15.97,-0.43,-2.62,"69,713","11,236",4.33,16.99
2021-11-04,上海艾录,1301062,15.65,16.57,15.32,16.40,0.77,4.93,"90,493","14,342",8.00,22.06
2021-11-03,上海艾录,1301062,14.63,15.88,14.63,15.63,1.03,7.05,"76,221","11,731",8.56,18.58
2021-11-02,上海艾录,1301062,14.86,15.27,14.57,14.60,-0.30,-2.01,"37,774","5,647",4.70,9.21
2021-11-01,上海艾录,1301062,15.30,15.38,14.78,14.90,0.11,0.74,"37,190","5,582",4.06,9.06
2021-10-29,上海艾录,1301062,14.41,14.80,14.41,14.79,0.46,3.21,"34,482","5,057",2.72,8.40
2021-10-28,上海艾录,1301062,15.35,15.46,14.06,14.33,-1.14,-7.37,"54,009","7,845",9.05,13.16
2021-10-27,上海艾录,1301062,15.39,15.66,15.00,15.47,0.07,0.45,"58,576","9,014",4.29,14.28
2021-10-26,上海艾录,1301062,15.20,15.70,14.99,15.40,0.54,3.63,"72,395","11,114",4.78,17.65
2021-10-25,上海艾录,1301062,14.67,14.97,14.50,14.86,0.29,1.99,"29,268","4,314",3.23,7.13
2021-10-22,上海艾录,1301062,15.16,15.16,14.40,14.57,-0.60,-3.96,"48,334","7,125",5.01,11.78
