日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-12-31,五洲特纸,0605007,24.20,24.76,23.81,24.19,-0.42,-1.71,"58,591","14,174",3.86,14.64
2020-12-30,五洲特纸,0605007,24.40,25.58,24.00,24.61,1.11,4.72,"84,459","21,055",6.72,21.11
2020-12-29,五洲特纸,0605007,23.15,23.87,22.66,23.50,0.63,2.75,"62,665","14,572",5.29,15.66
2020-12-28,五洲特纸,0605007,23.05,23.58,22.13,22.87,-0.55,-2.35,"64,292","14,612",6.19,16.07
2020-12-25,五洲特纸,0605007,22.70,24.06,22.59,23.42,0.54,2.36,"65,217","15,307",6.42,16.30
2020-12-24,五洲特纸,0605007,25.00,25.00,22.82,22.88,-2.47,-9.74,"98,434","23,273",8.60,24.60
2020-12-23,五洲特纸,0605007,27.00,27.26,24.87,25.35,-1.91,-7.01,"116,281","30,040",8.77,29.06
2020-12-22,五洲特纸,0605007,29.43,29.80,27.00,27.26,-2.44,-8.22,"115,777","33,078",9.43,28.94
2020-12-21,五洲特纸,0605007,30.05,31.17,29.56,29.70,-0.92,-3.00,"99,562","30,009",5.26,24.88
2020-12-18,五洲特纸,0605007,31.22,32.10,30.50,30.62,-0.99,-3.13,"93,836","29,257",5.06,23.45
2020-12-17,五洲特纸,0605007,31.00,32.32,30.58,31.61,0.03,0.10,"108,297","34,003",5.51,27.07
2020-12-16,五洲特纸,0605007,30.00,32.99,29.50,31.58,1.49,4.95,"149,149","46,353",11.60,37.28
2020-12-15,五洲特纸,0605007,28.57,30.19,28.33,30.09,0.98,3.37,"115,267","33,827",6.39,28.81
2020-12-14,五洲特纸,0605007,29.86,31.10,28.70,29.11,-0.52,-1.76,"114,223","33,893",8.10,28.55
2020-12-11,五洲特纸,0605007,28.99,29.70,28.35,29.63,0.28,0.95,"107,425","31,090",4.60,26.85
2020-12-10,五洲特纸,0605007,26.84,29.35,26.38,29.35,1.56,5.61,"139,945","39,400",10.69,34.98
2020-12-09,五洲特纸,0605007,28.38,30.00,27.79,27.79,-0.24,-0.86,"163,041","46,894",7.88,40.75
2020-12-08,五洲特纸,0605007,27.50,28.50,26.72,28.03,0.38,1.37,"124,825","34,540",6.44,31.20
