日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,华泰股份,0600308,6.17,6.29,6.17,6.28,0.10,1.62,"93,258","5,812",1.94,0.80
2017-12-28,华泰股份,0600308,6.14,6.20,6.12,6.18,0.05,0.82,"66,755","4,116",1.31,0.57
2017-12-27,华泰股份,0600308,6.18,6.25,6.12,6.13,-0.07,-1.13,"78,266","4,839",2.10,0.67
2017-12-26,华泰股份,0600308,6.26,6.28,6.08,6.20,-0.09,-1.43,"147,430","9,111",3.18,1.26
2017-12-25,华泰股份,0600308,6.54,6.55,6.28,6.29,-0.24,-3.68,"114,509","7,324",4.13,0.98
2017-12-22,华泰股份,0600308,6.55,6.57,6.48,6.53,-0.02,-0.31,"68,863","4,483",1.37,0.59
2017-12-21,华泰股份,0600308,6.40,6.57,6.40,6.55,0.11,1.71,"115,039","7,497",2.64,0.99
2017-12-20,华泰股份,0600308,6.48,6.55,6.41,6.44,-0.06,-0.92,"89,968","5,813",2.15,0.77
2017-12-19,华泰股份,0600308,6.35,6.55,6.34,6.50,0.14,2.20,"106,168","6,866",3.30,0.91
2017-12-18,华泰股份,0600308,6.32,6.38,6.28,6.36,0.03,0.47,"75,910","4,808",1.58,0.65
2017-12-15,华泰股份,0600308,6.28,6.36,6.24,6.33,0.03,0.48,"54,965","3,471",1.90,0.47
2017-12-14,华泰股份,0600308,6.29,6.32,6.23,6.30,0.01,0.16,"51,375","3,221",1.43,0.44
2017-12-13,华泰股份,0600308,6.26,6.35,6.21,6.29,0.00,0.00,"54,916","3,448",2.23,0.47
2017-12-12,华泰股份,0600308,6.34,6.40,6.29,6.29,-0.05,-0.79,"62,264","3,951",1.74,0.53
2017-12-11,华泰股份,0600308,6.32,6.37,6.29,6.34,0.02,0.32,"76,555","4,847",1.27,0.66
2017-12-08,华泰股份,0600308,6.19,6.37,6.12,6.32,0.13,2.10,"93,716","5,884",4.04,0.80
2017-12-07,华泰股份,0600308,6.25,6.26,6.17,6.19,-0.08,-1.28,"87,573","5,441",1.44,0.75
2017-12-06,华泰股份,0600308,6.30,6.33,6.15,6.27,-0.06,-0.95,"108,325","6,746",2.84,0.93
2017-12-05,华泰股份,0600308,6.53,6.53,6.28,6.33,-0.19,-2.91,"99,492","6,335",3.83,0.85
