日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-12-31,森林包装,0605500,19.82,19.99,19.52,19.66,-0.30,-1.50,"59,998","11,861",2.35,12.00
2020-12-30,森林包装,0605500,19.43,20.49,19.43,19.96,0.30,1.53,"84,096","16,698",5.39,16.82
2020-12-29,森林包装,0605500,20.22,20.22,19.52,19.66,-0.90,-4.38,"93,021","18,414",3.40,18.60
2020-12-28,森林包装,0605500,22.10,22.10,20.50,20.56,-2.11,-9.31,"129,742","27,268",7.06,25.95
2020-12-25,森林包装,0605500,22.29,23.95,21.87,22.67,0.17,0.76,"111,020","25,604",9.24,22.20
2020-12-24,森林包装,0605500,22.49,23.36,22.13,22.50,-2.09,-8.50,"157,504","35,674",5.00,31.50
2020-12-23,森林包装,0605500,24.59,25.78,24.59,24.59,-2.73,-9.99,"106,018","26,345",4.36,21.20
2020-12-22,森林包装,0605500,27.32,27.32,24.00,27.32,8.35,44.02,"207,727","55,661",17.50,41.55
2021-09-30,森林包装,0605500,17.25,17.32,17.19,17.27,0.17,0.99,"12,520","2,159",0.76,2.50
2021-09-29,森林包装,0605500,17.41,17.48,17.08,17.10,-0.38,-2.17,"18,415","3,177",2.29,3.68
2021-09-28,森林包装,0605500,17.44,17.70,17.27,17.48,-0.11,-0.63,"22,974","4,008",2.44,4.59
2021-09-27,森林包装,0605500,18.45,18.45,17.41,17.59,-0.81,-4.40,"43,805","7,806",5.65,8.76
2021-09-24,森林包装,0605500,18.65,18.71,18.08,18.40,-0.74,-3.87,"76,773","14,011",3.29,15.35
2021-09-23,森林包装,0605500,17.84,19.27,17.83,19.14,1.37,7.71,"118,328","22,331",8.10,23.67
2021-09-22,森林包装,0605500,17.68,17.84,17.54,17.77,-0.13,-0.73,"17,088","3,018",1.68,3.42
2021-09-17,森林包装,0605500,18.00,18.25,17.69,17.90,-0.19,-1.05,"32,391","5,797",3.10,6.48
2021-09-16,森林包装,0605500,17.57,18.80,17.57,18.09,0.60,3.43,"64,573","11,770",7.03,12.91
2021-09-15,森林包装,0605500,17.42,17.53,17.34,17.49,-0.02,-0.11,"12,525","2,184",1.09,2.51
2021-09-14,森林包装,0605500,17.73,17.98,17.48,17.51,-0.22,-1.24,"22,881","4,056",2.82,4.58
2021-09-13,森林包装,0605500,17.75,17.80,17.65,17.73,-0.03,-0.17,"10,563","1,869",0.84,2.11
2021-09-10,森林包装,0605500,17.90,17.96,17.66,17.76,-0.13,-0.73,"18,641","3,319",1.68,3.73
2021-09-09,森林包装,0605500,17.87,17.96,17.75,17.89,-0.05,-0.28,"20,786","3,708",1.17,4.16
2021-09-08,森林包装,0605500,17.69,18.05,17.65,17.94,0.25,1.41,"34,601","6,179",2.26,6.92
2021-09-07,森林包装,0605500,17.68,17.76,17.62,17.69,0.01,0.06,"16,182","2,862",0.79,3.24
2021-09-06,森林包装,0605500,17.52,17.68,17.46,17.68,0.18,1.03,"16,068","2,824",1.26,3.21
2021-09-03,森林包装,0605500,17.47,17.55,17.35,17.50,0.03,0.17,"12,167","2,124",1.14,2.43
2021-09-02,森林包装,0605500,17.55,17.58,17.39,17.47,-0.08,-0.46,"11,233","1,964",1.08,2.25
2021-09-01,森林包装,0605500,17.41,17.59,17.27,17.55,0.01,0.06,"16,904","2,959",1.82,3.38
2021-08-31,森林包装,0605500,17.31,17.59,17.21,17.54,0.09,0.52,"15,281","2,658",2.18,3.06
2021-08-30,森林包装,0605500,17.68,17.68,17.25,17.45,-0.16,-0.91,"19,359","3,378",2.44,3.87
2021-08-27,森林包装,0605500,17.80,17.85,17.52,17.61,-0.11,-0.62,"19,354","3,416",1.86,3.87
2021-08-26,森林包装,0605500,17.79,17.88,17.65,17.72,-0.05,-0.28,"16,423","2,919",1.29,3.28
2021-08-25,森林包装,0605500,17.69,17.79,17.56,17.77,0.09,0.51,"19,098","3,382",1.30,3.82
2021-08-24,森林包装,0605500,17.43,17.72,17.31,17.68,0.24,1.38,"21,944","3,863",2.35,4.39
2021-08-23,森林包装,0605500,17.19,17.47,17.18,17.44,0.22,1.28,"14,368","2,500",1.68,2.87
2021-08-20,森林包装,0605500,17.16,17.31,17.09,17.22,-0.05,-0.29,"12,159","2,089",1.27,2.43
2021-08-19,森林包装,0605500,17.25,17.39,17.08,17.27,0.00,0.00,"9,789","1,685",1.80,1.96
2021-08-18,森林包装,0605500,17.03,17.29,17.01,17.27,0.17,0.99,"9,448","1,625",1.64,1.89
2021-08-17,森林包装,0605500,17.48,17.49,17.05,17.10,-0.37,-2.12,"13,948","2,407",2.52,2.79
2021-08-16,森林包装,0605500,17.17,17.48,17.17,17.47,0.16,0.92,"18,241","3,173",1.79,3.65
2021-08-13,森林包装,0605500,17.13,17.36,17.03,17.31,0.23,1.35,"15,475","2,667",1.93,3.10
2021-08-12,森林包装,0605500,17.13,17.22,17.07,17.08,-0.11,-0.64,"9,598","1,644",0.87,1.92
2021-08-11,森林包装,0605500,17.13,17.22,17.07,17.19,0.07,0.41,"9,502","1,631",0.88,1.90
2021-08-10,森林包装,0605500,17.11,17.18,17.01,17.12,0.02,0.12,"10,662","1,824",0.99,2.13
2021-08-09,森林包装,0605500,16.79,17.15,16.70,17.10,0.34,2.03,"12,061","2,048",2.69,2.41
2021-08-06,森林包装,0605500,16.77,16.79,16.66,16.76,-0.02,-0.12,"8,104","1,354",0.77,1.62
2021-08-05,森林包装,0605500,17.07,17.07,16.74,16.78,-0.30,-1.76,"12,675","2,137",1.93,2.54
2021-08-04,森林包装,0605500,17.06,17.13,17.01,17.08,0.05,0.29,"7,390","1,261",0.70,1.48
2021-08-03,森林包装,0605500,17.06,17.17,16.99,17.03,-0.10,-0.58,"8,703","1,487",1.05,1.74
2021-08-02,森林包装,0605500,16.86,17.20,16.74,17.13,0.19,1.12,"10,695","1,818",2.72,2.14
2021-07-30,森林包装,0605500,16.67,16.96,16.62,16.94,0.18,1.07,"9,948","1,673",2.03,1.99
2021-07-29,森林包装,0605500,16.71,16.88,16.71,16.76,0.06,0.36,"8,389","1,409",1.02,1.68
2021-07-28,森林包装,0605500,17.12,17.12,16.44,16.70,-0.42,-2.45,"14,057","2,348",3.97,2.81
2021-07-27,森林包装,0605500,17.32,17.46,17.10,17.12,-0.23,-1.33,"12,280","2,122",2.07,2.46
2021-07-26,森林包装,0605500,17.53,17.62,17.21,17.35,-0.18,-1.03,"13,394","2,335",2.34,2.68
2021-07-23,森林包装,0605500,17.84,17.85,17.49,17.53,-0.33,-1.85,"17,937","3,158",2.02,3.59
2021-07-22,森林包装,0605500,17.66,17.90,17.50,17.86,0.20,1.13,"24,196","4,291",2.27,4.84
2021-07-21,森林包装,0605500,17.59,17.78,17.57,17.66,0.02,0.11,"11,213","1,977",1.19,2.24
2021-07-20,森林包装,0605500,17.51,17.66,17.45,17.64,0.06,0.34,"9,067","1,592",1.19,1.81
2021-07-19,森林包装,0605500,17.75,17.84,17.53,17.58,-0.23,-1.29,"12,974","2,291",1.74,2.59
2021-07-16,森林包装,0605500,17.86,17.91,17.75,17.81,-0.04,-0.22,"13,397","2,390",0.90,2.68
2021-07-15,森林包装,0605500,17.70,18.03,17.67,17.85,0.13,0.73,"19,554","3,496",2.03,3.91
2021-07-14,森林包装,0605500,17.81,17.96,17.72,17.72,-0.10,-0.56,"13,178","2,349",1.35,2.64
2021-07-13,森林包装,0605500,17.97,18.11,17.77,17.82,0.12,0.68,"22,588","4,047",1.92,4.52
2021-07-12,森林包装,0605500,17.61,17.83,17.58,17.70,0.14,0.80,"14,631","2,592",1.42,2.93
2021-07-09,森林包装,0605500,17.45,17.59,17.43,17.56,0.05,0.29,"9,646","1,687",0.91,1.93
2021-07-08,森林包装,0605500,17.70,17.72,17.49,17.51,-0.19,-1.07,"10,511","1,844",1.30,2.10
2021-07-07,森林包装,0605500,17.65,17.72,17.58,17.70,0.04,0.23,"9,417","1,664",0.79,1.88
2021-07-06,森林包装,0605500,17.52,17.75,17.40,17.66,0.14,0.80,"9,715","1,711",2.00,1.94
2021-07-05,森林包装,0605500,17.48,17.55,17.45,17.52,0.06,0.34,"6,860","1,200",0.57,1.37
2021-07-02,森林包装,0605500,17.49,17.52,17.41,17.46,-0.14,-0.80,"9,742","1,701",0.63,1.95
2021-07-01,森林包装,0605500,17.66,17.76,17.58,17.60,-0.07,-0.40,"11,053","1,951",1.02,2.21
2021-12-31,森林包装,0605500,17.96,18.11,17.85,18.05,0.09,0.50,"12,789","2,301",1.45,2.56
2021-12-30,森林包装,0605500,17.87,17.99,17.78,17.96,0.09,0.50,"8,757","1,570",1.18,1.75
2021-12-29,森林包装,0605500,17.81,18.03,17.60,17.87,0.06,0.34,"13,209","2,361",2.41,2.64
2021-12-28,森林包装,0605500,17.71,17.85,17.59,17.81,0.10,0.56,"8,988","1,594",1.47,1.80
2021-12-27,森林包装,0605500,17.55,17.75,17.45,17.71,0.16,0.91,"7,918","1,395",1.71,1.58
2021-12-24,森林包装,0605500,17.79,17.79,17.48,17.55,-0.21,-1.18,"10,157","1,786",1.75,2.03
2021-12-23,森林包装,0605500,17.98,18.02,17.73,17.76,-0.24,-1.33,"12,129","2,159",1.61,2.43
2021-12-22,森林包装,0605500,17.71,18.15,17.71,18.00,0.31,1.75,"27,420","4,930",2.49,5.48
2021-12-21,森林包装,0605500,17.52,17.70,17.43,17.69,0.27,1.55,"13,265","2,338",1.55,2.65
2021-12-20,森林包装,0605500,17.58,17.70,17.41,17.42,-0.16,-0.91,"12,917","2,265",1.65,2.58
2021-12-17,森林包装,0605500,17.74,17.82,17.47,17.58,-0.13,-0.73,"13,492","2,373",1.98,2.70
2021-12-16,森林包装,0605500,17.75,17.80,17.63,17.71,-0.04,-0.23,"11,934","2,114",0.96,2.39
2021-12-15,森林包装,0605500,17.75,17.84,17.58,17.75,0.05,0.28,"17,412","3,082",1.47,3.48
2021-12-14,森林包装,0605500,17.55,17.80,17.47,17.70,0.13,0.74,"18,823","3,331",1.88,3.76
2021-12-13,森林包装,0605500,17.54,17.59,17.42,17.57,0.07,0.40,"11,175","1,956",0.97,2.24
2021-12-10,森林包装,0605500,17.45,17.54,17.36,17.50,0.02,0.11,"8,135","1,419",1.03,1.63
2021-12-09,森林包装,0605500,17.34,17.51,17.29,17.48,0.22,1.27,"12,743","2,222",1.27,2.55
2021-12-08,森林包装,0605500,17.33,17.39,17.21,17.26,-0.03,-0.17,"8,172","1,413",1.04,1.63
2021-12-07,森林包装,0605500,17.39,17.39,17.10,17.29,0.10,0.58,"8,601","1,483",1.69,1.72
2021-12-06,森林包装,0605500,17.53,17.55,17.15,17.19,-0.39,-2.22,"15,139","2,625",2.28,3.03
2021-12-03,森林包装,0605500,17.54,17.66,17.40,17.58,0.03,0.17,"14,810","2,598",1.48,2.96
2021-12-02,森林包装,0605500,17.48,17.77,17.40,17.55,0.07,0.40,"24,171","4,253",2.12,4.83
2021-12-01,森林包装,0605500,16.95,17.63,16.95,17.48,0.42,2.46,"26,794","4,686",3.99,5.36
2021-11-30,森林包装,0605500,16.96,17.17,16.84,17.06,0.20,1.19,"8,739","1,492",1.96,1.75
2021-11-29,森林包装,0605500,17.02,17.05,16.82,16.86,-0.32,-1.86,"11,741","1,988",1.34,2.35
2021-11-26,森林包装,0605500,17.30,17.34,17.11,17.18,-0.43,-2.44,"20,615","3,552",1.31,4.12
2021-11-25,森林包装,0605500,17.61,17.78,17.48,17.61,0.06,0.34,"13,062","2,300",1.71,2.61
2021-11-24,森林包装,0605500,17.53,17.75,17.37,17.55,0.02,0.11,"11,984","2,105",2.17,2.40
2021-11-23,森林包装,0605500,17.48,17.56,17.41,17.53,0.05,0.29,"10,206","1,786",0.86,2.04
2021-11-22,森林包装,0605500,17.23,17.62,17.11,17.48,0.28,1.63,"18,570","3,233",2.97,3.71
2021-11-19,森林包装,0605500,17.05,17.24,17.05,17.20,0.16,0.94,"5,609",962,1.12,1.12
2021-11-18,森林包装,0605500,17.35,17.35,17.01,17.04,-0.28,-1.62,"9,932","1,705",1.96,1.99
2021-11-17,森林包装,0605500,17.26,17.34,17.19,17.32,0.12,0.70,"7,584","1,311",0.87,1.52
2021-11-16,森林包装,0605500,17.33,17.36,17.15,17.20,-0.13,-0.75,"9,157","1,578",1.21,1.83
2021-11-15,森林包装,0605500,17.14,17.38,17.11,17.33,0.21,1.23,"15,624","2,700",1.58,3.12
2021-11-12,森林包装,0605500,17.10,17.15,16.96,17.12,0.02,0.12,"7,754","1,323",1.11,1.55
2021-11-11,森林包装,0605500,17.08,17.14,16.90,17.10,0.09,0.53,"7,813","1,334",1.41,1.56
