日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,东方铁塔,1002545,11.85,12.25,11.85,12.25,0.32,2.68,"21,562","2,615",3.35,0.31
2017-06-29,东方铁塔,1002545,12.04,12.21,11.91,11.93,-0.22,-1.81,"32,041","3,842",2.47,0.46
2017-06-28,东方铁塔,1002545,12.10,12.48,12.07,12.15,0.00,0.00,"40,006","4,907",3.37,0.57
2017-06-27,东方铁塔,1002545,11.86,12.18,11.85,12.15,0.15,1.25,"27,245","3,266",2.75,0.39
2017-06-26,东方铁塔,1002545,11.91,12.07,11.82,12.00,-0.18,-1.48,"54,526","6,490",2.05,0.77
2017-06-23,东方铁塔,1002545,12.30,12.30,11.95,12.18,-0.01,-0.08,"29,349","3,536",2.87,0.42
2017-06-22,东方铁塔,1002545,12.28,12.36,12.05,12.19,-0.06,-0.49,"26,334","3,213",2.53,0.37
2017-06-21,东方铁塔,1002545,12.23,12.40,12.13,12.25,-0.01,-0.08,"26,992","3,307",2.20,0.38
2017-06-20,东方铁塔,1002545,12.60,12.60,12.19,12.26,-0.34,-2.70,"55,749","6,878",3.25,0.79
2017-06-19,东方铁塔,1002545,12.18,12.66,12.12,12.60,0.40,3.28,"56,377","7,040",4.43,0.80
2017-06-16,东方铁塔,1002545,11.78,12.37,11.70,12.20,0.46,3.92,"63,646","7,716",5.71,0.90
2017-06-15,东方铁塔,1002545,11.82,11.86,11.72,11.74,-0.01,-0.09,"38,402","4,519",1.19,0.55
2017-06-14,东方铁塔,1002545,11.99,12.07,11.68,11.75,-0.16,-1.34,"88,427","10,482",3.27,1.26
2017-06-13,东方铁塔,1002545,12.28,12.46,11.90,11.91,-0.35,-2.85,"56,120","6,864",4.57,0.80
2017-06-12,东方铁塔,1002545,12.41,12.49,12.26,12.26,-0.16,-1.29,"34,381","4,245",1.85,0.49
2017-06-09,东方铁塔,1002545,12.17,12.51,12.17,12.42,0.16,1.31,"49,627","6,141",2.77,0.70
2017-06-08,东方铁塔,1002545,12.39,12.55,12.12,12.26,-0.12,-0.97,"67,892","8,343",3.47,0.96
2017-06-07,东方铁塔,1002545,11.88,12.42,11.86,12.38,0.46,3.86,"93,996","11,458",4.70,1.33
2017-06-06,东方铁塔,1002545,11.75,12.00,11.66,11.92,0.14,1.19,"54,216","6,414",2.89,0.77
2017-06-05,东方铁塔,1002545,11.71,11.95,11.52,11.78,0.11,0.94,"67,075","7,903",3.68,0.95
2017-06-02,东方铁塔,1002545,11.16,11.70,11.09,11.67,0.45,4.01,"94,601","10,817",5.44,1.34
2017-06-01,东方铁塔,1002545,11.21,11.43,11.05,11.22,-0.02,-0.18,"44,663","5,027",3.38,0.63
2017-05-31,东方铁塔,1002545,11.25,11.45,11.20,11.24,-0.03,-0.27,"43,226","4,880",2.22,0.61
2017-05-26,东方铁塔,1002545,11.28,11.40,11.08,11.27,-0.01,-0.09,"73,465","8,276",2.84,1.04
2017-05-25,东方铁塔,1002545,10.73,11.29,10.66,11.28,0.47,4.35,"163,883","18,187",5.83,2.33
2017-05-24,东方铁塔,1002545,10.32,10.85,10.31,10.81,0.39,3.74,"92,609","9,883",5.18,1.32
2017-05-23,东方铁塔,1002545,10.30,10.50,10.18,10.42,0.04,0.39,"60,589","6,233",3.08,0.86
2017-05-22,东方铁塔,1002545,10.39,10.51,10.23,10.38,-0.02,-0.19,"30,890","3,222",2.69,0.44
2017-05-19,东方铁塔,1002545,10.35,10.49,10.32,10.40,0.05,0.48,"27,063","2,818",1.64,0.38
2017-05-18,东方铁塔,1002545,10.27,10.46,10.16,10.35,0.04,0.39,"31,633","3,265",2.91,0.45
2017-05-17,东方铁塔,1002545,10.33,10.48,10.20,10.31,-0.03,-0.29,"41,239","4,274",2.71,0.59
2017-05-16,东方铁塔,1002545,10.15,10.36,10.01,10.34,0.19,1.87,"45,452","4,643",3.45,0.65
2017-05-15,东方铁塔,1002545,10.02,10.29,10.02,10.15,0.17,1.70,"32,890","3,338",2.71,0.47
2017-05-12,东方铁塔,1002545,9.79,9.99,9.77,9.98,0.13,1.32,"20,459","2,020",2.23,0.29
2017-05-11,东方铁塔,1002545,9.83,9.97,9.70,9.85,-0.01,-0.10,"39,631","3,876",2.74,0.56
2017-05-10,东方铁塔,1002545,10.05,10.05,9.86,9.86,-0.12,-1.20,"20,409","2,027",1.90,0.29
2017-05-09,东方铁塔,1002545,9.91,10.04,9.85,9.98,0.02,0.20,"30,495","3,025",1.91,0.43
2017-05-08,东方铁塔,1002545,10.05,10.08,9.96,9.96,-0.08,-0.80,"26,477","2,652",1.20,0.38
2017-05-05,东方铁塔,1002545,10.03,10.09,9.98,10.04,0.00,0.00,"24,828","2,488",1.10,0.35
2017-05-04,东方铁塔,1002545,10.11,10.17,10.00,10.04,-0.04,-0.40,"20,809","2,094",1.69,0.30
2017-05-03,东方铁塔,1002545,10.07,10.13,10.00,10.08,-0.02,-0.20,"27,386","2,762",1.29,0.39
2017-05-02,东方铁塔,1002545,10.28,10.28,10.05,10.10,-0.10,-0.98,"27,296","2,768",2.25,0.39
2017-04-28,东方铁塔,1002545,10.18,10.27,10.12,10.20,0.01,0.10,"27,021","2,758",1.47,0.38
2017-04-27,东方铁塔,1002545,9.99,10.25,9.90,10.19,0.19,1.90,"42,100","4,228",3.50,0.60
2017-04-26,东方铁塔,1002545,10.05,10.08,9.85,10.00,-0.05,-0.50,"30,875","3,083",2.29,0.44
2017-04-25,东方铁塔,1002545,10.10,10.15,9.98,10.05,0.00,0.00,"30,597","3,076",1.69,0.43
2017-04-24,东方铁塔,1002545,10.39,10.50,10.05,10.05,-0.34,-3.27,"44,476","4,504",4.33,0.63
2017-04-21,东方铁塔,1002545,10.26,10.50,10.26,10.39,0.03,0.29,"50,085","5,195",2.32,0.71
2017-04-20,东方铁塔,1002545,10.23,10.46,10.13,10.36,0.18,1.77,"70,576","7,261",3.24,1.00
2017-04-19,东方铁塔,1002545,10.09,10.22,9.84,10.18,0.09,0.89,"46,623","4,672",3.77,0.66
2017-04-18,东方铁塔,1002545,10.10,10.20,10.02,10.09,-0.02,-0.20,"35,713","3,612",1.78,0.51
2017-04-17,东方铁塔,1002545,10.25,10.25,10.00,10.11,-0.15,-1.46,"31,683","3,187",2.44,0.45
2017-04-14,东方铁塔,1002545,10.33,10.40,10.14,10.26,-0.13,-1.25,"45,537","4,656",2.50,0.65
