日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-09-30,华达新材,0605158,11.52,11.58,11.32,11.39,-0.08,-0.70,"15,295","1,749",2.27,1.55
2020-09-29,华达新材,0605158,11.49,11.59,11.43,11.47,0.02,0.17,"15,964","1,833",1.40,1.62
2020-09-28,华达新材,0605158,11.70,11.71,11.40,11.45,-0.25,-2.14,"27,846","3,206",2.65,2.83
2020-09-25,华达新材,0605158,11.91,11.95,11.62,11.70,-0.22,-1.85,"30,079","3,537",2.77,3.06
2020-09-24,华达新材,0605158,12.00,12.19,11.91,11.92,-0.17,-1.41,"37,761","4,543",2.32,3.84
2020-09-23,华达新材,0605158,11.79,12.29,11.74,12.09,0.35,2.98,"49,106","5,939",4.68,4.99
2020-09-22,华达新材,0605158,12.03,12.03,11.66,11.74,-0.42,-3.45,"46,814","5,543",3.04,4.76
2020-09-21,华达新材,0605158,12.30,12.30,12.16,12.16,-0.14,-1.14,"23,514","2,873",1.14,2.39
2020-09-18,华达新材,0605158,12.21,12.33,12.11,12.30,0.01,0.08,"40,587","4,959",1.79,4.12
2020-09-17,华达新材,0605158,12.01,12.36,11.98,12.29,0.20,1.65,"59,484","7,283",3.14,6.05
2020-09-16,华达新材,0605158,11.94,12.11,11.86,12.09,0.07,0.58,"30,957","3,720",2.08,3.15
2020-09-15,华达新材,0605158,11.77,12.12,11.65,12.02,0.25,2.12,"42,296","5,051",3.99,4.30
2020-09-14,华达新材,0605158,11.78,11.87,11.71,11.77,-0.02,-0.17,"27,477","3,239",1.36,2.79
2020-09-11,华达新材,0605158,11.65,11.80,11.40,11.79,0.06,0.51,"43,955","5,091",3.41,4.47
2020-09-10,华达新材,0605158,12.40,12.43,11.68,11.73,-0.55,-4.48,"54,457","6,536",6.11,5.53
2020-09-09,华达新材,0605158,12.51,12.52,12.21,12.28,-0.35,-2.77,"47,532","5,890",2.45,4.83
2020-09-08,华达新材,0605158,12.68,12.75,12.44,12.63,0.07,0.56,"35,210","4,423",2.47,3.58
2020-09-07,华达新材,0605158,12.58,12.79,12.49,12.56,-0.06,-0.48,"37,229","4,703",2.38,3.78
2020-09-04,华达新材,0605158,12.58,12.67,12.45,12.62,-0.18,-1.41,"38,979","4,897",1.72,3.96
2020-09-03,华达新材,0605158,13.00,13.06,12.79,12.80,-0.26,-1.99,"45,015","5,815",2.07,4.57
2020-09-02,华达新材,0605158,12.82,13.16,12.77,13.06,0.33,2.59,"68,783","8,942",3.06,6.99
2020-09-01,华达新材,0605158,12.82,12.82,12.63,12.73,-0.09,-0.70,"33,573","4,267",1.48,3.41
2020-08-31,华达新材,0605158,12.89,12.97,12.76,12.82,-0.04,-0.31,"42,008","5,408",1.63,4.27
2020-08-28,华达新材,0605158,12.68,12.97,12.63,12.86,0.16,1.26,"50,387","6,467",2.68,5.12
