日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-12-31,博迁新材,0605376,47.60,48.73,44.68,47.00,2.39,5.36,"203,372","95,228",9.08,31.10
2020-12-30,博迁新材,0605376,43.10,44.61,43.10,44.61,4.06,10.01,"81,088","35,812",3.72,12.40
2020-12-29,博迁新材,0605376,44.58,45.78,40.55,40.55,-4.43,-9.85,"221,395","96,028",11.63,33.85
2020-12-28,博迁新材,0605376,47.68,49.97,43.23,44.98,-0.45,-0.99,"270,124","126,906",14.84,41.30
2020-12-25,博迁新材,0605376,43.66,45.43,42.20,45.43,4.13,10.00,"158,788","70,357",7.82,24.28
2020-12-24,博迁新材,0605376,40.00,43.89,39.27,41.30,0.06,0.15,"280,639","117,172",11.20,42.91
2020-12-23,博迁新材,0605376,34.55,41.24,34.55,41.24,3.75,10.00,"314,767","118,795",17.84,48.13
2020-12-22,博迁新材,0605376,38.00,39.57,37.01,37.49,1.52,4.23,"361,726","140,235",7.12,55.31
2020-12-21,博迁新材,0605376,39.00,39.00,33.20,35.97,-0.10,-0.28,"362,130","129,898",16.08,55.37
2020-12-18,博迁新材,0605376,36.07,36.07,36.07,36.07,3.28,10.00,"4,938","1,781",0.00,0.76
2020-12-17,博迁新材,0605376,32.79,32.79,32.78,32.79,2.98,10.00,"109,028","35,750",0.03,16.67
2020-12-16,博迁新材,0605376,29.81,29.81,29.81,29.81,2.71,10.00,"94,274","28,103",0.00,14.42
2020-12-15,博迁新材,0605376,27.10,27.10,27.10,27.10,2.46,9.98,"7,891","2,138",0.00,1.21
2020-12-14,博迁新材,0605376,24.64,24.64,24.64,24.64,2.24,10.00,"17,629","4,344",0.00,2.70
2020-12-11,博迁新材,0605376,22.40,22.40,22.40,22.40,2.04,10.02,"14,522","3,253",0.00,2.22
2020-12-10,博迁新材,0605376,20.36,20.36,20.36,20.36,1.85,9.99,"1,150",234,0.00,0.18
2020-12-09,博迁新材,0605376,18.51,18.51,18.51,18.51,1.68,9.98,"1,478",274,0.00,0.23
2020-12-08,博迁新材,0605376,14.03,16.83,14.03,16.83,5.14,43.97,"4,615",775,23.95,0.71
2021-09-30,博迁新材,0605376,73.37,75.75,72.80,74.64,1.27,1.73,"20,854","15,508",4.02,3.19
2021-09-29,博迁新材,0605376,71.96,75.33,70.71,73.37,1.35,1.87,"33,366","24,382",6.41,5.10
2021-09-28,博迁新材,0605376,75.30,75.30,70.30,72.02,-3.28,-4.36,"24,550","17,645",6.64,3.75
2021-09-27,博迁新材,0605376,74.50,76.65,72.50,75.30,0.80,1.07,"27,914","20,754",5.57,4.27
2021-09-24,博迁新材,0605376,77.03,78.25,73.98,74.50,-2.59,-3.36,"36,312","27,496",5.54,5.55
2021-09-23,博迁新材,0605376,80.80,80.90,76.90,77.09,-2.61,-3.27,"33,768","26,433",5.02,5.16
2021-09-22,博迁新材,0605376,83.06,84.37,78.88,79.70,-5.40,-6.35,"35,219","28,317",6.45,5.39
2021-09-17,博迁新材,0605376,85.06,87.00,82.00,85.10,0.09,0.11,"24,309","20,465",5.88,3.72
2021-09-16,博迁新材,0605376,87.52,89.89,85.00,85.01,-2.18,-2.50,"19,243","16,746",5.61,2.94
2021-09-15,博迁新材,0605376,88.50,92.88,85.98,87.19,-1.46,-1.65,"31,076","27,644",7.78,4.75
2021-09-14,博迁新材,0605376,89.98,90.19,87.00,88.65,-0.25,-0.28,"15,139","13,423",3.59,2.31
2021-09-13,博迁新材,0605376,91.88,92.40,88.00,88.90,-3.90,-4.20,"19,316","17,305",4.74,2.95
2021-09-10,博迁新材,0605376,91.62,93.10,89.91,92.80,1.18,1.29,"11,743","10,766",3.48,1.80
2021-09-09,博迁新材,0605376,91.08,93.26,88.75,91.62,-0.18,-0.20,"14,745","13,356",4.91,2.25
2021-09-08,博迁新材,0605376,95.00,95.00,91.02,91.80,-2.40,-2.55,"10,947","10,073",4.23,1.67
2021-09-07,博迁新材,0605376,94.32,95.38,93.06,94.20,-0.18,-0.19,"8,385","7,885",2.46,1.28
2021-09-06,博迁新材,0605376,93.21,95.38,91.58,94.38,1.05,1.13,"11,021","10,351",4.07,1.69
2021-09-03,博迁新材,0605376,93.00,94.89,91.06,93.33,1.21,1.31,"14,765","13,765",4.16,2.26
2021-09-02,博迁新材,0605376,91.00,93.98,89.78,92.12,-0.05,-0.05,"14,172","13,070",4.56,2.17
2021-09-01,博迁新材,0605376,96.00,96.00,86.98,92.17,-2.13,-2.26,"22,010","20,201",9.57,3.37
2021-08-31,博迁新材,0605376,95.42,97.80,93.81,94.30,-0.46,-0.49,"16,384","15,560",4.21,2.51
2021-08-30,博迁新材,0605376,94.99,98.17,92.05,94.76,1.51,1.62,"26,261","24,939",6.56,4.02
2021-08-27,博迁新材,0605376,94.02,95.99,92.50,93.25,-0.25,-0.27,"18,740","17,585",3.73,2.87
2021-08-26,博迁新材,0605376,89.68,95.00,89.45,93.50,4.77,5.38,"32,725","30,507",6.25,5.00
2021-08-25,博迁新材,0605376,86.10,88.85,84.70,88.73,2.72,3.16,"23,289","20,219",4.83,3.56
2021-08-24,博迁新材,0605376,88.92,89.97,85.29,86.01,-0.89,-1.02,"18,957","16,395",5.39,2.90
2021-08-23,博迁新材,0605376,80.20,87.55,79.50,86.90,7.00,8.76,"35,369","30,169",10.08,5.41
2021-08-20,博迁新材,0605376,79.00,82.00,77.21,79.90,0.67,0.85,"17,233","13,743",6.05,2.64
2021-08-19,博迁新材,0605376,78.48,80.96,75.99,79.23,0.83,1.06,"29,320","23,026",6.34,4.48
2021-08-18,博迁新材,0605376,82.93,83.58,78.00,78.40,-4.59,-5.53,"27,832","22,395",6.72,4.26
2021-08-17,博迁新材,0605376,81.55,85.88,79.50,82.99,1.44,1.77,"23,846","19,712",7.82,3.65
2021-08-16,博迁新材,0605376,86.33,86.38,81.44,81.55,-5.04,-5.82,"22,115","18,412",5.71,3.38
2021-08-13,博迁新材,0605376,85.38,89.80,84.70,86.59,0.66,0.77,"15,363","13,463",5.94,2.35
2021-08-12,博迁新材,0605376,85.86,86.21,83.66,85.93,0.10,0.12,"12,187","10,368",2.97,1.86
2021-08-11,博迁新材,0605376,86.24,86.26,81.00,85.83,-0.09,-0.10,"13,464","11,377",6.12,2.06
2021-08-10,博迁新材,0605376,87.54,87.97,84.62,85.92,-1.76,-2.01,"17,465","14,990",3.82,2.67
2021-08-09,博迁新材,0605376,88.30,88.88,85.99,87.68,-1.15,-1.29,"13,870","12,149",3.25,2.12
2021-08-06,博迁新材,0605376,88.73,91.27,87.60,88.83,0.05,0.06,"19,488","17,304",4.13,2.98
2021-08-05,博迁新材,0605376,84.51,89.00,83.40,88.78,4.55,5.40,"30,476","26,636",6.65,4.66
2021-08-04,博迁新材,0605376,84.80,86.41,83.25,84.23,-0.77,-0.91,"22,423","19,012",3.72,3.43
