日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,哈尔斯,1002615,11.28,11.37,11.20,11.30,-0.05,-0.44,"23,039","2,598",1.50,0.56
2017-06-29,哈尔斯,1002615,11.32,11.40,11.21,11.35,-0.01,-0.09,"22,208","2,515",1.67,0.54
2017-06-28,哈尔斯,1002615,11.20,11.54,11.11,11.36,0.07,0.62,"43,613","4,961",3.81,1.06
2017-06-27,哈尔斯,1002615,11.30,11.40,11.20,11.29,-0.03,-0.27,"27,798","3,137",1.77,0.68
2017-06-26,哈尔斯,1002615,10.99,11.36,10.86,11.32,0.38,3.47,"59,743","6,718",4.57,1.46
2017-06-23,哈尔斯,1002615,10.84,10.95,10.75,10.94,0.06,0.55,"24,508","2,657",1.84,0.60
2017-06-22,哈尔斯,1002615,11.19,11.19,10.85,10.88,-0.34,-3.03,"29,990","3,311",3.03,0.73
2017-06-21,哈尔斯,1002615,10.87,11.25,10.85,11.22,0.34,3.13,"44,870","4,987",3.68,1.09
2017-06-20,哈尔斯,1002615,11.03,11.09,10.81,10.88,-0.15,-1.36,"17,741","1,948",2.54,0.43
2017-06-19,哈尔斯,1002615,10.99,11.07,10.88,11.03,0.05,0.46,"20,269","2,228",1.73,0.49
2017-06-16,哈尔斯,1002615,11.06,11.12,10.95,10.98,-0.15,-1.35,"26,712","2,942",1.53,0.65
2017-06-15,哈尔斯,1002615,10.68,11.17,10.68,11.13,0.40,3.73,"51,354","5,631",4.57,1.25
2017-06-14,哈尔斯,1002615,10.65,10.89,10.65,10.73,-0.15,-1.38,"25,702","2,763",2.21,0.63
2017-06-13,哈尔斯,1002615,10.82,11.02,10.73,10.88,0.04,0.37,"34,789","3,790",2.68,0.85
2017-06-12,哈尔斯,1002615,10.90,10.90,10.58,10.84,-0.09,-0.82,"35,987","3,866",2.93,0.88
2017-06-09,哈尔斯,1002615,10.99,11.01,10.82,10.93,-0.07,-0.64,"27,578","3,006",1.73,0.67
2017-06-08,哈尔斯,1002615,10.99,11.11,10.85,11.00,0.00,0.00,"32,689","3,587",2.36,0.80
2017-06-07,哈尔斯,1002615,10.55,11.00,10.41,11.00,0.45,4.27,"51,282","5,536",5.59,1.25
2017-06-06,哈尔斯,1002615,15.74,16.10,15.69,16.03,0.36,2.30,"22,227","3,549",2.62,0.81
2017-06-05,哈尔斯,1002615,15.72,15.78,15.42,15.67,0.14,0.90,"17,537","2,743",2.32,0.64
2017-06-02,哈尔斯,1002615,15.40,15.70,15.10,15.53,-0.08,-0.51,"24,816","3,821",3.84,0.91
2017-06-01,哈尔斯,1002615,16.00,16.14,15.56,15.61,-0.37,-2.32,"19,420","3,070",3.63,0.71
2017-05-31,哈尔斯,1002615,16.40,16.40,15.88,15.98,-0.02,-0.13,"11,587","1,863",3.25,0.42
2017-05-26,哈尔斯,1002615,15.81,16.19,15.72,16.00,0.20,1.27,"15,465","2,464",2.97,0.57
2017-05-25,哈尔斯,1002615,15.18,15.83,15.18,15.80,0.51,3.34,"19,241","2,990",4.25,0.70
2017-05-24,哈尔斯,1002615,15.12,15.39,15.00,15.29,0.12,0.79,"14,575","2,211",2.57,0.53
2017-05-23,哈尔斯,1002615,15.87,15.90,15.17,15.17,-0.70,-4.41,"17,353","2,681",4.60,0.63
2017-05-22,哈尔斯,1002615,15.90,16.20,15.75,15.87,-0.21,-1.31,"14,693","2,346",2.80,0.54
2017-05-19,哈尔斯,1002615,16.29,16.39,16.06,16.08,-0.25,-1.53,"19,651","3,199",2.02,0.72
2017-05-18,哈尔斯,1002615,16.31,16.41,16.09,16.33,0.02,0.12,"25,265","4,104",1.96,0.92
2017-05-17,哈尔斯,1002615,16.28,16.49,16.16,16.31,0.06,0.37,"20,168","3,290",2.03,0.74
