日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2022-03-31,哈焊华通,1301137,25.29,26.26,21.95,22.06,-3.79,-14.66,"184,123","44,446",16.67,42.71
2022-03-30,哈焊华通,1301137,25.30,26.27,24.00,25.85,0.05,0.19,"171,816","43,274",8.80,39.86
2022-03-29,哈焊华通,1301137,27.20,27.52,23.80,25.80,-2.20,-7.86,"218,280","55,483",13.29,50.63
2022-03-28,哈焊华通,1301137,27.01,28.28,25.67,28.00,0.98,3.63,"212,209","57,692",9.66,49.23
2022-03-25,哈焊华通,1301137,24.89,27.88,24.08,27.02,1.64,6.46,"256,193","67,072",14.97,59.43
2022-03-24,哈焊华通,1301137,24.12,27.20,24.12,25.38,0.45,1.81,"268,196","68,817",12.35,62.21
2022-03-23,哈焊华通,1301137,24.50,25.10,21.89,24.93,1.26,5.32,"272,039","64,690",13.56,63.10
2022-03-22,哈焊华通,1301137,26.00,28.53,23.51,23.67,8.30,54.00,"297,518","76,503",32.66,69.01
2022-08-12,哈焊华通,1301137,18.60,18.62,18.03,18.11,-0.52,-2.79,"48,140","8,812",3.17,11.17
2022-08-11,哈焊华通,1301137,18.85,18.98,18.45,18.63,-0.37,-1.95,"63,378","11,820",2.79,14.70
2022-08-10,哈焊华通,1301137,18.71,19.08,18.48,19.00,0.21,1.12,"76,960","14,518",3.19,17.85
2022-08-09,哈焊华通,1301137,18.29,18.96,18.29,18.79,0.41,2.23,"88,631","16,566",3.65,20.56
2022-08-08,哈焊华通,1301137,18.01,18.48,17.76,18.38,0.25,1.38,"53,186","9,689",3.97,12.34
2022-08-05,哈焊华通,1301137,18.45,18.55,17.72,18.13,-0.35,-1.89,"67,241","12,119",4.49,15.60
2022-08-04,哈焊华通,1301137,17.79,18.58,17.79,18.48,0.57,3.18,"70,661","12,912",4.41,16.39
2022-08-03,哈焊华通,1301137,17.60,18.80,17.60,17.91,0.22,1.24,"73,971","13,524",6.78,17.16
2022-08-02,哈焊华通,1301137,18.40,18.65,17.66,17.69,-0.89,-4.79,"58,996","10,636",5.33,13.69
2022-08-01,哈焊华通,1301137,18.14,18.60,17.98,18.58,0.43,2.37,"47,322","8,679",3.42,10.98
2022-07-29,哈焊华通,1301137,18.50,18.54,18.12,18.15,-0.36,-1.94,"41,658","7,620",2.27,9.66
2022-07-28,哈焊华通,1301137,18.02,18.67,17.93,18.51,0.59,3.29,"68,584","12,618",4.13,15.91
2022-07-27,哈焊华通,1301137,17.61,17.96,17.58,17.92,0.30,1.70,"23,346","4,167",2.16,5.42
2022-07-26,哈焊华通,1301137,17.60,17.69,17.07,17.62,0.09,0.51,"18,499","3,212",3.54,4.29
2022-07-25,哈焊华通,1301137,17.90,18.08,17.50,17.53,-0.37,-2.07,"19,707","3,488",3.24,4.57
2022-07-22,哈焊华通,1301137,17.74,18.15,17.67,17.90,-0.02,-0.11,"24,498","4,387",2.68,5.68
2022-07-21,哈焊华通,1301137,17.92,18.09,17.80,17.92,-0.16,-0.89,"31,490","5,649",1.60,7.30
2022-07-20,哈焊华通,1301137,17.68,18.13,17.42,18.08,0.54,3.08,"47,418","8,481",4.05,11.00
2022-07-19,哈焊华通,1301137,17.53,17.66,17.38,17.54,0.00,0.00,"23,282","4,076",1.60,5.40
2022-07-18,哈焊华通,1301137,17.20,17.76,17.17,17.54,0.21,1.21,"27,213","4,779",3.40,6.31
2022-07-15,哈焊华通,1301137,17.10,17.71,17.10,17.33,0.08,0.46,"37,347","6,526",3.54,8.66
2022-07-14,哈焊华通,1301137,16.85,17.33,16.77,17.25,0.40,2.37,"30,631","5,242",3.32,7.11
2022-07-13,哈焊华通,1301137,16.33,16.96,16.26,16.85,0.56,3.44,"30,143","5,034",4.30,6.99
2022-07-12,哈焊华通,1301137,16.74,16.86,16.26,16.29,-0.48,-2.86,"25,553","4,195",3.58,5.93
2022-07-11,哈焊华通,1301137,16.89,17.13,16.60,16.77,-0.20,-1.18,"25,740","4,324",3.12,5.97
2022-07-08,哈焊华通,1301137,17.00,17.30,16.90,16.97,0.07,0.41,"23,043","3,937",2.37,5.35
2022-07-07,哈焊华通,1301137,16.92,17.20,16.78,16.90,0.01,0.06,"19,197","3,253",2.49,4.45
2022-07-06,哈焊华通,1301137,17.50,17.66,16.78,16.89,-0.61,-3.49,"37,491","6,430",5.03,8.70
2022-07-05,哈焊华通,1301137,18.01,18.04,17.42,17.50,-0.49,-2.72,"33,148","5,847",3.45,7.69
