日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,好太太,0603848,24.80,25.88,22.35,22.69,-1.28,-5.34,"246,337","59,818",14.73,60.08
2017-12-28,好太太,0603848,21.10,23.97,20.62,23.97,2.18,10.00,"200,088","44,794",15.37,48.80
2017-12-27,好太太,0603848,20.05,22.35,19.99,21.79,1.37,6.71,"210,863","44,638",11.56,51.43
2017-12-26,好太太,0603848,19.01,20.86,18.93,20.42,1.20,6.24,"172,917","34,862",10.04,42.17
2017-12-25,好太太,0603848,19.50,19.66,18.56,19.22,-0.74,-3.71,"119,836","22,861",5.51,29.23
2017-12-22,好太太,0603848,19.64,20.46,19.37,19.96,0.18,0.91,"138,719","27,754",5.51,33.83
2017-12-21,好太太,0603848,19.40,20.30,18.91,19.78,-0.42,-2.08,"139,798","27,344",6.88,34.10
2017-12-20,好太太,0603848,20.69,21.15,20.06,20.20,-0.43,-2.08,"148,609","30,670",5.28,36.25
2017-12-19,好太太,0603848,21.26,21.79,20.25,20.63,-1.51,-6.82,"182,187","38,154",6.96,44.44
2017-12-18,好太太,0603848,23.46,23.50,22.14,22.14,-2.46,-10.00,"159,176","36,050",5.53,38.82
2017-12-15,好太太,0603848,24.66,27.59,23.90,24.60,-0.94,-3.68,"296,087","74,745",14.45,72.22
2017-12-14,好太太,0603848,23.70,25.78,22.68,25.54,1.19,4.89,"282,873","67,360",12.73,68.99
2017-12-13,好太太,0603848,23.70,24.35,23.05,24.35,2.21,9.98,"307,593","73,125",5.87,75.02
2017-12-12,好太太,0603848,22.14,22.14,22.14,22.14,2.01,9.99,"9,544","2,113",0.00,2.33
2017-12-11,好太太,0603848,20.13,20.13,20.13,20.13,1.83,10.00,"2,481",499,0.00,0.61
2017-12-08,好太太,0603848,18.30,18.30,18.30,18.30,1.66,9.98,"3,563",652,0.00,0.87
2017-12-07,好太太,0603848,16.64,16.64,16.64,16.64,1.51,9.98,"1,137",189,0.00,0.28
2017-12-06,好太太,0603848,15.13,15.13,15.13,15.13,1.38,10.04,670,101,0.00,0.16
2017-12-05,好太太,0603848,13.75,13.75,13.75,13.75,1.25,10.00,386,53,0.00,0.09
2017-12-04,好太太,0603848,12.50,12.50,12.50,12.50,1.14,10.04,118,15,0.00,0.03
