日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,扬子新材,1002652,7.24,7.30,7.17,7.21,-0.08,-1.10,"57,970","4,194",1.78,1.13
2017-06-29,扬子新材,1002652,7.32,7.35,7.25,7.29,-0.02,-0.27,"54,783","3,999",1.37,1.07
2017-06-28,扬子新材,1002652,7.36,7.40,7.23,7.31,-0.09,-1.22,"48,698","3,556",2.30,0.95
2017-06-27,扬子新材,1002652,7.53,7.53,7.32,7.40,-0.10,-1.33,"80,898","5,994",2.80,1.58
2017-06-26,扬子新材,1002652,7.49,7.53,7.35,7.50,0.00,0.00,"116,654","8,683",2.40,2.28
2017-06-23,扬子新材,1002652,7.22,7.50,7.13,7.50,0.35,4.90,"154,458","11,366",5.17,3.02
2017-06-22,扬子新材,1002652,7.37,7.42,7.11,7.15,-0.28,-3.77,"82,125","6,005",4.17,1.60
2017-06-21,扬子新材,1002652,7.24,7.46,7.15,7.43,0.15,2.06,"89,713","6,556",4.26,1.75
2017-06-20,扬子新材,1002652,7.32,7.44,7.18,7.28,0.01,0.14,"137,782","10,118",3.58,2.69
2017-06-19,扬子新材,1002652,7.08,7.27,7.08,7.27,0.19,2.68,"90,656","6,538",2.68,1.77
2017-06-16,扬子新材,1002652,7.22,7.22,7.07,7.08,-0.13,-1.80,"71,498","5,083",2.08,1.40
2017-06-15,扬子新材,1002652,7.09,7.29,7.04,7.21,0.11,1.55,"111,269","7,987",3.52,2.17
2017-06-14,扬子新材,1002652,6.93,7.16,6.89,7.10,0.16,2.31,"107,350","7,576",3.89,2.10
2017-06-13,扬子新材,1002652,6.85,6.95,6.78,6.94,0.11,1.61,"61,333","4,235",2.49,1.20
2017-06-12,扬子新材,1002652,6.93,6.94,6.74,6.83,-0.17,-2.43,"72,735","4,965",2.86,1.42
2017-06-09,扬子新材,1002652,7.04,7.07,6.86,7.00,-0.09,-1.27,"90,901","6,324",2.96,1.78
2017-06-08,扬子新材,1002652,7.19,7.28,7.05,7.09,-0.14,-1.94,"120,528","8,588",3.18,2.35
2017-06-07,扬子新材,1002652,7.04,7.32,7.01,7.23,0.22,3.14,"117,328","8,424",4.42,2.29
2017-06-06,扬子新材,1002652,6.98,7.06,6.91,7.01,0.00,0.00,"63,188","4,418",2.14,1.23
2017-06-05,扬子新材,1002652,6.87,7.07,6.82,7.01,0.16,2.34,"85,896","5,993",3.65,1.68
2017-06-02,扬子新材,1002652,6.69,6.85,6.58,6.85,0.20,3.01,"61,694","4,142",4.06,1.20
2017-06-01,扬子新材,1002652,6.83,6.83,6.51,6.65,-0.19,-2.78,"85,313","5,694",4.68,1.67
2017-05-31,扬子新材,1002652,7.07,7.09,6.81,6.84,-0.08,-1.16,"79,213","5,506",4.05,1.55
2017-05-26,扬子新材,1002652,6.88,6.94,6.81,6.92,0.03,0.44,"78,504","5,403",1.89,1.53
2017-05-25,扬子新材,1002652,6.83,6.93,6.65,6.89,-0.01,-0.14,"123,449","8,399",4.06,2.41
2017-05-24,扬子新材,1002652,6.72,7.10,6.60,6.90,0.25,3.76,"169,068","11,573",7.52,3.30
2017-05-23,扬子新材,1002652,7.00,7.05,6.59,6.65,-0.38,-5.41,"127,692","8,730",6.54,2.49
2017-05-22,扬子新材,1002652,7.28,7.28,6.89,7.03,-0.28,-3.83,"164,062","11,640",5.34,3.20
2017-05-19,扬子新材,1002652,7.49,7.54,7.25,7.31,-0.19,-2.53,"143,009","10,565",3.87,2.79
2017-05-18,扬子新材,1002652,7.55,7.68,7.48,7.50,-0.20,-2.60,"177,983","13,465",2.60,3.48
2017-05-17,扬子新材,1002652,7.75,7.90,7.64,7.70,-0.02,-0.26,"261,333","20,221",3.37,5.10
2017-05-16,扬子新材,1002652,7.60,7.83,7.45,7.72,-0.21,-2.65,"327,219","25,007",4.79,6.39
2017-05-15,扬子新材,1002652,7.52,8.00,7.48,7.93,-0.28,-3.41,"518,114","39,549",6.33,10.12
2017-05-12,扬子新材,1002652,8.21,8.21,8.21,8.21,-0.91,-9.98,"6,623",544,0.00,0.13
2017-05-11,扬子新材,1002652,9.12,9.12,9.12,9.12,-1.01,-9.97,"1,337",122,0.00,0.03
2017-05-10,扬子新材,1002652,16.30,16.30,16.30,16.30,-1.81,-9.99,"1,019",166,0.00,0.03
2017-09-26,扬子新材,1002652,7.50,8.28,7.45,8.28,0.75,9.96,"194,263","15,251",11.02,3.79
2017-09-25,扬子新材,1002652,7.61,7.85,7.51,7.53,-0.19,-2.46,"76,053","5,825",4.40,1.49
2017-09-22,扬子新材,1002652,7.46,8.00,7.43,7.72,0.25,3.35,"139,674","10,724",7.63,2.73
2017-09-21,扬子新材,1002652,7.48,7.53,7.41,7.47,-0.01,-0.13,"40,264","3,006",1.60,0.79
2017-09-20,扬子新材,1002652,7.43,7.52,7.37,7.48,0.06,0.81,"51,620","3,839",2.02,1.01
2017-09-19,扬子新材,1002652,7.42,7.44,7.36,7.42,0.02,0.27,"45,794","3,382",1.08,0.89
2017-09-18,扬子新材,1002652,7.23,7.40,7.21,7.40,0.13,1.79,"45,502","3,330",2.61,0.89
2017-09-15,扬子新材,1002652,7.32,7.35,7.27,7.27,-0.06,-0.82,"33,675","2,456",1.09,0.66
2017-09-14,扬子新材,1002652,7.33,7.38,7.29,7.33,0.02,0.27,"55,330","4,057",1.23,1.08
2017-09-13,扬子新材,1002652,7.37,7.37,7.26,7.31,-0.05,-0.68,"30,904","2,258",1.49,0.60
2017-09-12,扬子新材,1002652,7.42,7.42,7.29,7.36,-0.02,-0.27,"54,282","3,986",1.76,1.06
2017-09-11,扬子新材,1002652,7.24,7.38,7.24,7.38,0.15,2.07,"43,260","3,159",1.94,0.84
2017-09-08,扬子新材,1002652,7.27,7.31,7.21,7.23,-0.05,-0.69,"40,705","2,958",1.37,0.79
2017-09-07,扬子新材,1002652,7.34,7.38,7.26,7.28,-0.07,-0.95,"63,592","4,643",1.63,1.24
2017-09-06,扬子新材,1002652,7.43,7.48,7.35,7.35,-0.12,-1.61,"62,503","4,629",1.74,1.22
2017-09-05,扬子新材,1002652,7.46,7.54,7.42,7.47,-0.01,-0.13,"50,568","3,778",1.60,0.99
2017-09-04,扬子新材,1002652,7.47,7.48,7.35,7.48,0.02,0.27,"69,006","5,118",1.74,1.35
2017-09-01,扬子新材,1002652,7.43,7.60,7.38,7.46,0.04,0.54,"92,747","6,942",2.97,1.81
2017-08-31,扬子新材,1002652,7.37,7.45,7.33,7.42,0.03,0.41,"61,654","4,557",1.62,1.20
2017-08-30,扬子新材,1002652,7.39,7.43,7.30,7.39,0.04,0.54,"63,829","4,700",1.77,1.25
2017-08-29,扬子新材,1002652,7.44,7.46,7.27,7.35,-0.09,-1.21,"90,325","6,632",2.55,1.76
2017-08-28,扬子新材,1002652,7.39,7.48,7.35,7.44,-0.03,-0.40,"118,664","8,787",1.74,2.32
2017-08-25,扬子新材,1002652,7.30,7.53,7.28,7.47,0.13,1.77,"117,190","8,695",3.41,2.29
2017-08-24,扬子新材,1002652,7.50,7.60,7.32,7.34,-0.30,-3.93,"165,793","12,370",3.66,3.24
2017-08-23,扬子新材,1002652,7.28,7.65,7.17,7.64,0.35,4.80,"245,545","18,259",6.58,4.80
2017-08-22,扬子新材,1002652,7.06,7.69,7.04,7.29,0.28,3.99,"209,721","15,387",9.27,4.10
2017-08-21,扬子新材,1002652,7.03,7.04,6.94,7.01,-0.02,-0.28,"72,452","5,069",1.42,1.41
2017-08-18,扬子新材,1002652,7.05,7.14,7.00,7.03,-0.24,-3.30,"117,358","8,295",1.93,2.29
2017-08-17,扬子新材,1002652,7.15,7.28,7.14,7.27,0.09,1.25,"65,820","4,744",1.95,1.29
2017-08-16,扬子新材,1002652,7.14,7.24,7.09,7.18,0.06,0.84,"71,339","5,113",2.11,1.39
2017-08-15,扬子新材,1002652,7.13,7.20,7.08,7.12,-0.06,-0.84,"65,822","4,697",1.67,1.29
2017-08-14,扬子新材,1002652,6.97,7.18,6.96,7.18,0.18,2.57,"74,677","5,308",3.14,1.46
2017-08-11,扬子新材,1002652,7.05,7.10,6.98,7.00,-0.09,-1.27,"47,391","3,331",1.69,0.93
2017-08-10,扬子新材,1002652,7.06,7.16,6.96,7.09,0.03,0.42,"78,617","5,549",2.83,1.54
2017-08-09,扬子新材,1002652,7.13,7.19,7.04,7.06,-0.10,-1.40,"68,487","4,867",2.10,1.34
2017-08-08,扬子新材,1002652,6.95,7.17,6.90,7.16,0.20,2.87,"69,462","4,875",3.88,1.36
2017-08-07,扬子新材,1002652,6.90,6.97,6.87,6.96,0.06,0.87,"43,055","2,980",1.45,0.84
2017-08-04,扬子新材,1002652,6.98,7.04,6.89,6.90,-0.09,-1.29,"53,720","3,728",2.15,1.05
2017-08-03,扬子新材,1002652,6.91,6.99,6.85,6.99,0.06,0.87,"52,122","3,621",2.02,1.02
2017-08-02,扬子新材,1002652,6.96,6.97,6.80,6.93,-0.01,-0.14,"49,981","3,450",2.45,0.98
2017-08-01,扬子新材,1002652,7.01,7.03,6.90,6.94,-0.07,-1.00,"58,210","4,044",1.85,1.14
2017-07-31,扬子新材,1002652,6.95,7.08,6.93,7.01,0.12,1.74,"72,598","5,073",2.18,1.42
2017-07-28,扬子新材,1002652,6.83,7.03,6.81,6.89,0.05,0.73,"86,027","5,943",3.22,1.68
2017-07-27,扬子新材,1002652,6.70,6.92,6.66,6.84,0.18,2.70,"118,203","8,031",3.90,2.31
2017-07-26,扬子新材,1002652,6.69,6.73,6.63,6.66,-0.03,-0.45,"54,554","3,636",1.49,1.07
2017-07-25,扬子新材,1002652,6.71,6.75,6.63,6.69,-0.05,-0.74,"46,919","3,133",1.78,0.92
2017-07-24,扬子新材,1002652,6.70,6.75,6.65,6.74,0.03,0.45,"45,153","3,030",1.49,0.88
2017-07-21,扬子新材,1002652,6.84,6.84,6.65,6.71,-0.10,-1.47,"70,544","4,746",2.79,1.38
2017-07-20,扬子新材,1002652,6.68,7.14,6.65,6.81,0.11,1.64,"78,842","5,429",7.31,1.54
2017-07-19,扬子新材,1002652,6.64,6.71,6.59,6.70,0.07,1.06,"43,622","2,903",1.81,0.85
2017-07-18,扬子新材,1002652,6.59,6.65,6.50,6.63,0.03,0.45,"39,844","2,629",2.27,0.78
2017-07-17,扬子新材,1002652,6.98,6.99,6.40,6.60,-0.37,-5.31,"77,531","5,152",8.46,1.51
2017-07-14,扬子新材,1002652,6.94,7.01,6.93,6.97,-0.01,-0.14,"23,730","1,652",1.15,0.46
2017-07-13,扬子新材,1002652,7.00,7.03,6.95,6.98,-0.02,-0.29,"34,791","2,432",1.14,0.68
2017-07-12,扬子新材,1002652,7.07,7.12,6.93,7.00,-0.09,-1.27,"54,244","3,799",2.68,1.06
2017-07-11,扬子新材,1002652,7.12,7.15,7.05,7.09,-0.02,-0.28,"54,228","3,857",1.41,1.06
2017-07-10,扬子新材,1002652,7.20,7.22,7.08,7.11,-0.09,-1.25,"57,268","4,093",1.94,1.12
2017-07-07,扬子新材,1002652,7.17,7.23,7.15,7.20,-0.02,-0.28,"47,339","3,406",1.11,0.92
2017-07-06,扬子新材,1002652,7.27,7.30,7.18,7.22,-0.06,-0.82,"58,943","4,263",1.65,1.15
2017-07-05,扬子新材,1002652,7.24,7.28,7.16,7.28,0.05,0.69,"44,501","3,217",1.66,0.87
2017-07-04,扬子新材,1002652,7.30,7.34,7.22,7.23,-0.05,-0.69,"43,007","3,123",1.65,0.84
2017-07-03,扬子新材,1002652,7.25,7.30,7.14,7.28,0.07,0.97,"57,231","4,137",2.22,1.12
2017-12-29,扬子新材,1002652,7.03,7.10,7.03,7.09,0.03,0.42,"17,382","1,228",0.99,0.34
2017-12-28,扬子新材,1002652,7.10,7.14,7.04,7.06,-0.03,-0.42,"23,091","1,635",1.41,0.45
2017-12-27,扬子新材,1002652,7.08,7.11,7.02,7.09,0.00,0.00,"23,609","1,672",1.27,0.46
2017-12-26,扬子新材,1002652,7.09,7.11,7.03,7.09,-0.03,-0.42,"17,991","1,274",1.12,0.35
2017-12-25,扬子新材,1002652,7.21,7.21,7.01,7.12,-0.09,-1.25,"27,952","1,982",2.77,0.55
2017-12-22,扬子新材,1002652,7.19,7.36,7.17,7.21,-0.03,-0.41,"24,905","1,804",2.62,0.49
2017-12-21,扬子新材,1002652,7.16,7.25,7.06,7.24,0.13,1.83,"34,224","2,452",2.67,0.67
2017-12-20,扬子新材,1002652,7.21,7.24,7.05,7.11,-0.12,-1.66,"24,582","1,752",2.63,0.48
2017-12-19,扬子新材,1002652,7.23,7.24,7.16,7.23,-0.01,-0.14,"30,152","2,169",1.11,0.59
2017-12-18,扬子新材,1002652,7.28,7.53,7.22,7.24,0.04,0.56,"39,854","2,924",4.31,0.78
2017-12-15,扬子新材,1002652,7.28,7.30,7.15,7.20,-0.07,-0.96,"29,000","2,094",2.06,0.57
2017-12-14,扬子新材,1002652,7.39,7.39,7.14,7.27,-0.13,-1.76,"40,957","2,964",3.38,0.80
2017-12-13,扬子新材,1002652,7.39,7.44,7.34,7.40,-0.03,-0.40,"18,846","1,391",1.35,0.37
2017-12-12,扬子新材,1002652,7.53,7.61,7.31,7.43,-0.11,-1.46,"32,069","2,382",3.98,0.63
2017-12-11,扬子新材,1002652,7.53,7.67,7.48,7.54,-0.06,-0.79,"35,533","2,677",2.50,0.69
2017-12-08,扬子新材,1002652,7.51,7.68,7.35,7.60,0.03,0.40,"56,582","4,244",4.36,1.11
2017-12-07,扬子新材,1002652,7.30,7.69,7.30,7.57,0.28,3.84,"79,071","5,953",5.35,1.54
2017-12-06,扬子新材,1002652,7.22,7.29,7.11,7.29,0.10,1.39,"32,250","2,322",2.50,0.63
2017-12-05,扬子新材,1002652,7.10,7.27,7.04,7.19,0.04,0.56,"43,553","3,118",3.22,0.85
2017-12-04,扬子新材,1002652,7.21,7.24,7.03,7.15,-0.09,-1.24,"30,444","2,172",2.90,0.59
2017-12-01,扬子新材,1002652,7.14,7.26,7.12,7.24,0.10,1.40,"29,768","2,143",1.96,0.58
2017-11-30,扬子新材,1002652,7.20,7.30,7.11,7.14,-0.12,-1.65,"32,108","2,308",2.62,0.63
2017-11-29,扬子新材,1002652,7.33,7.39,7.14,7.26,-0.09,-1.22,"31,347","2,269",3.40,0.61
2017-11-28,扬子新材,1002652,7.41,7.53,7.22,7.35,-0.01,-0.14,"40,101","2,950",4.21,0.78
