日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2022-06-30,拓山重工,1001226,47.01,48.50,46.96,46.96,-5.22,-10.00,"21,801","10,277",2.95,11.68
2022-06-29,拓山重工,1001226,57.20,57.20,48.00,52.18,0.18,0.35,"135,043","70,728",17.69,72.34
2022-06-28,拓山重工,1001226,52.00,52.00,52.00,52.00,4.73,10.01,"1,362",708,0.00,0.73
2022-06-27,拓山重工,1001226,47.27,47.27,47.27,47.27,4.30,10.01,"1,348",637,0.00,0.72
2022-06-24,拓山重工,1001226,42.97,42.97,42.97,42.97,3.91,10.01,"4,183","1,798",0.00,2.24
2022-06-23,拓山重工,1001226,39.06,39.06,39.06,39.06,3.55,10.00,"1,124",439,0.00,0.60
2022-06-22,拓山重工,1001226,29.59,35.51,29.59,35.51,10.85,44.00,"6,311","2,232",24.01,3.38
2022-08-12,拓山重工,1001226,35.28,35.59,34.91,34.91,-0.70,-1.97,"17,336","6,098",1.91,9.29
2022-08-11,拓山重工,1001226,34.61,36.55,34.50,35.61,0.85,2.45,"23,387","8,300",5.90,12.53
2022-08-10,拓山重工,1001226,34.43,35.12,34.10,34.76,0.06,0.17,"10,463","3,636",2.94,5.61
2022-08-09,拓山重工,1001226,34.45,35.36,34.45,34.70,0.35,1.02,"13,299","4,638",2.65,7.12
2022-08-08,拓山重工,1001226,34.14,34.49,33.79,34.35,0.16,0.47,"9,290","3,179",2.05,4.98
2022-08-05,拓山重工,1001226,34.60,34.60,33.67,34.19,-0.32,-0.93,"14,596","4,970",2.69,7.82
2022-08-04,拓山重工,1001226,34.22,34.85,34.00,34.51,0.51,1.50,"12,454","4,279",2.50,6.67
2022-08-03,拓山重工,1001226,34.47,35.50,33.65,34.00,-0.50,-1.45,"19,751","6,862",5.36,10.58
2022-08-02,拓山重工,1001226,37.54,37.54,34.31,34.50,-3.26,-8.63,"29,418","10,441",8.55,15.76
2022-08-01,拓山重工,1001226,37.12,38.13,36.81,37.76,0.41,1.10,"17,005","6,409",3.53,9.11
2022-07-29,拓山重工,1001226,37.11,37.69,36.82,37.35,0.04,0.11,"16,919","6,306",2.33,9.06
2022-07-28,拓山重工,1001226,37.70,37.99,37.24,37.31,-0.37,-0.98,"17,038","6,417",1.99,9.13
2022-07-27,拓山重工,1001226,37.30,38.01,37.21,37.68,-0.03,-0.08,"13,305","5,007",2.12,7.13
2022-07-26,拓山重工,1001226,37.01,37.75,36.70,37.71,0.62,1.67,"17,867","6,672",2.83,9.57
2022-07-25,拓山重工,1001226,38.30,38.50,37.02,37.09,-1.16,-3.03,"22,343","8,373",3.87,11.97
2022-07-22,拓山重工,1001226,39.67,39.99,37.66,38.25,-1.89,-4.71,"39,334","15,210",5.80,21.07
2022-07-21,拓山重工,1001226,39.10,41.00,39.01,40.14,0.23,0.58,"42,695","17,151",4.99,22.87
2022-07-20,拓山重工,1001226,38.50,42.30,38.01,39.91,1.38,3.58,"54,917","21,863",11.13,29.42
2022-07-19,拓山重工,1001226,38.12,39.19,37.95,38.53,-0.18,-0.47,"26,501","10,209",3.20,14.20
2022-07-18,拓山重工,1001226,37.50,39.24,37.40,38.71,0.69,1.81,"36,142","13,924",4.84,19.36
2022-07-15,拓山重工,1001226,37.50,39.25,36.70,38.02,-0.08,-0.21,"48,435","18,329",6.69,25.95
2022-07-14,拓山重工,1001226,39.80,39.96,37.95,38.10,-2.45,-6.04,"64,314","24,837",4.96,34.45
2022-07-13,拓山重工,1001226,36.86,40.55,36.38,40.55,3.69,10.01,"65,160","25,852",11.31,34.91
2022-07-12,拓山重工,1001226,36.05,36.99,36.00,36.86,0.81,2.25,"24,797","9,057",2.75,13.28
2022-07-11,拓山重工,1001226,37.47,37.50,36.01,36.05,-1.67,-4.43,"27,860","10,168",3.95,14.92
2022-07-08,拓山重工,1001226,37.60,38.66,37.43,37.72,-0.48,-1.26,"28,461","10,775",3.22,15.25
2022-07-07,拓山重工,1001226,37.42,39.54,36.88,38.20,0.78,2.08,"43,442","16,520",7.11,23.27
2022-07-06,拓山重工,1001226,38.48,38.80,37.35,37.42,-1.08,-2.81,"35,825","13,645",3.77,19.19
2022-07-05,拓山重工,1001226,39.41,39.77,38.28,38.50,-1.33,-3.34,"50,290","19,535",3.74,26.94
2022-07-04,拓山重工,1001226,42.20,42.28,39.80,39.83,-3.99,-9.11,"67,992","27,787",5.66,36.42
2022-07-01,拓山重工,1001226,42.26,48.84,42.26,43.82,-3.14,-6.69,"83,274","36,627",14.01,44.61
