日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-06-30,明志科技,0688355,26.80,26.96,26.42,26.71,0.10,0.38,"10,535","2,808",2.03,4.21
2021-06-29,明志科技,0688355,27.00,27.28,26.53,26.61,-0.31,-1.15,"10,580","2,839",2.79,4.23
2021-06-28,明志科技,0688355,26.80,27.16,26.50,26.92,-0.07,-0.26,"11,572","3,108",2.45,4.62
2021-06-25,明志科技,0688355,27.50,27.64,26.41,26.99,-0.49,-1.78,"14,209","3,816",4.48,5.68
2021-06-24,明志科技,0688355,27.00,27.88,26.71,27.48,0.39,1.44,"18,283","5,031",4.32,7.31
2021-06-23,明志科技,0688355,26.77,27.45,25.90,27.09,0.42,1.57,"18,858","5,007",5.81,7.54
2021-06-22,明志科技,0688355,26.88,27.52,26.65,26.67,-0.14,-0.52,"14,739","3,976",3.25,5.89
2021-06-21,明志科技,0688355,26.85,26.96,26.34,26.81,-0.03,-0.11,"16,045","4,284",2.31,6.41
2021-06-18,明志科技,0688355,26.22,27.40,25.72,26.84,0.72,2.76,"21,322","5,688",6.43,8.52
2021-06-17,明志科技,0688355,25.46,26.24,25.30,26.12,0.77,3.04,"15,027","3,890",3.71,6.00
2021-06-16,明志科技,0688355,26.10,26.26,25.15,25.35,-0.65,-2.50,"14,645","3,748",4.27,5.85
2021-06-15,明志科技,0688355,26.57,26.59,25.66,26.00,-0.36,-1.37,"18,873","4,916",3.53,7.54
2021-06-11,明志科技,0688355,28.02,28.65,26.20,26.36,-1.68,-5.99,"38,020","10,394",8.74,15.19
2021-06-10,明志科技,0688355,27.87,28.66,27.70,28.04,0.34,1.23,"26,969","7,580",3.47,10.78
2021-06-09,明志科技,0688355,28.13,28.63,27.56,27.70,-0.44,-1.56,"30,857","8,631",3.80,12.33
2021-06-08,明志科技,0688355,30.25,30.82,28.01,28.14,-1.88,-6.26,"53,676","15,688",9.36,21.45
2021-06-07,明志科技,0688355,30.98,31.10,29.73,30.02,-1.08,-3.47,"57,356","17,372",4.41,22.92
