日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,法尔胜,1000890,8.09,8.14,8.03,8.14,0.05,0.62,"20,360","1,647",1.36,0.54
2017-06-29,法尔胜,1000890,8.06,8.14,8.04,8.09,0.03,0.37,"15,760","1,276",1.24,0.42
2017-06-28,法尔胜,1000890,8.15,8.16,8.06,8.06,-0.13,-1.59,"18,808","1,519",1.22,0.50
2017-06-27,法尔胜,1000890,8.20,8.27,8.14,8.19,-0.04,-0.49,"22,563","1,850",1.58,0.59
2017-06-26,法尔胜,1000890,8.06,8.23,7.91,8.23,0.17,2.11,"35,928","2,901",3.97,0.95
2017-06-23,法尔胜,1000890,8.13,8.21,7.95,8.06,-0.07,-0.86,"27,401","2,209",3.20,0.72
2017-06-22,法尔胜,1000890,8.28,8.28,8.12,8.13,-0.16,-1.93,"29,115","2,392",1.93,0.77
2017-06-21,法尔胜,1000890,8.30,8.42,8.23,8.29,-0.02,-0.24,"32,217","2,684",2.29,0.85
2017-06-20,法尔胜,1000890,8.25,8.33,8.23,8.31,0.06,0.73,"30,996","2,567",1.21,0.82
2017-06-19,法尔胜,1000890,8.22,8.28,8.17,8.25,0.08,0.98,"22,514","1,854",1.35,0.59
2017-06-16,法尔胜,1000890,8.35,8.38,8.11,8.17,-0.13,-1.57,"27,471","2,258",3.25,0.72
2017-06-15,法尔胜,1000890,8.06,8.34,7.99,8.30,0.23,2.85,"46,995","3,866",4.34,1.24
2017-06-14,法尔胜,1000890,8.01,8.15,7.98,8.07,0.07,0.88,"25,655","2,068",2.13,0.68
2017-06-13,法尔胜,1000890,7.83,8.03,7.81,8.00,0.15,1.91,"22,572","1,799",2.80,0.59
2017-06-12,法尔胜,1000890,8.02,8.05,7.81,7.85,-0.21,-2.61,"32,621","2,595",2.98,0.86
2017-06-09,法尔胜,1000890,8.15,8.18,7.99,8.06,-0.09,-1.10,"30,220","2,435",2.33,0.80
2017-06-08,法尔胜,1000890,8.23,8.26,8.12,8.15,-0.05,-0.61,"25,243","2,065",1.71,0.66
2017-06-07,法尔胜,1000890,7.94,8.23,7.94,8.20,0.23,2.89,"39,664","3,228",3.64,1.04
2017-06-06,法尔胜,1000890,8.04,8.08,8.00,8.07,0.04,0.50,"16,351","1,314",1.00,0.43
2017-06-05,法尔胜,1000890,7.91,8.05,7.90,8.03,0.13,1.65,"25,389","2,031",1.90,0.67
2017-06-02,法尔胜,1000890,7.81,7.98,7.59,7.90,0.00,0.00,"43,183","3,348",4.94,1.14
2017-06-01,法尔胜,1000890,8.07,8.15,7.88,7.90,-0.17,-2.11,"33,104","2,657",3.35,0.87
2017-05-31,法尔胜,1000890,8.26,8.26,7.94,8.07,-0.04,-0.49,"26,675","2,174",3.95,0.70
2017-05-26,法尔胜,1000890,8.17,8.24,8.10,8.11,-0.04,-0.49,"20,223","1,649",1.72,0.53
2017-05-25,法尔胜,1000890,7.99,8.19,7.91,8.15,0.17,2.13,"35,749","2,874",3.51,0.94
2017-05-24,法尔胜,1000890,7.90,8.04,7.78,7.98,0.03,0.38,"26,658","2,108",3.27,0.70
2017-05-23,法尔胜,1000890,8.08,8.13,7.83,7.95,-0.16,-1.97,"41,495","3,321",3.70,1.09
2017-05-22,法尔胜,1000890,8.29,8.30,8.05,8.11,-0.20,-2.41,"36,307","2,955",3.01,0.96
2017-05-19,法尔胜,1000890,8.38,8.46,8.27,8.31,-0.08,-0.95,"26,641","2,223",2.26,0.70
2017-05-18,法尔胜,1000890,8.25,8.56,8.21,8.39,0.04,0.48,"51,184","4,329",4.19,1.35
2017-05-17,法尔胜,1000890,8.18,8.45,8.18,8.35,0.13,1.58,"40,132","3,351",3.28,1.06
2017-05-16,法尔胜,1000890,7.98,8.23,7.78,8.22,0.17,2.11,"41,782","3,348",5.59,1.10
2017-05-15,法尔胜,1000890,8.00,8.12,8.00,8.05,0.07,0.88,"26,511","2,138",1.50,0.70
2017-05-12,法尔胜,1000890,8.03,8.08,7.91,7.98,-0.06,-0.75,"32,092","2,560",2.11,0.85
2017-05-11,法尔胜,1000890,8.13,8.19,7.80,8.04,-0.08,-0.99,"38,555","3,081",4.80,1.02
2017-05-10,法尔胜,1000890,8.32,8.44,8.10,8.12,-0.20,-2.40,"25,420","2,114",4.09,0.67
2017-05-09,法尔胜,1000890,8.35,8.37,8.12,8.32,-0.02,-0.24,"31,400","2,585",3.00,0.83
2017-05-08,法尔胜,1000890,8.56,8.68,8.30,8.34,-0.25,-2.91,"33,303","2,827",4.42,0.88
2017-05-05,法尔胜,1000890,8.59,8.82,8.58,8.59,-0.11,-1.26,"35,152","3,061",2.76,0.93
2017-05-04,法尔胜,1000890,8.76,8.81,8.60,8.70,-0.03,-0.34,"29,915","2,606",2.41,0.79
2017-05-03,法尔胜,1000890,8.75,8.79,8.58,8.73,-0.01,-0.11,"31,723","2,757",2.40,0.84
2017-05-02,法尔胜,1000890,8.74,8.89,8.68,8.74,-0.06,-0.68,"40,963","3,592",2.39,1.08
2017-04-28,法尔胜,1000890,8.62,8.83,8.54,8.80,0.10,1.15,"33,986","2,969",3.33,0.90
2017-04-27,法尔胜,1000890,8.95,8.96,8.20,8.70,-0.23,-2.58,"77,062","6,605",8.51,2.03
2017-04-26,法尔胜,1000890,9.14,9.15,8.90,8.93,-0.18,-1.98,"51,380","4,607",2.74,1.35
2017-04-25,法尔胜,1000890,9.10,9.22,9.10,9.11,0.00,0.00,"28,864","2,643",1.32,0.76
2017-04-24,法尔胜,1000890,9.44,9.51,9.00,9.11,-0.36,-3.80,"46,778","4,299",5.39,1.23
2017-04-21,法尔胜,1000890,9.11,9.97,9.11,9.47,0.37,4.07,"87,767","8,376",9.45,2.31
2017-04-20,法尔胜,1000890,9.19,9.35,9.02,9.10,-0.17,-1.83,"38,531","3,524",3.56,1.01
2017-04-19,法尔胜,1000890,9.53,9.61,9.01,9.27,-0.37,-3.84,"57,980","5,349",6.22,1.53
2017-04-18,法尔胜,1000890,9.82,9.89,9.64,9.64,-0.18,-1.83,"44,232","4,335",2.55,1.17
2017-04-17,法尔胜,1000890,10.23,10.36,9.76,9.82,-0.44,-4.29,"57,745","5,750",5.85,1.52
2017-04-14,法尔胜,1000890,10.44,10.48,10.22,10.26,-0.18,-1.72,"39,735","4,102",2.49,1.05
2017-04-13,法尔胜,1000890,10.52,10.59,10.41,10.44,-0.02,-0.19,"38,763","4,067",1.72,1.02
2017-04-12,法尔胜,1000890,10.46,10.54,10.41,10.46,-0.07,-0.66,"33,432","3,501",1.23,0.88
2017-04-11,法尔胜,1000890,10.40,10.56,10.35,10.53,0.12,1.15,"47,797","4,987",2.02,1.26
2017-04-10,法尔胜,1000890,10.71,10.74,10.40,10.41,-0.33,-3.07,"60,650","6,380",3.17,1.60
2017-04-07,法尔胜,1000890,10.81,10.85,10.68,10.74,-0.09,-0.83,"35,558","3,813",1.57,0.94
2017-04-06,法尔胜,1000890,10.72,10.85,10.67,10.83,0.08,0.74,"41,671","4,488",1.67,1.10
2017-04-05,法尔胜,1000890,10.60,10.76,10.52,10.75,0.18,1.70,"60,278","6,423",2.27,1.59
2017-12-29,法尔胜,1000890,6.52,6.66,6.50,6.64,0.12,1.84,"22,056","1,452",2.45,0.58
2017-12-28,法尔胜,1000890,6.44,6.53,6.42,6.52,0.05,0.77,"14,370",935,1.70,0.38
2017-12-27,法尔胜,1000890,6.50,6.54,6.45,6.47,-0.02,-0.31,"14,895",967,1.39,0.39
2017-12-26,法尔胜,1000890,6.42,6.50,6.39,6.49,0.08,1.25,"13,180",850,1.72,0.35
2017-12-25,法尔胜,1000890,6.57,6.57,6.39,6.41,-0.16,-2.44,"19,759","1,279",2.74,0.52
2017-12-22,法尔胜,1000890,6.52,6.62,6.46,6.57,0.05,0.77,"15,253","1,003",2.45,0.40
2017-12-21,法尔胜,1000890,6.48,6.54,6.42,6.52,0.04,0.62,"13,982",907,1.85,0.37
2017-12-20,法尔胜,1000890,6.62,6.64,6.45,6.48,-0.15,-2.26,"18,334","1,200",2.87,0.48
2017-12-19,法尔胜,1000890,6.62,6.63,6.57,6.63,0.05,0.76,"11,411",753,0.91,0.30
2017-12-18,法尔胜,1000890,6.66,6.69,6.53,6.58,-0.12,-1.79,"13,865",917,2.39,0.37
2017-12-15,法尔胜,1000890,6.67,6.74,6.60,6.70,-0.01,-0.15,"15,276","1,020",2.09,0.40
2017-12-14,法尔胜,1000890,6.73,6.79,6.69,6.71,-0.06,-0.89,"16,065","1,082",1.48,0.42
2017-12-13,法尔胜,1000890,6.72,6.82,6.70,6.77,0.07,1.04,"22,971","1,554",1.79,0.61
2017-12-12,法尔胜,1000890,6.75,6.75,6.67,6.70,-0.05,-0.74,"13,576",910,1.19,0.36
2017-12-11,法尔胜,1000890,6.73,6.85,6.71,6.75,-0.02,-0.30,"26,189","1,776",2.07,0.69
2017-12-08,法尔胜,1000890,6.72,6.81,6.65,6.77,0.00,0.00,"39,113","2,636",2.36,1.03
