日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-09-30,海昌新材,1300885,39.59,41.10,39.22,39.81,0.43,1.09,"25,761","10,338",4.77,12.88
2020-09-29,海昌新材,1300885,40.36,40.92,39.18,39.38,-0.50,-1.25,"23,364","9,324",4.36,11.68
2020-09-28,海昌新材,1300885,42.71,42.98,39.33,39.88,-2.96,-6.91,"32,201","13,231",8.52,16.10
2020-09-25,海昌新材,1300885,44.84,45.84,42.71,42.84,-2.49,-5.49,"41,187","18,053",6.90,20.59
2020-09-24,海昌新材,1300885,44.54,46.98,44.00,45.33,0.58,1.30,"57,629","26,560",6.66,28.81
2020-09-23,海昌新材,1300885,42.99,45.88,42.99,44.75,1.77,4.12,"41,530","18,602",6.72,20.77
2020-09-22,海昌新材,1300885,43.99,45.40,42.70,42.98,-2.23,-4.93,"38,006","16,730",5.97,19.00
2020-09-21,海昌新材,1300885,46.08,46.97,44.51,45.21,-1.67,-3.56,"40,235","18,282",5.25,20.12
2020-09-18,海昌新材,1300885,47.33,49.88,45.56,46.88,-3.15,-6.30,"66,093","31,034",8.63,33.05
2020-09-17,海昌新材,1300885,49.00,58.00,48.01,50.03,-1.33,-2.59,"112,224","60,356",19.45,56.11
2020-09-16,海昌新材,1300885,47.00,53.00,45.00,51.36,0.72,1.42,"100,435","49,205",15.80,50.22
2020-09-15,海昌新材,1300885,44.00,55.00,41.41,50.64,6.59,14.96,"106,092","51,474",30.85,53.05
2020-09-14,海昌新材,1300885,44.00,46.88,43.00,44.05,-3.31,-6.99,"73,059","32,808",8.19,36.53
2020-09-11,海昌新材,1300885,43.00,62.00,40.01,47.36,-5.02,-9.58,"98,593","46,800",41.98,49.30
2020-09-10,海昌新材,1300885,80.00,80.00,46.00,52.38,33.41,176.12,"125,034","78,165",179.23,62.52
2020-12-31,海昌新材,1300885,34.68,35.59,34.39,35.17,0.52,1.50,"9,758","3,432",3.46,4.88
2020-12-30,海昌新材,1300885,34.94,34.94,34.27,34.65,-0.01,-0.03,"9,519","3,292",1.93,4.76
2020-12-29,海昌新材,1300885,34.65,35.25,34.38,34.66,0.27,0.79,"10,779","3,747",2.53,5.39
