日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,精工钢构,0600496,4.52,4.54,4.44,4.48,-0.03,-0.67,"184,712","8,269",2.22,1.22
2017-03-30,精工钢构,0600496,4.53,4.65,4.49,4.51,-0.05,-1.10,"358,204","16,342",3.51,2.37
2017-03-29,精工钢构,0600496,4.51,4.58,4.44,4.56,0.05,1.11,"266,381","12,069",3.10,1.76
2017-03-28,精工钢构,0600496,4.55,4.55,4.50,4.51,-0.04,-0.88,"93,599","4,226",1.10,0.62
2017-03-27,精工钢构,0600496,4.51,4.56,4.50,4.55,0.03,0.66,"178,501","8,091",1.33,1.18
2017-03-24,精工钢构,0600496,4.47,4.53,4.43,4.52,0.04,0.89,"201,327","9,026",2.23,1.33
2017-03-23,精工钢构,0600496,4.44,4.53,4.42,4.48,0.04,0.90,"181,474","8,125",2.48,1.20
2017-03-22,精工钢构,0600496,4.46,4.47,4.42,4.44,-0.04,-0.89,"85,584","3,802",1.12,0.57
2017-03-21,精工钢构,0600496,4.44,4.48,4.43,4.48,0.04,0.90,"99,584","4,439",1.13,0.66
2017-03-20,精工钢构,0600496,4.42,4.45,4.41,4.44,0.01,0.23,"86,876","3,848",0.90,0.58
2017-03-17,精工钢构,0600496,4.50,4.51,4.42,4.43,-0.07,-1.56,"147,206","6,571",2.00,0.97
2017-03-16,精工钢构,0600496,4.46,4.50,4.45,4.50,0.05,1.12,"127,476","5,712",1.12,0.84
2017-03-15,精工钢构,0600496,4.45,4.48,4.43,4.45,0.00,0.00,"67,017","2,985",1.12,0.44
2017-03-14,精工钢构,0600496,4.48,4.49,4.44,4.45,-0.03,-0.67,"82,242","3,670",1.12,0.54
2017-03-13,精工钢构,0600496,4.44,4.48,4.41,4.48,0.02,0.45,"97,116","4,320",1.57,0.64
2017-03-10,精工钢构,0600496,4.45,4.47,4.45,4.46,0.00,0.00,"63,704","2,840",0.45,0.42
2017-03-09,精工钢构,0600496,4.50,4.51,4.44,4.46,-0.05,-1.11,"148,645","6,635",1.55,0.98
2017-03-08,精工钢构,0600496,4.52,4.54,4.50,4.51,-0.01,-0.22,"94,264","4,259",0.89,0.62
2017-03-07,精工钢构,0600496,4.53,4.54,4.49,4.52,-0.01,-0.22,"139,020","6,276",1.10,0.92
2017-03-06,精工钢构,0600496,4.52,4.54,4.50,4.53,0.01,0.22,"137,271","6,212",0.89,0.91
2017-03-03,精工钢构,0600496,4.51,4.54,4.49,4.52,0.00,0.00,"139,416","6,295",1.11,0.92
2017-03-02,精工钢构,0600496,4.57,4.59,4.52,4.52,-0.05,-1.09,"150,922","6,858",1.53,1.00
2017-03-01,精工钢构,0600496,4.56,4.61,4.56,4.57,0.00,0.00,"201,142","9,217",1.09,1.33
2017-02-28,精工钢构,0600496,4.59,4.60,4.54,4.57,-0.02,-0.44,"164,239","7,505",1.31,1.09
2017-02-27,精工钢构,0600496,4.72,4.75,4.58,4.59,-0.09,-1.92,"399,440","18,597",3.63,2.64
2017-02-24,精工钢构,0600496,4.81,4.81,4.66,4.68,-0.09,-1.89,"538,130","25,369",3.14,3.56
2017-02-23,精工钢构,0600496,4.64,4.81,4.58,4.77,0.11,2.36,"589,392","27,587",4.94,3.90
2017-02-22,精工钢构,0600496,4.62,4.70,4.60,4.66,0.02,0.43,"262,141","12,175",2.16,1.74
2017-02-21,精工钢构,0600496,4.64,4.65,4.57,4.64,0.01,0.22,"198,755","9,156",1.73,1.32
2017-02-20,精工钢构,0600496,4.51,4.66,4.50,4.63,0.11,2.43,"316,479","14,569",3.54,2.10
