日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,万里石,1002785,20.95,21.45,20.90,21.05,-0.11,-0.52,"60,432","12,760",2.60,6.18
2017-06-29,万里石,1002785,21.03,21.49,20.88,21.16,-0.13,-0.61,"104,741","22,218",2.87,10.71
2017-06-28,万里石,1002785,20.26,21.58,20.08,21.29,0.86,4.21,"136,221","28,401",7.34,13.93
2017-06-27,万里石,1002785,20.36,20.97,20.25,20.43,-0.05,-0.24,"57,871","11,890",3.52,5.92
2017-06-26,万里石,1002785,19.75,20.60,19.51,20.48,0.66,3.33,"63,958","12,889",5.50,6.54
2017-06-23,万里石,1002785,20.09,20.30,19.30,19.82,-0.59,-2.89,"65,218","12,829",4.90,6.67
2017-06-22,万里石,1002785,19.97,21.50,19.96,20.41,0.45,2.25,"106,054","22,001",7.72,10.85
2017-06-21,万里石,1002785,20.07,20.25,19.71,19.96,-0.07,-0.35,"38,741","7,741",2.70,3.96
2017-06-20,万里石,1002785,20.32,20.61,20.00,20.03,-0.34,-1.67,"47,335","9,599",2.99,4.84
2017-06-19,万里石,1002785,20.31,20.78,20.31,20.37,0.06,0.30,"33,663","6,904",2.31,3.44
2017-06-16,万里石,1002785,20.50,20.99,20.26,20.31,-0.49,-2.36,"60,324","12,384",3.51,6.17
2017-06-15,万里石,1002785,20.65,21.30,20.60,20.80,-0.20,-0.95,"98,609","20,636",3.33,10.08
2017-06-14,万里石,1002785,20.27,21.80,20.03,21.00,0.59,2.89,"141,592","29,621",8.67,14.48
2017-06-13,万里石,1002785,19.83,20.49,19.81,20.41,0.29,1.44,"78,249","15,854",3.38,8.00
2017-06-12,万里石,1002785,19.28,20.69,19.28,20.12,0.37,1.87,"83,268","16,758",7.14,8.52
2017-06-09,万里石,1002785,19.71,19.87,19.41,19.75,-0.25,-1.25,"61,832","12,158",2.30,6.32
2017-06-08,万里石,1002785,20.20,20.98,19.80,20.00,-0.25,-1.23,"110,510","22,475",5.83,11.30
2017-06-07,万里石,1002785,19.45,21.19,19.36,20.25,0.83,4.27,"124,605","24,965",9.42,12.74
2017-06-06,万里石,1002785,19.18,19.50,19.03,19.42,-0.15,-0.77,"73,135","14,110",2.40,7.48
2017-06-05,万里石,1002785,19.41,19.80,18.85,19.57,1.00,5.39,"130,493","25,338",5.12,13.34
2017-06-02,万里石,1002785,16.94,18.57,16.71,18.57,1.69,10.01,"55,974","10,098",11.02,5.72
2017-06-01,万里石,1002785,17.51,17.90,16.85,16.88,-1.07,-5.96,"45,115","7,776",5.85,4.61
2017-05-31,万里石,1002785,18.60,18.80,17.90,17.95,-0.38,-2.07,"34,516","6,342",4.91,3.53
2017-05-26,万里石,1002785,18.38,18.70,18.24,18.33,0.09,0.49,"29,594","5,460",2.52,3.03
2017-05-25,万里石,1002785,18.23,18.44,17.81,18.24,-0.07,-0.38,"33,695","6,122",3.44,3.45
2017-05-24,万里石,1002785,17.86,18.33,16.96,18.31,0.29,1.61,"40,520","7,202",7.60,4.14
2017-05-23,万里石,1002785,18.55,19.08,17.96,18.02,-0.70,-3.74,"38,137","7,039",5.98,3.90
2017-05-22,万里石,1002785,19.30,19.88,18.60,18.72,-0.58,-3.01,"38,723","7,468",6.63,3.96
2017-05-19,万里石,1002785,19.79,19.99,19.19,19.30,-0.50,-2.53,"38,337","7,499",4.04,3.92
2017-05-18,万里石,1002785,20.40,20.48,19.62,19.80,-0.73,-3.56,"53,410","10,710",4.19,5.46
2017-05-17,万里石,1002785,20.90,21.18,20.35,20.53,-0.65,-3.07,"81,165","16,859",3.92,8.30
2017-05-16,万里石,1002785,20.10,21.29,19.81,21.18,0.84,4.13,"110,727","22,821",7.28,11.32
2017-05-15,万里石,1002785,19.80,21.10,19.42,20.34,0.88,4.52,"93,135","18,731",8.63,9.52
2017-05-12,万里石,1002785,20.08,20.08,19.40,19.46,-0.59,-2.94,"67,533","13,221",3.39,6.91
2017-05-11,万里石,1002785,19.47,20.14,18.77,20.05,0.58,2.98,"128,188","25,220",7.04,13.11
2017-05-10,万里石,1002785,17.81,19.47,17.74,19.47,1.77,10.00,"46,105","8,766",9.77,4.71
2017-05-09,万里石,1002785,17.17,17.92,17.17,17.70,0.10,0.57,"37,780","6,637",4.26,3.86
2017-05-08,万里石,1002785,19.33,19.40,17.50,17.60,-1.68,-8.71,"44,683","8,297",9.85,4.57
2017-05-05,万里石,1002785,19.55,19.88,19.21,19.28,-0.23,-1.18,"30,723","6,011",3.43,3.14
2017-05-04,万里石,1002785,19.71,19.94,19.37,19.51,-0.44,-2.21,"41,303","8,130",2.86,4.22
