日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,亚泰集团,0600881,5.25,5.31,5.24,5.28,0.02,0.38,"52,709","2,782",1.33,0.28
2017-12-28,亚泰集团,0600881,5.24,5.30,5.19,5.26,0.03,0.57,"63,954","3,362",2.10,0.34
2017-12-27,亚泰集团,0600881,5.24,5.24,5.21,5.23,-0.01,-0.19,"47,537","2,484",0.57,0.25
2017-12-26,亚泰集团,0600881,5.16,5.25,5.11,5.24,0.09,1.75,"63,443","3,287",2.72,0.33
2017-12-25,亚泰集团,0600881,5.26,5.28,5.15,5.15,-0.12,-2.28,"82,881","4,306",2.47,0.44
2017-12-22,亚泰集团,0600881,5.27,5.28,5.23,5.27,0.00,0.00,"99,509","5,223",0.95,0.53
2017-12-21,亚泰集团,0600881,5.27,5.31,5.23,5.27,0.00,0.00,"76,418","4,025",1.52,0.40
2017-12-20,亚泰集团,0600881,5.29,5.30,5.26,5.27,-0.03,-0.57,"56,703","2,992",0.75,0.30
2017-12-19,亚泰集团,0600881,5.28,5.32,5.25,5.30,0.01,0.19,"76,678","4,055",1.32,0.40
2017-12-18,亚泰集团,0600881,5.40,5.41,5.27,5.29,-0.09,-1.67,"124,472","6,625",2.60,0.66
2017-12-15,亚泰集团,0600881,5.40,5.40,5.35,5.38,-0.02,-0.37,"54,947","2,955",0.93,0.29
2017-12-14,亚泰集团,0600881,5.43,5.46,5.36,5.40,-0.04,-0.74,"122,803","6,621",1.84,0.65
2017-12-13,亚泰集团,0600881,5.32,5.45,5.31,5.44,0.12,2.26,"160,342","8,642",2.63,0.85
2017-12-12,亚泰集团,0600881,5.40,5.41,5.31,5.32,-0.08,-1.48,"134,739","7,234",1.85,0.71
2017-12-11,亚泰集团,0600881,5.39,5.44,5.36,5.40,0.00,0.00,"115,930","6,249",1.48,0.61
