日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,北京利尔,1002392,6.02,6.03,5.90,5.93,-0.10,-1.66,"176,710","10,524",2.16,2.39
2017-06-29,北京利尔,1002392,6.03,6.10,6.02,6.03,-0.03,-0.50,"177,788","10,758",1.32,2.41
2017-06-28,北京利尔,1002392,5.95,6.11,5.88,6.06,0.06,1.00,"321,271","19,300",3.83,4.35
2017-06-27,北京利尔,1002392,6.08,6.09,5.98,6.00,-0.10,-1.64,"201,488","12,155",1.80,2.73
2017-06-26,北京利尔,1002392,6.00,6.11,5.98,6.10,0.07,1.16,"248,571","15,053",2.16,3.36
2017-06-23,北京利尔,1002392,5.97,6.05,5.83,6.03,0.03,0.50,"337,946","20,100",3.67,4.57
2017-06-22,北京利尔,1002392,6.30,6.32,5.97,6.00,-0.32,-5.06,"539,730","33,145",5.54,7.30
2017-06-21,北京利尔,1002392,6.30,6.33,6.22,6.32,0.03,0.48,"297,061","18,643",1.75,4.02
2017-06-20,北京利尔,1002392,6.39,6.39,6.25,6.29,-0.10,-1.56,"376,170","23,760",2.19,5.09
2017-06-19,北京利尔,1002392,6.28,6.42,6.22,6.39,0.11,1.75,"427,234","27,046",3.18,5.78
2017-06-16,北京利尔,1002392,6.25,6.36,6.14,6.28,0.06,0.96,"382,778","23,990",3.54,5.18
2017-06-15,北京利尔,1002392,6.22,6.37,6.17,6.22,-0.06,-0.96,"441,521","27,675",3.18,5.98
2017-06-14,北京利尔,1002392,6.48,6.48,6.28,6.28,-0.20,-3.09,"505,045","32,034",3.09,6.84
2017-06-13,北京利尔,1002392,6.32,6.55,6.28,6.48,0.16,2.53,"578,813","37,365",4.27,7.83
2017-06-12,北京利尔,1002392,6.39,6.47,6.30,6.32,-0.28,-4.24,"617,860","39,379",2.58,8.36
2017-06-09,北京利尔,1002392,6.58,6.67,6.38,6.60,-0.08,-1.20,"835,341","54,416",4.34,11.31
2017-06-08,北京利尔,1002392,6.74,6.87,6.61,6.68,-0.25,-3.61,"1,137,064","76,533",3.75,15.39
2017-06-07,北京利尔,1002392,6.69,7.10,6.57,6.93,0.26,3.90,"1,657,654","113,007",7.95,22.44
2017-06-06,北京利尔,1002392,7.00,7.08,6.50,6.67,-0.21,-3.05,"1,435,141","96,382",8.43,19.42
2017-06-05,北京利尔,1002392,6.70,7.18,6.65,6.88,0.35,5.36,"2,246,272","155,875",8.12,30.40
2017-06-02,北京利尔,1002392,5.88,6.53,5.82,6.53,0.59,9.93,"1,296,597","82,869",11.95,17.55
2017-06-01,北京利尔,1002392,6.13,6.22,5.86,5.94,-0.28,-4.50,"654,306","39,468",5.79,8.86
2017-05-31,北京利尔,1002392,6.42,6.48,6.15,6.22,-0.17,-2.66,"712,470","44,644",5.16,9.64
2017-05-26,北京利尔,1002392,6.27,6.55,6.24,6.39,0.01,0.16,"1,247,035","79,916",4.86,16.88
2017-05-25,北京利尔,1002392,6.29,6.48,6.12,6.38,0.24,3.91,"1,557,332","97,773",5.86,21.08
2017-05-24,北京利尔,1002392,5.50,6.16,5.30,6.16,0.56,10.00,"1,047,479","63,397",15.36,14.18
2017-05-23,北京利尔,1002392,5.92,5.98,5.51,5.60,-0.42,-6.98,"403,597","23,377",7.81,5.46
2017-05-22,北京利尔,1002392,5.80,6.05,5.72,6.02,0.16,2.73,"477,118","28,151",5.63,6.46
2017-05-19,北京利尔,1002392,5.88,5.95,5.65,5.86,-0.09,-1.51,"403,815","23,404",5.04,5.47
2017-05-18,北京利尔,1002392,5.75,6.26,5.67,5.95,0.18,3.12,"583,588","34,813",10.23,7.90
2017-05-17,北京利尔,1002392,5.71,5.95,5.71,5.77,0.08,1.41,"318,013","18,471",4.22,4.30
2017-05-16,北京利尔,1002392,5.39,5.70,5.37,5.69,0.25,4.60,"336,894","18,846",6.07,4.56
2017-05-15,北京利尔,1002392,5.38,5.50,5.36,5.44,0.06,1.12,"153,591","8,344",2.60,2.08
2017-05-12,北京利尔,1002392,5.42,5.45,5.28,5.38,-0.04,-0.74,"167,262","8,995",3.14,2.26
2017-05-11,北京利尔,1002392,5.30,5.43,5.10,5.42,0.07,1.31,"246,161","13,027",6.17,3.33
2017-05-10,北京利尔,1002392,5.35,5.64,5.35,5.35,-0.06,-1.11,"220,748","12,087",5.36,2.99
2017-05-09,北京利尔,1002392,5.52,5.53,5.25,5.41,-0.29,-5.09,"306,622","16,587",4.91,4.67
2017-05-08,北京利尔,1002392,5.87,6.06,5.65,5.70,-0.18,-3.06,"299,222","17,615",6.97,4.56
2017-05-05,北京利尔,1002392,5.90,6.05,5.84,5.88,-0.16,-2.65,"337,841","20,030",3.48,5.15
2017-05-04,北京利尔,1002392,5.68,6.27,5.60,6.04,0.26,4.50,"600,041","36,336",11.59,9.14
2017-05-03,北京利尔,1002392,5.60,6.17,5.52,5.78,0.13,2.30,"382,233","22,267",11.50,5.82
2017-05-02,北京利尔,1002392,5.53,5.67,5.45,5.65,0.12,2.17,"183,836","10,218",3.98,2.80
2017-04-28,北京利尔,1002392,5.40,5.57,5.40,5.53,0.05,0.91,"147,860","8,151",3.10,2.25
2017-04-27,北京利尔,1002392,5.38,5.54,5.26,5.48,0.08,1.48,"233,559","12,648",5.19,3.56
2017-04-26,北京利尔,1002392,5.30,5.45,5.26,5.40,0.08,1.50,"175,407","9,388",3.57,2.67
2017-04-25,北京利尔,1002392,5.27,5.45,5.25,5.32,0.09,1.72,"151,981","8,130",3.82,2.32
2017-04-24,北京利尔,1002392,5.54,5.58,5.20,5.23,-0.30,-5.43,"207,789","11,143",6.87,3.17
2017-04-21,北京利尔,1002392,5.68,5.70,5.51,5.53,-0.11,-1.95,"159,992","8,944",3.37,2.44
2017-04-20,北京利尔,1002392,6.00,6.00,5.51,5.64,-0.37,-6.16,"356,796","20,534",8.15,5.44
2017-04-19,北京利尔,1002392,5.88,6.02,5.78,6.01,0.08,1.35,"314,688","18,651",4.05,4.80
2017-04-18,北京利尔,1002392,6.00,6.14,5.92,5.93,-0.05,-0.84,"264,225","15,963",3.68,4.03
2017-04-17,北京利尔,1002392,6.15,6.16,5.87,5.98,-0.20,-3.24,"311,641","18,641",4.69,4.75
2017-04-14,北京利尔,1002392,6.35,6.37,6.14,6.18,-0.17,-2.68,"324,038","20,157",3.62,4.94
2017-04-13,北京利尔,1002392,6.07,6.45,6.07,6.35,0.28,4.61,"511,327","32,251",6.26,7.79
2017-04-12,北京利尔,1002392,6.36,6.36,6.03,6.07,-0.46,-7.04,"587,866","36,401",5.05,8.96
2017-04-11,北京利尔,1002392,6.35,6.89,6.30,6.53,0.12,1.87,"958,136","63,033",9.20,14.60
2017-04-10,北京利尔,1002392,6.02,6.69,5.96,6.41,0.27,4.40,"1,030,719","65,399",11.89,15.71
2017-04-07,北京利尔,1002392,5.81,6.29,5.73,6.14,0.25,4.24,"840,952","50,534",9.51,12.81
2017-04-06,北京利尔,1002392,6.04,6.08,5.82,5.89,-0.11,-1.83,"713,015","42,229",4.33,10.87
2017-04-05,北京利尔,1002392,5.87,6.00,5.61,6.00,0.55,10.09,"767,530","45,501",7.16,11.70
2017-03-31,北京利尔,1002392,5.39,5.46,5.37,5.45,0.06,1.11,"62,682","3,398",1.67,0.96
2017-03-30,北京利尔,1002392,5.53,5.53,5.37,5.39,-0.14,-2.53,"101,884","5,530",2.89,1.55
2017-03-29,北京利尔,1002392,5.51,5.58,5.50,5.53,0.02,0.36,"87,959","4,879",1.45,1.34
2017-03-28,北京利尔,1002392,5.62,5.64,5.51,5.51,-0.11,-1.96,"103,331","5,741",2.31,1.57
2017-03-27,北京利尔,1002392,5.64,5.65,5.61,5.62,0.00,0.00,"74,194","4,177",0.71,1.13
2017-03-24,北京利尔,1002392,5.64,5.65,5.59,5.62,-0.02,-0.35,"120,578","6,785",1.06,1.84
2017-03-23,北京利尔,1002392,5.72,5.76,5.57,5.64,-0.10,-1.74,"112,002","6,343",3.31,1.71
2017-03-22,北京利尔,1002392,5.72,5.76,5.68,5.74,0.00,0.00,"82,074","4,695",1.39,1.25
2017-03-21,北京利尔,1002392,5.79,5.79,5.70,5.74,-0.03,-0.52,"85,122","4,894",1.56,1.30
2017-03-20,北京利尔,1002392,5.78,5.81,5.70,5.77,-0.01,-0.17,"115,732","6,671",1.90,1.76
2017-03-17,北京利尔,1002392,5.86,5.91,5.77,5.78,-0.09,-1.53,"143,199","8,378",2.39,2.18
2017-03-16,北京利尔,1002392,5.78,5.90,5.78,5.87,0.09,1.56,"131,913","7,702",2.08,2.01
2017-03-15,北京利尔,1002392,5.82,5.84,5.78,5.78,-0.05,-0.86,"71,583","4,156",1.03,1.09
2017-03-14,北京利尔,1002392,5.88,5.88,5.81,5.83,-0.05,-0.85,"85,549","4,993",1.19,1.30
2017-03-13,北京利尔,1002392,5.83,5.90,5.76,5.88,0.02,0.34,"107,529","6,281",2.39,1.64
2017-03-10,北京利尔,1002392,5.82,5.91,5.76,5.86,0.05,0.86,"113,016","6,578",2.58,1.72
2017-03-09,北京利尔,1002392,5.88,5.90,5.77,5.81,-0.11,-1.86,"122,002","7,095",2.20,1.86
