日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,华新Ｂ股,0900933,1.28,1.29,1.26,1.28,0.00,0.16,"25,091",319,2.04,0.48
2017-09-28,华新Ｂ股,0900933,1.28,1.29,1.27,1.28,-0.00,-0.31,"13,081",168,1.56,0.25
2017-09-27,华新Ｂ股,0900933,1.26,1.28,1.25,1.28,0.02,1.67,"20,581",262,2.78,0.39
2017-09-26,华新Ｂ股,0900933,1.26,1.27,1.24,1.26,-0.00,-0.32,"22,748",285,1.98,0.43
2017-09-25,华新Ｂ股,0900933,1.27,1.30,1.25,1.26,-0.01,-0.55,"34,161",437,3.39,0.65
2017-09-22,华新Ｂ股,0900933,1.24,1.30,1.23,1.27,0.03,2.17,"35,744",454,5.87,0.68
2017-09-21,华新Ｂ股,0900933,1.21,1.27,1.20,1.24,0.04,3.07,"42,312",527,5.56,0.81
2017-09-20,华新Ｂ股,0900933,1.21,1.21,1.18,1.21,0.01,0.58,"26,754",320,2.09,0.51
2017-09-19,华新Ｂ股,0900933,1.21,1.21,1.19,1.20,-0.01,-0.58,"19,110",229,1.49,0.36
2017-09-18,华新Ｂ股,0900933,1.18,1.21,1.18,1.21,0.02,1.94,"26,532",318,2.71,0.51
2017-09-15,华新Ｂ股,0900933,1.19,1.19,1.16,1.18,-0.01,-0.84,"37,684",443,2.60,0.72
2017-09-14,华新Ｂ股,0900933,1.15,1.21,1.15,1.19,0.05,4.01,"61,135",728,5.14,1.16
2017-09-13,华新Ｂ股,0900933,1.15,1.16,1.14,1.15,0.00,0.00,"19,101",219,1.74,0.36
2017-09-12,华新Ｂ股,0900933,1.13,1.16,1.13,1.15,0.02,1.87,"38,487",444,3.02,0.73
2017-09-11,华新Ｂ股,0900933,1.13,1.13,1.11,1.13,0.00,0.09,"28,226",315,2.13,0.54
2017-09-08,华新Ｂ股,0900933,1.13,1.15,1.11,1.13,-0.01,-0.62,"49,604",559,3.45,0.95
2017-09-07,华新Ｂ股,0900933,1.15,1.16,1.13,1.13,-0.02,-1.99,"34,222",389,3.29,0.65
2017-09-06,华新Ｂ股,0900933,1.13,1.16,1.12,1.16,0.03,2.39,"33,373",382,3.01,0.64
2017-09-05,华新Ｂ股,0900933,1.10,1.13,1.09,1.13,0.03,3.11,"22,582",252,3.66,0.43
2017-09-04,华新Ｂ股,0900933,1.09,1.11,1.08,1.09,0.00,0.18,"22,853",250,1.92,0.44
2017-09-01,华新Ｂ股,0900933,1.11,1.14,1.09,1.09,-0.01,-1.27,"48,167",536,4.97,0.92
2017-08-31,华新Ｂ股,0900933,1.08,1.11,1.08,1.11,0.02,2.12,"27,261",300,2.40,0.52
2017-08-30,华新Ｂ股,0900933,1.07,1.08,1.06,1.08,0.01,1.31,"25,631",276,2.43,0.49
2017-08-29,华新Ｂ股,0900933,1.05,1.08,1.05,1.07,0.02,2.10,"26,985",288,2.67,0.51
2017-08-28,华新Ｂ股,0900933,1.04,1.05,1.02,1.05,0.02,1.55,"31,925",332,3.39,0.61
2017-08-25,华新Ｂ股,0900933,1.00,1.03,1.00,1.03,0.03,2.59,"26,016",266,3.08,0.50
2017-08-24,华新Ｂ股,0900933,1.01,1.02,1.00,1.01,-0.01,-1.08,"19,824",199,1.77,0.38
2017-08-23,华新Ｂ股,0900933,1.02,1.03,1.00,1.02,-0.00,-0.29,"10,657",108,2.16,0.20
2017-08-22,华新Ｂ股,0900933,1.01,1.04,1.01,1.02,0.01,0.59,"27,571",283,2.76,0.53
2017-08-21,华新Ｂ股,0900933,1.00,1.02,0.99,1.01,0.03,2.53,"20,028",202,2.13,0.38
2017-08-18,华新Ｂ股,0900933,0.97,0.99,0.96,0.99,0.02,1.65,"18,562",182,3.40,0.35
2017-08-17,华新Ｂ股,0900933,0.98,0.98,0.97,0.97,0.00,0.21,"12,731",124,1.65,0.24
2017-08-16,华新Ｂ股,0900933,0.99,0.99,0.97,0.97,-0.02,-1.82,"22,046",214,2.53,0.42
2017-08-15,华新Ｂ股,0900933,1.00,1.01,0.99,0.99,-0.01,-1.20,"18,006",179,2.00,0.34
2017-08-14,华新Ｂ股,0900933,0.97,1.00,0.95,1.00,0.03,3.20,"30,659",303,5.37,0.58
2017-08-11,华新Ｂ股,0900933,1.00,1.02,0.97,0.97,-0.05,-4.63,"49,639",491,4.72,0.95
2017-08-10,华新Ｂ股,0900933,1.00,1.02,0.99,1.02,0.02,2.21,"41,604",418,2.82,0.79
2017-08-09,华新Ｂ股,0900933,0.96,1.00,0.96,0.99,0.04,4.41,"32,028",314,4.20,0.61
2017-08-08,华新Ｂ股,0900933,0.93,0.96,0.93,0.95,0.03,3.14,"32,607",309,3.36,0.62
2017-08-07,华新Ｂ股,0900933,0.92,0.92,0.91,0.92,0.01,0.87,"13,732",126,1.42,0.26
2017-08-04,华新Ｂ股,0900933,0.91,0.92,0.90,0.92,0.01,1.22,"18,449",169,2.21,0.35
2017-08-03,华新Ｂ股,0900933,0.90,0.91,0.90,0.90,-0.00,-0.44,"16,448",149,1.43,0.31
2017-08-02,华新Ｂ股,0900933,0.92,0.92,0.91,0.91,-0.01,-1.30,"19,890",182,1.74,0.38
2017-08-01,华新Ｂ股,0900933,0.93,0.93,0.91,0.92,-0.01,-0.54,"22,341",205,1.84,0.43
2017-07-31,华新Ｂ股,0900933,0.92,0.93,0.90,0.93,0.02,1.76,"20,554",189,2.53,0.39
2017-07-28,华新Ｂ股,0900933,0.90,0.92,0.90,0.91,0.01,1.11,"23,984",218,2.11,0.46
2017-07-27,华新Ｂ股,0900933,0.88,0.91,0.88,0.90,0.02,1.93,"40,029",361,3.74,0.76
2017-07-26,华新Ｂ股,0900933,0.86,0.89,0.86,0.88,0.03,2.92,"35,843",313,3.27,0.68
2017-07-25,华新Ｂ股,0900933,0.87,0.87,0.85,0.86,-0.01,-0.92,"22,719",194,2.43,0.43
2017-07-24,华新Ｂ股,0900933,0.86,0.88,0.85,0.87,0.02,1.76,"37,647",324,3.41,0.72
2017-07-21,华新Ｂ股,0900933,0.87,0.87,0.84,0.85,0.02,1.92,"62,069",531,3.36,1.18
2017-07-20,华新Ｂ股,0900933,0.82,0.84,0.82,0.83,0.01,0.72,"29,290",244,2.29,0.56
2017-07-19,华新Ｂ股,0900933,0.81,0.83,0.81,0.83,0.02,2.86,"44,971",370,3.48,0.86
2017-07-18,华新Ｂ股,0900933,0.79,0.81,0.79,0.81,0.02,2.29,"26,024",208,2.29,0.50
2017-07-17,华新Ｂ股,0900933,0.79,0.81,0.78,0.79,-0.01,-1.13,"25,277",200,3.14,0.48
2017-07-14,华新Ｂ股,0900933,0.80,0.80,0.79,0.80,-0.00,-0.50,"10,027",80,1.13,0.19
2017-07-13,华新Ｂ股,0900933,0.78,0.81,0.78,0.80,0.02,2.43,"41,360",331,3.97,0.79
2017-07-12,华新Ｂ股,0900933,0.78,0.79,0.77,0.78,0.00,0.26,"9,643",75,2.05,0.18
2017-07-11,华新Ｂ股,0900933,0.77,0.79,0.77,0.78,-0.00,-0.13,"17,614",137,2.69,0.34
2017-07-10,华新Ｂ股,0900933,0.79,0.80,0.78,0.78,-0.00,-0.13,"14,831",117,2.05,0.28
2017-07-07,华新Ｂ股,0900933,0.77,0.79,0.77,0.78,0.01,1.69,"20,024",156,2.34,0.38
2017-07-06,华新Ｂ股,0900933,0.77,0.77,0.77,0.77,-0.00,-0.39,"5,907",45,0.91,0.11
2017-07-05,华新Ｂ股,0900933,0.77,0.77,0.77,0.77,-0.00,-0.13,"6,629",51,0.78,0.13
2017-07-04,华新Ｂ股,0900933,0.78,0.78,0.77,0.77,-0.01,-0.90,"7,437",58,1.16,0.14
2017-07-03,华新Ｂ股,0900933,0.78,0.78,0.77,0.78,0.01,0.65,"11,642",91,1.81,0.22
2017-03-31,华新Ｂ股,0900933,0.78,0.78,0.77,0.77,-0.01,-0.64,"9,916",76,1.68,0.19
2017-03-30,华新Ｂ股,0900933,0.78,0.79,0.77,0.78,-0.01,-0.77,"18,844",146,2.30,0.36
2017-03-29,华新Ｂ股,0900933,0.78,0.79,0.78,0.78,0.00,0.26,"14,054",110,1.67,0.27
2017-03-28,华新Ｂ股,0900933,0.78,0.78,0.77,0.78,0.00,0.26,"5,281",41,0.90,0.10
2017-03-27,华新Ｂ股,0900933,0.79,0.79,0.78,0.78,-0.01,-0.77,"18,987",149,2.30,0.36
2017-03-24,华新Ｂ股,0900933,0.77,0.79,0.76,0.78,0.02,2.48,"36,147",281,3.66,0.69
2017-03-23,华新Ｂ股,0900933,0.77,0.78,0.74,0.77,-0.01,-1.29,"28,928",220,4.65,0.55
2017-03-22,华新Ｂ股,0900933,0.77,0.78,0.77,0.78,-0.00,-0.39,"12,666",98,1.67,0.24
2017-03-21,华新Ｂ股,0900933,0.78,0.78,0.77,0.78,-0.01,-0.89,"13,996",109,1.02,0.27
2017-03-20,华新Ｂ股,0900933,0.78,0.79,0.77,0.79,0.00,0.26,"13,041",102,2.17,0.25
2017-03-17,华新Ｂ股,0900933,0.79,0.79,0.78,0.78,-0.00,-0.38,"21,648",169,1.78,0.41
2017-03-16,华新Ｂ股,0900933,0.79,0.79,0.78,0.79,0.00,0.26,"23,799",187,1.79,0.45
2017-03-15,华新Ｂ股,0900933,0.77,0.79,0.76,0.78,0.02,2.62,"45,188",354,3.80,0.86
2017-03-14,华新Ｂ股,0900933,0.76,0.78,0.76,0.76,0.01,1.60,"24,383",187,3.32,0.46
2017-03-13,华新Ｂ股,0900933,0.74,0.75,0.74,0.75,0.01,1.08,"6,173",46,1.75,0.12
2017-03-10,华新Ｂ股,0900933,0.74,0.75,0.74,0.74,0.01,0.95,"7,070",53,1.90,0.13
2017-03-09,华新Ｂ股,0900933,0.75,0.75,0.73,0.74,-0.01,-1.73,"17,536",130,2.40,0.33
2017-03-08,华新Ｂ股,0900933,0.75,0.76,0.74,0.75,0.00,0.13,"9,888",74,1.87,0.19
2017-03-07,华新Ｂ股,0900933,0.75,0.75,0.75,0.75,0.00,0.40,"5,476",41,0.67,0.10
2017-03-06,华新Ｂ股,0900933,0.75,0.76,0.74,0.75,-0.01,-0.67,"23,440",175,2.40,0.45
2017-03-03,华新Ｂ股,0900933,0.76,0.76,0.75,0.75,-0.01,-1.83,"25,354",190,2.35,0.48
2017-03-02,华新Ｂ股,0900933,0.79,0.79,0.77,0.77,-0.02,-2.42,"14,195",110,3.32,0.27
2017-03-01,华新Ｂ股,0900933,0.78,0.79,0.77,0.78,0.01,1.03,"21,848",172,2.45,0.42
2017-02-28,华新Ｂ股,0900933,0.77,0.78,0.77,0.78,0.01,0.65,"7,963",62,1.56,0.15
2017-02-27,华新Ｂ股,0900933,0.77,0.77,0.76,0.77,0.00,0.13,"10,432",80,1.30,0.20
2017-02-24,华新Ｂ股,0900933,0.78,0.78,0.76,0.77,-0.01,-1.41,"20,323",157,2.56,0.39
2017-02-23,华新Ｂ股,0900933,0.79,0.79,0.77,0.78,-0.01,-1.51,"40,802",318,2.14,0.78
