日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2019-09-30,宏和科技,0603256,18.98,19.37,18.11,18.20,-0.62,-3.29,"137,849","25,717",6.70,15.70
2019-09-27,宏和科技,0603256,19.10,19.49,18.59,18.82,-0.61,-3.14,"170,549","32,518",4.63,19.42
2019-09-26,宏和科技,0603256,20.62,21.28,19.43,19.43,-2.16,-10.00,"260,613","52,172",8.57,29.68
2019-09-25,宏和科技,0603256,23.90,23.90,21.59,21.59,-2.40,-10.00,"267,194","60,659",9.63,30.43
2019-09-24,宏和科技,0603256,23.99,24.20,23.10,23.99,0.19,0.80,"199,893","47,219",4.62,22.77
2019-09-23,宏和科技,0603256,23.13,24.50,22.83,23.80,0.14,0.59,"219,741","52,167",7.06,25.03
2019-09-20,宏和科技,0603256,24.30,25.20,23.38,23.66,-0.94,-3.82,"294,274","71,619",7.40,33.52
2019-09-19,宏和科技,0603256,22.15,24.60,21.82,24.60,1.55,6.72,"347,586","81,405",12.06,39.59
2019-09-18,宏和科技,0603256,23.40,24.53,23.05,23.05,-0.25,-1.07,"329,566","78,525",6.35,37.54
2019-09-17,宏和科技,0603256,23.74,23.91,22.80,23.30,-0.60,-2.51,"218,480","50,804",4.64,24.88
2019-09-16,宏和科技,0603256,22.44,24.47,22.36,23.90,1.30,5.75,"305,482","71,635",9.34,34.79
2019-09-12,宏和科技,0603256,22.56,23.68,22.40,22.60,-0.04,-0.18,"261,725","60,510",5.65,29.81
2019-09-11,宏和科技,0603256,23.84,24.08,21.89,22.64,-1.20,-5.03,"286,512","65,306",9.19,32.63
2019-09-10,宏和科技,0603256,23.17,24.20,22.91,23.84,-0.30,-1.24,"286,696","67,457",5.34,32.65
2019-09-09,宏和科技,0603256,23.74,25.12,22.97,24.14,0.93,4.01,"377,493","90,312",9.26,42.99
2019-09-06,宏和科技,0603256,22.09,24.59,21.90,23.21,0.86,3.85,"488,547","114,308",12.04,55.64
2019-09-05,宏和科技,0603256,21.03,23.07,20.80,22.35,1.26,5.97,"430,526","93,658",10.76,49.03
2019-09-04,宏和科技,0603256,23.38,24.27,20.66,21.09,-1.03,-4.66,"544,089","122,019",16.32,61.97
2019-09-03,宏和科技,0603256,20.11,22.12,19.98,22.12,2.01,10.00,"324,562","68,522",10.64,36.97
2019-09-02,宏和科技,0603256,19.26,20.20,18.55,20.11,0.61,3.13,"292,561","57,077",8.46,33.32
2019-08-30,宏和科技,0603256,19.68,20.10,18.88,19.50,0.02,0.10,"272,715","53,475",6.26,31.06
2019-08-29,宏和科技,0603256,19.61,19.89,19.26,19.48,-0.69,-3.42,"252,229","49,356",3.12,28.73
2019-08-28,宏和科技,0603256,18.43,20.21,18.42,20.17,1.44,7.69,"358,727","69,600",9.56,40.86
2019-08-27,宏和科技,0603256,18.95,19.20,18.45,18.73,0.28,1.52,"193,635","36,431",4.07,22.05
2019-08-26,宏和科技,0603256,17.90,18.58,17.62,18.45,-0.32,-1.70,"181,477","32,990",5.11,20.67
2019-08-23,宏和科技,0603256,18.69,19.25,18.40,18.77,0.28,1.51,"230,309","43,478",4.60,26.23
2019-08-22,宏和科技,0603256,18.88,18.96,18.18,18.49,-0.57,-2.99,"228,933","42,490",4.09,26.07
2019-08-21,宏和科技,0603256,18.77,19.50,18.31,19.06,-0.05,-0.26,"261,512","49,408",6.23,29.79
2019-08-20,宏和科技,0603256,20.18,20.33,19.01,19.11,-1.34,-6.55,"374,119","73,017",6.45,42.61
2019-08-19,宏和科技,0603256,19.74,20.64,19.74,20.45,0.40,2.00,"397,906","80,182",4.49,45.32
2019-08-16,宏和科技,0603256,22.80,23.68,20.00,20.05,-1.73,-7.94,"658,689","144,050",16.90,75.02
2019-08-15,宏和科技,0603256,19.01,21.78,19.01,21.78,1.98,10.00,"439,555","89,042",13.99,50.06
2019-08-14,宏和科技,0603256,19.59,21.30,19.10,19.80,0.40,2.06,"515,499","102,861",11.34,58.71
2019-08-13,宏和科技,0603256,18.26,20.43,18.11,19.40,0.83,4.47,"589,447","114,931",12.49,67.14
2019-08-12,宏和科技,0603256,18.34,18.62,17.18,18.57,0.19,1.03,"355,923","64,070",7.83,40.54
2019-08-09,宏和科技,0603256,18.37,18.88,17.65,18.38,0.13,0.71,"454,832","83,175",6.74,51.80
2019-08-08,宏和科技,0603256,19.20,19.28,18.25,18.25,-2.03,-10.01,"506,399","93,586",5.08,57.68
2019-08-07,宏和科技,0603256,22.01,22.01,20.02,20.28,0.27,1.35,"682,966","146,061",9.95,77.79
2019-08-06,宏和科技,0603256,20.01,20.01,20.01,20.01,1.82,10.01,"29,155","5,834",0.00,3.32
2019-08-05,宏和科技,0603256,18.19,18.19,18.19,18.19,1.65,9.98,"15,612","2,840",0.00,1.78
2019-08-02,宏和科技,0603256,16.54,16.54,16.54,16.54,1.50,9.97,"31,089","5,142",0.00,3.54
2019-08-01,宏和科技,0603256,15.04,15.04,15.04,15.04,1.37,10.02,"15,534","2,336",0.00,1.77
2019-07-31,宏和科技,0603256,13.67,13.67,13.67,13.67,1.24,9.98,"3,055",418,0.00,0.35
2019-07-30,宏和科技,0603256,12.43,12.43,12.43,12.43,1.13,10.00,"3,438",427,0.00,0.39
2019-07-29,宏和科技,0603256,11.30,11.30,11.30,11.30,1.03,10.03,"4,968",561,0.00,0.57
2019-07-26,宏和科技,0603256,10.27,10.27,10.27,10.27,0.93,9.96,"3,565",366,0.00,0.41
2019-07-25,宏和科技,0603256,9.34,9.34,9.34,9.34,0.85,10.01,"1,945",182,0.00,0.22
2019-07-24,宏和科技,0603256,8.49,8.49,8.49,8.49,0.77,9.97,"1,076",91,0.00,0.12
2019-07-23,宏和科技,0603256,7.72,7.72,7.72,7.72,0.70,9.97,859,66,0.00,0.10
2019-07-22,宏和科技,0603256,7.02,7.02,7.02,7.02,0.64,10.03,825,58,0.00,0.09
2019-07-19,宏和科技,0603256,5.32,6.38,5.32,6.38,1.95,44.02,949,60,23.93,0.11
2019-12-31,宏和科技,0603256,14.75,14.94,14.72,14.77,-0.04,-0.27,"31,658","4,687",1.49,3.61
2019-12-30,宏和科技,0603256,14.71,14.98,14.25,14.81,-0.17,-1.13,"54,403","7,957",4.87,6.20
2019-12-27,宏和科技,0603256,15.50,15.62,14.88,14.98,-0.49,-3.17,"66,860","10,224",4.78,7.62
2019-12-26,宏和科技,0603256,15.30,15.55,15.20,15.47,0.22,1.44,"70,095","10,781",2.30,7.98
2019-12-25,宏和科技,0603256,15.35,15.44,15.18,15.25,0.00,0.00,"46,330","7,082",1.70,5.28
2019-12-24,宏和科技,0603256,15.18,15.37,15.07,15.25,0.21,1.40,"37,978","5,777",1.99,4.33
2019-12-23,宏和科技,0603256,15.59,15.71,15.04,15.04,-0.69,-4.39,"71,484","10,916",4.26,8.14
2019-12-20,宏和科技,0603256,15.81,16.19,15.49,15.73,0.04,0.25,"90,319","14,266",4.46,10.29
2019-12-19,宏和科技,0603256,15.73,15.94,15.54,15.69,-0.14,-0.88,"68,868","10,803",2.53,7.84
2019-12-18,宏和科技,0603256,15.65,16.00,15.55,15.83,0.11,0.70,"104,163","16,445",2.86,11.86
2019-12-17,宏和科技,0603256,15.36,16.20,15.36,15.72,0.40,2.61,"146,583","23,269",5.48,16.70
2019-12-16,宏和科技,0603256,15.20,15.50,15.03,15.32,0.34,2.27,"82,193","12,531",3.14,9.36
2019-12-13,宏和科技,0603256,14.94,15.20,14.94,14.98,0.13,0.88,"72,149","10,858",1.75,8.22
2019-12-12,宏和科技,0603256,15.25,15.28,14.85,14.85,-0.52,-3.38,"87,036","13,104",2.80,9.91
2019-12-11,宏和科技,0603256,15.10,15.55,14.96,15.37,0.28,1.86,"111,616","17,077",3.91,12.71
2019-12-10,宏和科技,0603256,15.05,15.23,14.78,15.09,0.05,0.33,"70,428","10,558",2.99,8.02
2019-12-09,宏和科技,0603256,15.02,15.18,14.83,15.04,0.07,0.47,"60,721","9,101",2.34,6.92
2019-12-06,宏和科技,0603256,14.98,15.16,14.77,14.97,-0.13,-0.86,"80,751","12,065",2.58,9.20
2019-12-05,宏和科技,0603256,14.68,15.55,14.65,15.10,0.42,2.86,"119,567","18,090",6.13,13.62
2019-12-04,宏和科技,0603256,14.50,14.98,14.37,14.68,0.07,0.48,"68,758","10,103",4.18,7.83
2019-12-03,宏和科技,0603256,14.32,14.72,14.01,14.61,0.04,0.27,"68,600","9,860",4.87,7.81
