日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-05-19,海南瑞泽,1002596,8.35,8.36,8.25,8.29,-0.03,-0.36,"52,914","4,384",1.32,0.66
2017-05-18,海南瑞泽,1002596,8.30,8.40,8.25,8.32,0.00,0.00,"156,603","13,006",1.80,1.96
2017-05-17,海南瑞泽,1002596,8.38,8.42,8.30,8.32,-0.13,-1.54,"111,707","9,311",1.42,1.40
2017-05-16,海南瑞泽,1002596,8.39,8.45,8.12,8.45,0.05,0.60,"156,781","12,964",3.93,1.96
2017-05-15,海南瑞泽,1002596,8.36,8.60,8.23,8.40,0.03,0.36,"93,074","7,835",4.42,1.17
2017-05-12,海南瑞泽,1002596,8.35,8.40,8.31,8.37,-0.01,-0.12,"29,508","2,462",1.07,0.37
2017-05-11,海南瑞泽,1002596,8.35,8.41,8.14,8.38,-0.05,-0.59,"56,840","4,714",3.20,0.71
2017-05-10,海南瑞泽,1002596,8.46,8.53,8.39,8.43,-0.11,-1.29,"45,670","3,852",1.64,0.57
2017-05-09,海南瑞泽,1002596,8.59,8.60,8.37,8.54,0.03,0.35,"43,023","3,647",2.70,0.54
2017-05-08,海南瑞泽,1002596,8.58,8.60,8.38,8.51,-0.05,-0.58,"68,784","5,831",2.57,0.86
2017-05-05,海南瑞泽,1002596,8.59,8.65,8.49,8.56,-0.09,-1.04,"59,573","5,104",1.85,0.75
2017-05-04,海南瑞泽,1002596,8.78,8.80,8.58,8.65,-0.15,-1.70,"87,259","7,563",2.50,1.09
2017-05-03,海南瑞泽,1002596,8.90,8.90,8.53,8.80,-0.10,-1.12,"68,820","5,988",4.16,0.86
2017-05-02,海南瑞泽,1002596,8.80,9.05,8.71,8.90,-0.01,-0.11,"56,044","5,007",3.82,0.70
2017-04-28,海南瑞泽,1002596,8.66,9.40,8.35,8.91,0.20,2.30,"64,992","5,747",12.06,0.81
2017-04-27,海南瑞泽,1002596,26.02,26.22,25.00,26.15,0.12,0.46,"17,326","4,467",4.69,0.65
2017-04-26,海南瑞泽,1002596,26.19,26.60,25.96,26.03,-0.16,-0.61,"12,991","3,401",2.44,0.49
