日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2018-06-29,科顺股份,1300737,11.51,11.95,11.51,11.91,0.37,3.21,"47,448","5,597",3.81,3.11
2018-06-28,科顺股份,1300737,12.10,12.10,11.51,11.54,-0.22,-1.87,"40,031","4,721",5.02,2.62
2018-06-27,科顺股份,1300737,11.76,11.93,11.70,11.76,0.00,0.00,"46,082","5,432",1.96,3.02
2018-06-26,科顺股份,1300737,11.43,11.83,11.32,11.76,0.06,0.51,"57,518","6,691",4.36,3.77
2018-06-25,科顺股份,1300737,11.55,11.84,11.41,11.70,0.32,2.81,"58,628","6,807",3.78,3.84
2018-06-22,科顺股份,1300737,11.25,11.48,11.01,11.38,0.17,1.52,"40,248","4,552",4.19,2.64
2018-06-21,科顺股份,1300737,11.93,12.03,11.12,11.21,-0.70,-5.88,"56,605","6,545",7.64,3.71
2018-06-20,科顺股份,1300737,11.67,12.07,11.60,11.91,0.21,1.79,"43,762","5,189",4.02,2.87
2018-06-19,科顺股份,1300737,12.76,12.78,11.70,11.70,-1.30,-10.00,"69,280","8,394",8.31,4.54
2018-06-15,科顺股份,1300737,13.55,13.65,12.92,13.00,-0.51,-3.78,"62,268","8,212",5.40,4.08
2018-06-14,科顺股份,1300737,13.52,13.78,13.48,13.51,-0.10,-0.73,"36,377","4,945",2.20,2.38
2018-06-13,科顺股份,1300737,13.85,14.05,13.61,13.61,-0.23,-1.66,"47,132","6,522",3.18,3.09
2018-06-12,科顺股份,1300737,13.85,13.96,13.58,13.84,-0.12,-0.86,"51,529","7,117",2.72,3.38
2018-06-11,科顺股份,1300737,13.55,13.96,13.53,13.96,0.33,2.42,"56,387","7,752",3.15,3.69
2018-06-08,科顺股份,1300737,13.83,13.83,13.42,13.63,-0.21,-1.52,"56,200","7,649",2.96,3.68
2018-06-07,科顺股份,1300737,14.10,14.21,13.82,13.84,-0.36,-2.54,"62,244","8,713",2.75,4.08
2018-06-06,科顺股份,1300737,14.21,14.36,14.08,14.20,0.12,0.85,"85,742","12,187",1.99,5.62
2018-06-05,科顺股份,1300737,13.81,14.17,13.73,14.08,0.31,2.25,"72,321","10,121",3.20,4.74
2018-06-04,科顺股份,1300737,14.01,14.06,13.68,13.77,-0.11,-0.79,"47,096","6,510",2.74,3.08
2018-06-01,科顺股份,1300737,13.75,14.10,13.56,13.88,0.06,0.43,"61,824","8,546",3.91,4.05
2018-05-31,科顺股份,1300737,13.64,13.90,13.52,13.82,0.34,2.52,"67,167","9,209",2.82,4.40
2018-05-30,科顺股份,1300737,14.06,14.28,13.18,13.48,-1.00,-6.91,"101,709","14,054",7.60,6.66
2018-05-29,科顺股份,1300737,14.40,14.70,14.34,14.48,0.01,0.07,"69,552","10,113",2.49,4.56
2018-05-28,科顺股份,1300737,15.00,15.00,14.46,14.47,-0.59,-3.92,"118,454","17,398",3.59,7.76
2018-05-25,科顺股份,1300737,15.87,16.30,15.06,15.06,-0.27,-1.76,"179,796","27,794",8.09,11.78
2018-05-24,科顺股份,1300737,14.90,15.49,14.66,15.33,0.54,3.65,"165,562","25,043",5.61,10.84
2018-05-23,科顺股份,1300737,15.00,15.41,14.75,14.79,-0.40,-2.63,"129,364","19,443",4.35,8.47
2018-05-22,科顺股份,1300737,14.69,15.25,14.51,15.19,0.54,3.69,"174,638","26,027",5.05,11.44
