日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,光明乳业,0600597,12.58,12.78,12.58,12.75,0.07,0.55,"63,619","8,086",1.58,0.52
2017-06-29,光明乳业,0600597,12.43,12.69,12.43,12.68,0.21,1.68,"49,664","6,248",2.09,0.41
2017-06-28,光明乳业,0600597,12.59,12.65,12.42,12.47,-0.14,-1.11,"31,953","4,013",1.82,0.26
2017-06-27,光明乳业,0600597,12.55,12.65,12.45,12.61,0.00,0.00,"47,449","5,958",1.59,0.39
2017-06-26,光明乳业,0600597,12.37,12.63,12.37,12.61,0.26,2.11,"78,687","9,846",2.11,0.64
2017-06-23,光明乳业,0600597,12.45,12.45,12.19,12.35,-0.05,-0.40,"49,246","6,050",2.10,0.40
2017-06-22,光明乳业,0600597,12.34,12.48,12.30,12.40,0.08,0.65,"64,556","8,010",1.46,0.53
2017-06-21,光明乳业,0600597,12.22,12.33,12.19,12.32,0.12,0.98,"30,034","3,683",1.15,0.25
2017-06-20,光明乳业,0600597,12.33,12.33,12.15,12.20,-0.10,-0.81,"23,715","2,900",1.46,0.19
2017-06-19,光明乳业,0600597,12.14,12.34,12.02,12.30,0.17,1.40,"42,679","5,209",2.64,0.35
2017-06-16,光明乳业,0600597,12.28,12.28,12.11,12.13,-0.13,-1.06,"21,327","2,604",1.39,0.17
2017-06-15,光明乳业,0600597,12.20,12.31,12.16,12.26,-0.01,-0.08,"30,886","3,777",1.22,0.25
2017-06-14,光明乳业,0600597,12.28,12.32,12.12,12.27,-0.05,-0.41,"38,116","4,660",1.62,0.31
2017-06-13,光明乳业,0600597,12.30,12.36,12.18,12.32,-0.01,-0.08,"39,620","4,863",1.46,0.32
2017-06-12,光明乳业,0600597,12.30,12.54,12.17,12.33,0.00,0.00,"44,406","5,478",3.00,0.36
2017-06-09,光明乳业,0600597,12.31,12.45,12.21,12.33,0.00,0.00,"52,567","6,473",1.95,0.43
2017-06-08,光明乳业,0600597,12.06,12.38,11.95,12.33,0.33,2.75,"85,635","10,450",3.58,0.70
2017-06-07,光明乳业,0600597,11.88,12.12,11.86,12.00,0.10,0.84,"57,966","6,970",2.18,0.47
2017-06-06,光明乳业,0600597,11.92,11.96,11.81,11.90,-0.02,-0.17,"33,687","4,012",1.26,0.28
2017-06-05,光明乳业,0600597,11.65,11.95,11.65,11.92,0.29,2.49,"67,023","7,928",2.58,0.55
2017-06-02,光明乳业,0600597,11.55,11.69,11.49,11.63,0.09,0.78,"31,520","3,650",1.73,0.26
