日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,千禾味业,0603027,18.61,18.68,18.29,18.49,-0.11,-0.59,"20,149","3,713",2.10,1.51
2017-06-29,千禾味业,0603027,18.17,18.77,18.15,18.60,0.50,2.76,"35,009","6,490",3.43,2.63
2017-06-28,千禾味业,0603027,18.30,18.61,18.00,18.10,-0.34,-1.84,"29,932","5,485",3.31,2.25
2017-06-27,千禾味业,0603027,18.10,18.53,17.98,18.44,0.30,1.65,"34,718","6,384",3.03,2.61
2017-06-26,千禾味业,0603027,17.74,18.18,17.57,18.14,0.40,2.25,"38,408","6,896",3.44,2.88
2017-06-23,千禾味业,0603027,17.45,17.78,17.03,17.74,0.32,1.84,"28,438","4,953",4.31,2.14
2017-06-22,千禾味业,0603027,17.40,17.78,17.39,17.42,-0.01,-0.06,"27,797","4,882",2.24,2.09
2017-06-21,千禾味业,0603027,17.44,17.54,17.31,17.43,0.14,0.81,"19,501","3,400",1.33,1.46
2017-06-20,千禾味业,0603027,17.54,17.54,17.27,17.29,-0.10,-0.58,"16,897","2,942",1.55,1.27
2017-06-19,千禾味业,0603027,17.40,17.55,17.22,17.39,-0.02,-0.11,"26,389","4,571",1.90,1.98
2017-06-16,千禾味业,0603027,17.90,17.95,17.28,17.41,-0.41,-2.30,"27,593","4,822",3.76,2.07
2017-06-15,千禾味业,0603027,17.70,18.00,17.59,17.82,0.12,0.68,"22,719","4,047",2.32,1.71
2017-06-14,千禾味业,0603027,17.43,18.07,17.42,17.70,0.20,1.14,"32,701","5,829",3.71,2.46
2017-06-13,千禾味业,0603027,17.20,17.65,17.20,17.50,0.25,1.45,"19,613","3,423",2.61,1.47
2017-06-12,千禾味业,0603027,17.47,17.72,17.22,17.25,-0.31,-1.77,"21,052","3,678",2.85,1.58
2017-06-09,千禾味业,0603027,17.58,17.70,17.20,17.56,-0.09,-0.51,"33,041","5,761",2.83,2.48
2017-06-08,千禾味业,0603027,16.96,17.95,16.89,17.65,0.45,2.62,"70,872","12,370",6.16,5.32
2017-06-07,千禾味业,0603027,16.59,17.89,16.50,17.20,0.69,4.18,"29,619","5,119",8.42,2.22
2017-06-06,千禾味业,0603027,32.82,33.59,32.41,33.21,0.37,1.13,"12,794","4,232",3.59,1.92
2017-06-05,千禾味业,0603027,32.31,32.98,32.10,32.84,0.76,2.37,"11,854","3,868",2.74,1.78
2017-06-02,千禾味业,0603027,31.35,32.17,30.52,32.08,0.95,3.05,"9,022","2,840",5.30,1.35
2017-06-01,千禾味业,0603027,32.20,32.30,31.10,31.13,-0.96,-2.99,"10,494","3,324",3.74,1.58
2017-05-31,千禾味业,0603027,32.08,33.25,31.79,32.09,0.88,2.82,"17,908","5,809",4.68,2.69
2017-05-26,千禾味业,0603027,31.50,31.87,31.08,31.21,-0.33,-1.05,"21,169","6,674",2.50,3.18
2017-05-25,千禾味业,0603027,31.09,31.77,30.60,31.54,0.52,1.68,"13,895","4,332",3.77,2.09
2017-05-24,千禾味业,0603027,32.15,32.24,30.65,31.02,-1.39,-4.29,"30,160","9,455",4.91,4.53
2017-05-23,千禾味业,0603027,33.52,33.75,32.01,32.41,-1.21,-3.60,"18,960","6,213",5.18,2.85
2017-05-22,千禾味业,0603027,35.03,35.26,33.57,33.62,-1.65,-4.68,"24,008","8,210",4.79,3.61
2017-05-19,千禾味业,0603027,36.23,36.44,35.08,35.27,-0.97,-2.68,"13,706","4,864",3.75,2.06
2017-05-18,千禾味业,0603027,36.03,36.45,36.00,36.24,-0.19,-0.52,"9,062","3,282",1.24,1.36
2017-05-17,千禾味业,0603027,35.65,36.56,35.52,36.43,-0.05,-0.14,"18,312","6,617",2.85,2.75
