日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2022-08-16,天新药业,0603235,33.83,34.16,33.72,33.83,0.00,0.00,"15,277","5,186",1.30,3.49
2022-08-15,天新药业,0603235,34.01,34.06,33.71,33.83,-0.23,-0.68,"15,635","5,293",1.03,3.57
2022-08-12,天新药业,0603235,33.45,34.42,33.35,34.06,0.65,1.95,"26,629","9,044",3.20,6.08
2022-08-11,天新药业,0603235,33.20,33.54,33.12,33.41,0.29,0.88,"17,465","5,827",1.27,3.99
2022-08-10,天新药业,0603235,33.58,33.82,32.91,33.12,-0.56,-1.66,"21,831","7,258",2.70,4.99
2022-08-09,天新药业,0603235,34.00,34.08,33.60,33.68,-0.51,-1.49,"20,318","6,854",1.40,4.64
2022-08-08,天新药业,0603235,34.00,34.55,33.56,34.19,-0.04,-0.12,"25,265","8,631",2.89,5.77
2022-08-05,天新药业,0603235,32.65,34.68,32.62,34.23,1.39,4.23,"44,096","15,006",6.27,10.07
2022-08-04,天新药业,0603235,32.75,32.88,32.17,32.84,0.33,1.02,"23,628","7,699",2.18,5.40
2022-08-03,天新药业,0603235,32.70,33.18,32.47,32.51,-0.29,-0.88,"27,708","9,114",2.16,6.33
2022-08-02,天新药业,0603235,34.78,34.78,32.34,32.80,-2.37,-6.74,"43,304","14,444",6.94,9.89
2022-08-01,天新药业,0603235,35.48,35.48,34.84,35.17,-0.37,-1.04,"27,689","9,724",1.80,6.32
2022-07-29,天新药业,0603235,36.30,36.33,35.51,35.54,-0.89,-2.44,"43,345","15,576",2.25,9.90
2022-07-28,天新药业,0603235,36.61,36.76,36.38,36.43,-0.13,-0.36,"32,231","11,782",1.04,7.36
2022-07-27,天新药业,0603235,36.40,36.73,36.18,36.56,0.07,0.19,"29,744","10,846",1.51,6.79
2022-07-26,天新药业,0603235,37.34,37.34,36.30,36.49,-0.84,-2.25,"44,491","16,262",2.79,10.16
2022-07-25,天新药业,0603235,37.12,37.80,37.00,37.33,0.30,0.81,"43,466","16,230",2.16,9.93
2022-07-22,天新药业,0603235,37.05,37.70,36.88,37.03,-0.39,-1.04,"55,127","20,487",2.19,12.59
2022-07-21,天新药业,0603235,38.60,38.60,37.41,37.42,-1.21,-3.13,"80,257","30,351",3.08,18.33
2022-07-20,天新药业,0603235,38.85,39.25,38.40,38.63,-0.26,-0.67,"74,814","28,939",2.19,17.09
2022-07-19,天新药业,0603235,39.01,39.65,38.73,38.89,-0.44,-1.12,"81,440","31,795",2.34,18.60
2022-07-18,天新药业,0603235,39.00,41.30,38.67,39.33,-2.64,-6.29,"133,485","52,569",6.27,30.49
2022-07-15,天新药业,0603235,38.72,46.85,38.72,41.97,-1.05,-2.44,"202,240","83,045",18.90,46.19
2022-07-14,天新药业,0603235,43.02,43.02,43.02,43.02,-4.78,-10.00,"8,174","3,516",0.00,1.87
2022-07-13,天新药业,0603235,47.80,47.80,47.80,47.80,-5.31,-10.00,"17,713","8,467",0.00,4.05
2022-07-12,天新药业,0603235,44.26,53.11,44.26,53.11,16.23,44.01,"34,038","18,013",24.00,7.77
