日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,星湖科技,0600866,7.00,7.13,7.00,7.08,0.15,2.16,"62,236","4,396",1.88,1.13
2017-03-30,星湖科技,0600866,7.07,7.14,6.90,6.93,-0.14,-1.98,"97,020","6,810",3.39,1.76
2017-03-29,星湖科技,0600866,7.12,7.19,7.05,7.07,-0.05,-0.70,"47,063","3,349",1.97,0.86
2017-03-28,星湖科技,0600866,7.10,7.14,6.94,7.12,-0.07,-0.97,"91,260","6,452",2.78,1.66
2017-03-27,星湖科技,0600866,7.39,7.43,7.18,7.19,-0.19,-2.57,"98,389","7,170",3.39,1.79
2017-03-24,星湖科技,0600866,7.35,7.40,7.29,7.38,0.03,0.41,"51,964","3,816",1.50,0.94
2017-03-23,星湖科技,0600866,7.37,7.45,7.22,7.35,-0.03,-0.41,"89,218","6,544",3.12,1.62
2017-03-22,星湖科技,0600866,7.39,7.44,7.28,7.38,-0.05,-0.67,"91,704","6,736",2.15,1.67
2017-03-21,星湖科技,0600866,7.51,7.55,7.40,7.43,-0.11,-1.46,"67,622","5,043",1.99,1.23
2017-03-20,星湖科技,0600866,7.43,7.60,7.43,7.54,0.10,1.34,"81,643","6,135",2.28,1.48
2017-03-17,星湖科技,0600866,7.42,7.63,7.40,7.44,0.04,0.54,"118,208","8,874",3.11,2.15
2017-03-16,星湖科技,0600866,7.40,7.42,7.32,7.40,0.05,0.68,"94,244","6,948",1.36,1.71
2017-03-15,星湖科技,0600866,7.24,7.38,7.20,7.35,0.12,1.66,"94,170","6,890",2.49,1.71
2017-03-14,星湖科技,0600866,7.27,7.35,7.21,7.23,-0.02,-0.28,"104,224","7,559",1.93,1.89
2017-03-13,星湖科技,0600866,7.11,7.34,7.11,7.25,0.13,1.83,"85,419","6,185",3.23,1.55
2017-03-10,星湖科技,0600866,7.10,7.16,7.07,7.12,0.02,0.28,"46,338","3,298",1.27,0.84
2017-03-09,星湖科技,0600866,7.20,7.32,7.02,7.10,-0.13,-1.80,"151,635","10,876",4.15,2.76
2017-03-08,星湖科技,0600866,7.36,7.40,7.20,7.23,-0.18,-2.43,"95,506","6,950",2.70,1.74
2017-03-07,星湖科技,0600866,7.42,7.45,7.33,7.41,0.00,0.00,"57,770","4,265",1.62,1.05
2017-03-06,星湖科技,0600866,7.28,7.53,7.25,7.41,0.11,1.51,"92,412","6,844",3.84,1.68
2017-03-03,星湖科技,0600866,7.25,7.31,7.16,7.30,0.09,1.25,"93,701","6,759",2.08,1.70
2017-03-02,星湖科技,0600866,7.24,7.35,7.17,7.21,-0.05,-0.69,"109,602","7,945",2.48,1.99
2017-03-01,星湖科技,0600866,7.03,7.36,7.02,7.26,0.25,3.57,"185,940","13,522",4.85,3.38
2017-02-28,星湖科技,0600866,7.05,7.09,6.94,7.01,-0.02,-0.28,"82,159","5,752",2.13,1.49
2017-02-27,星湖科技,0600866,6.99,7.08,6.95,7.03,0.07,1.01,"88,245","6,209",1.87,1.60
2017-02-24,星湖科技,0600866,6.81,6.99,6.81,6.96,0.14,2.05,"103,547","7,152",2.64,1.88
2017-02-23,星湖科技,0600866,6.85,6.89,6.78,6.82,-0.05,-0.73,"40,081","2,736",1.60,0.73
2017-02-22,星湖科技,0600866,6.86,6.90,6.83,6.87,0.01,0.15,"36,616","2,512",1.02,0.67
2017-02-21,星湖科技,0600866,6.83,6.86,6.81,6.86,0.04,0.59,"41,816","2,859",0.73,0.76
2017-02-20,星湖科技,0600866,6.75,6.83,6.73,6.82,0.04,0.59,"38,125","2,587",1.47,0.69
2017-02-17,星湖科技,0600866,6.85,6.92,6.75,6.78,-0.09,-1.31,"40,415","2,758",2.47,0.73
2017-02-16,星湖科技,0600866,6.73,6.88,6.73,6.87,0.14,2.08,"44,772","3,056",2.23,0.81
2017-02-15,星湖科技,0600866,6.85,6.86,6.72,6.73,-0.12,-1.75,"51,266","3,492",2.04,0.93
2017-02-14,星湖科技,0600866,6.79,6.90,6.77,6.85,0.07,1.03,"69,230","4,747",1.92,1.26
2017-02-13,星湖科技,0600866,6.76,6.80,6.73,6.78,0.01,0.15,"42,995","2,910",1.03,0.78
2017-02-10,星湖科技,0600866,6.76,6.82,6.75,6.77,0.02,0.30,"41,886","2,837",1.04,0.76
2017-02-09,星湖科技,0600866,6.72,6.78,6.72,6.75,0.01,0.15,"40,500","2,734",0.89,0.74
2017-02-08,星湖科技,0600866,6.72,6.75,6.67,6.74,0.04,0.60,"27,216","1,828",1.19,0.49
2017-02-07,星湖科技,0600866,6.72,6.76,6.68,6.70,-0.03,-0.45,"28,767","1,931",1.19,0.52
2017-02-06,星湖科技,0600866,6.63,6.75,6.60,6.73,0.11,1.66,"42,974","2,872",2.27,0.78
2017-02-03,星湖科技,0600866,6.59,6.65,6.56,6.62,-0.01,-0.15,"21,755","1,436",1.36,0.40
2017-01-26,星湖科技,0600866,6.55,6.65,6.53,6.63,0.09,1.38,"34,312","2,257",1.83,0.62
2017-01-25,星湖科技,0600866,6.53,6.57,6.50,6.54,0.01,0.15,"19,794","1,294",1.07,0.36
2017-01-24,星湖科技,0600866,6.52,6.57,6.49,6.53,0.01,0.15,"28,309","1,847",1.23,0.51
2017-01-23,星湖科技,0600866,6.44,6.55,6.44,6.52,0.07,1.09,"33,648","2,192",1.71,0.61
2017-01-20,星湖科技,0600866,6.30,6.47,6.30,6.45,0.11,1.74,"35,502","2,276",2.68,0.65
2017-01-19,星湖科技,0600866,6.36,6.40,6.30,6.34,-0.06,-0.94,"32,529","2,065",1.56,0.59
2017-01-18,星湖科技,0600866,6.43,6.50,6.35,6.40,0.04,0.63,"49,542","3,185",2.36,0.90
2017-01-17,星湖科技,0600866,6.34,6.37,6.10,6.36,0.04,0.63,"59,647","3,744",4.27,1.08
2017-01-16,星湖科技,0600866,6.60,6.63,6.29,6.32,-0.30,-4.53,"125,094","8,013",5.14,2.27
2017-01-13,星湖科技,0600866,6.72,6.77,6.55,6.62,-0.12,-1.78,"62,200","4,159",3.26,1.13
2017-01-12,星湖科技,0600866,6.86,6.90,6.72,6.74,-0.13,-1.89,"60,422","4,117",2.62,1.10
2017-01-11,星湖科技,0600866,6.99,7.01,6.86,6.87,-0.13,-1.86,"60,574","4,199",2.14,1.10
2017-01-10,星湖科技,0600866,6.99,7.05,6.95,7.00,0.00,0.00,"38,142","2,671",1.43,0.69
2017-01-09,星湖科技,0600866,7.06,7.09,6.93,7.00,-0.08,-1.13,"61,821","4,322",2.26,1.12
2017-01-06,星湖科技,0600866,7.04,7.08,7.00,7.08,0.04,0.57,"50,440","3,555",1.14,0.92
2017-01-05,星湖科技,0600866,7.09,7.14,7.03,7.04,-0.06,-0.85,"56,520","3,999",1.55,1.03
2017-01-04,星湖科技,0600866,7.10,7.16,7.07,7.10,-0.01,-0.14,"59,596","4,239",1.27,1.08
2017-01-03,星湖科技,0600866,7.09,7.15,7.07,7.11,0.03,0.42,"50,280","3,574",1.13,0.91
2017-12-29,星湖科技,0600866,4.60,4.63,4.57,4.60,0.00,0.00,"17,834",821,1.30,0.28
2017-12-28,星湖科技,0600866,4.58,4.61,4.55,4.60,0.00,0.00,"14,784",678,1.30,0.23
2017-12-27,星湖科技,0600866,4.64,4.65,4.57,4.60,-0.04,-0.86,"20,773",955,1.72,0.32
