日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2019-06-28,有友食品,0603697,18.77,19.87,18.71,18.92,-0.07,-0.37,"236,796","45,582",6.11,29.79
2019-06-27,有友食品,0603697,18.48,19.06,18.11,18.99,0.35,1.88,"222,522","41,351",5.10,27.99
2019-06-26,有友食品,0603697,17.80,19.11,17.71,18.64,0.67,3.73,"218,766","40,614",7.79,27.52
2019-06-25,有友食品,0603697,17.67,18.19,17.51,17.97,0.25,1.41,"119,322","21,307",3.84,15.01
2019-06-24,有友食品,0603697,18.21,18.25,17.55,17.72,-0.49,-2.69,"115,742","20,584",3.84,14.56
2019-06-21,有友食品,0603697,17.95,18.58,17.89,18.21,0.23,1.28,"133,152","24,248",3.84,16.75
2019-06-20,有友食品,0603697,17.82,18.18,17.63,17.98,0.01,0.06,"111,104","19,931",3.06,13.98
2019-06-19,有友食品,0603697,18.19,18.28,17.90,17.97,0.27,1.53,"127,356","23,009",2.15,16.02
2019-06-18,有友食品,0603697,17.50,18.15,17.47,17.70,0.25,1.43,"104,656","18,625",3.90,13.16
2019-06-17,有友食品,0603697,17.36,17.72,17.25,17.45,-0.35,-1.97,"84,776","14,807",2.64,10.66
2019-06-14,有友食品,0603697,18.90,18.90,17.79,17.80,-1.20,-6.32,"141,368","25,843",5.84,17.78
2019-06-13,有友食品,0603697,18.49,19.15,18.21,19.00,0.19,1.01,"153,990","28,793",5.00,19.37
2019-06-12,有友食品,0603697,19.77,20.19,18.81,18.81,-1.33,-6.60,"266,437","51,842",6.85,33.51
2019-06-11,有友食品,0603697,19.10,20.73,18.90,20.14,0.94,4.90,"285,859","56,274",9.53,35.96
2019-06-10,有友食品,0603697,18.13,19.37,17.77,19.20,0.88,4.80,"228,909","42,827",8.73,28.79
2019-06-06,有友食品,0603697,18.19,18.80,17.37,18.32,0.01,0.05,"218,612","39,965",7.81,27.50
2019-06-05,有友食品,0603697,18.80,18.94,18.08,18.31,-0.51,-2.71,"184,608","34,083",4.57,23.22
2019-06-04,有友食品,0603697,19.45,19.64,18.41,18.82,-1.64,-8.02,"305,493","57,478",6.01,38.43
2019-06-03,有友食品,0603697,22.93,23.18,20.46,20.46,-2.27,-9.99,"384,501","82,170",11.97,48.36
2019-05-31,有友食品,0603697,21.17,22.73,21.03,22.73,2.07,10.02,"349,307","76,848",8.23,43.94
2019-05-30,有友食品,0603697,18.68,20.66,18.31,20.66,1.88,10.01,"341,453","66,786",12.51,42.95
2019-05-29,有友食品,0603697,18.05,19.49,17.93,18.78,0.50,2.74,"262,402","49,494",8.53,33.01
2019-05-28,有友食品,0603697,18.55,19.16,18.23,18.28,-0.52,-2.77,"210,336","39,304",4.95,26.46
2019-05-27,有友食品,0603697,18.43,18.98,18.10,18.80,0.07,0.37,"209,260","38,799",4.70,26.32
2019-05-24,有友食品,0603697,18.23,19.19,17.88,18.73,-0.03,-0.16,"226,192","42,022",6.98,28.45
2019-05-23,有友食品,0603697,19.31,19.68,18.63,18.76,-0.54,-2.80,"278,958","53,549",5.44,35.09
2019-05-22,有友食品,0603697,19.50,19.85,18.62,19.30,-0.73,-3.64,"356,918","68,517",6.14,44.90
2019-05-21,有友食品,0603697,20.30,20.97,19.43,20.03,-0.06,-0.30,"333,570","67,530",7.67,41.96
2019-05-20,有友食品,0603697,22.30,22.33,19.92,20.09,-2.00,-9.05,"456,443","95,084",10.91,57.41
2019-05-17,有友食品,0603697,22.09,22.09,22.08,22.09,2.01,10.01,"182,908","40,404",0.05,23.01
2019-05-16,有友食品,0603697,20.08,20.08,20.08,20.08,1.83,10.03,"40,862","8,205",0.00,5.14
2019-05-15,有友食品,0603697,18.25,18.25,18.25,18.25,1.66,10.01,"4,341",792,0.00,0.55
2019-05-14,有友食品,0603697,16.59,16.59,16.59,16.59,1.51,10.01,"3,397",564,0.00,0.43
2019-05-13,有友食品,0603697,15.08,15.08,15.08,15.08,1.37,9.99,"1,859",280,0.00,0.23
2019-05-10,有友食品,0603697,13.71,13.71,13.71,13.71,1.25,10.03,675,93,0.00,0.08
2019-05-09,有友食品,0603697,12.46,12.46,12.46,12.46,1.13,9.97,412,51,0.00,0.05
2019-05-08,有友食品,0603697,11.33,11.33,11.33,11.33,3.46,43.96,966,109,0.00,0.12
2019-12-31,有友食品,0603697,13.25,13.65,13.23,13.59,0.26,1.95,"41,183","5,573",3.15,5.18
2019-12-30,有友食品,0603697,13.33,13.38,12.99,13.33,-0.05,-0.37,"29,771","3,937",2.91,3.74
2019-12-27,有友食品,0603697,13.50,13.78,13.35,13.38,-0.17,-1.25,"34,015","4,610",3.17,4.28
2019-12-26,有友食品,0603697,13.39,13.60,13.28,13.55,0.21,1.57,"28,809","3,868",2.40,3.62
2019-12-25,有友食品,0603697,13.42,13.47,13.30,13.34,-0.13,-0.97,"21,417","2,863",1.26,2.69
2019-12-24,有友食品,0603697,13.36,13.50,13.28,13.47,0.12,0.90,"22,529","3,018",1.65,2.83
2019-12-23,有友食品,0603697,13.34,13.75,13.27,13.35,-0.03,-0.22,"35,307","4,777",3.59,4.44
2019-12-20,有友食品,0603697,13.61,13.65,13.35,13.38,-0.17,-1.25,"26,053","3,521",2.21,3.28
2019-12-19,有友食品,0603697,13.52,13.60,13.38,13.55,0.00,0.00,"32,442","4,375",1.62,4.08
2019-12-18,有友食品,0603697,13.55,13.90,13.50,13.55,-0.06,-0.44,"36,062","4,921",2.94,4.54
2019-12-17,有友食品,0603697,13.37,13.69,13.31,13.61,0.24,1.80,"42,777","5,791",2.84,5.38
2019-12-16,有友食品,0603697,13.22,13.38,13.08,13.37,0.14,1.06,"33,594","4,446",2.27,4.23
2019-12-13,有友食品,0603697,13.17,13.28,13.13,13.23,0.09,0.68,"25,937","3,420",1.14,3.26
2019-12-12,有友食品,0603697,13.25,13.25,13.12,13.14,-0.16,-1.20,"28,434","3,743",0.98,3.58
2019-12-11,有友食品,0603697,13.06,13.58,13.06,13.30,0.25,1.92,"56,193","7,503",3.98,7.07
2019-12-10,有友食品,0603697,12.95,13.09,12.95,13.05,0.03,0.23,"17,659","2,299",1.08,2.22
2019-12-09,有友食品,0603697,13.10,13.14,12.98,13.02,-0.06,-0.46,"21,655","2,825",1.22,2.72
2019-12-06,有友食品,0603697,13.03,13.13,12.97,13.08,0.05,0.38,"25,625","3,343",1.23,3.22
2019-12-05,有友食品,0603697,12.96,13.05,12.81,13.03,0.06,0.46,"28,444","3,682",1.85,3.58
2019-12-04,有友食品,0603697,12.86,13.12,12.81,12.97,-0.01,-0.08,"30,612","3,976",2.39,3.85
2019-12-03,有友食品,0603697,12.73,13.05,12.56,12.98,0.20,1.56,"35,241","4,528",3.83,4.43
2019-12-02,有友食品,0603697,12.70,12.93,12.67,12.78,0.03,0.24,"24,570","3,143",2.04,3.09
2019-11-29,有友食品,0603697,12.71,12.77,12.52,12.75,0.01,0.08,"29,094","3,676",1.96,3.66
2019-11-28,有友食品,0603697,13.04,13.06,12.68,12.74,-0.33,-2.52,"39,617","5,080",2.91,4.98
2019-11-27,有友食品,0603697,13.02,13.17,13.02,13.07,-0.04,-0.31,"14,000","1,831",1.14,1.76
2019-11-26,有友食品,0603697,13.13,13.18,13.03,13.11,0.02,0.15,"15,969","2,090",1.15,2.01
2019-11-25,有友食品,0603697,13.42,13.42,13.05,13.09,-0.31,-2.31,"29,232","3,851",2.76,3.68
2019-11-22,有友食品,0603697,13.64,13.74,13.38,13.40,-0.22,-1.62,"23,827","3,221",2.64,3.00
2019-11-21,有友食品,0603697,13.65,13.79,13.50,13.62,-0.09,-0.66,"15,784","2,148",2.12,1.99
2019-11-20,有友食品,0603697,13.80,13.97,13.61,13.71,-0.06,-0.44,"23,253","3,206",2.61,2.92
2019-11-19,有友食品,0603697,13.56,13.81,13.50,13.77,0.17,1.25,"21,959","3,007",2.28,2.76
2019-11-18,有友食品,0603697,13.52,13.65,13.43,13.60,0.09,0.67,"16,428","2,226",1.63,2.07
2019-11-15,有友食品,0603697,13.91,13.92,13.51,13.51,-0.41,-2.95,"25,170","3,444",2.95,3.17
2019-11-14,有友食品,0603697,14.00,14.06,13.74,13.92,-0.06,-0.43,"25,364","3,521",2.29,3.19
2019-11-13,有友食品,0603697,13.76,14.15,13.66,13.98,0.36,2.64,"46,665","6,511",3.60,5.87
2019-11-12,有友食品,0603697,13.64,13.76,13.34,13.62,-0.04,-0.29,"29,958","4,060",3.07,3.77
2019-11-11,有友食品,0603697,14.25,14.25,13.63,13.66,-0.78,-5.40,"51,075","7,110",4.29,6.42
2019-11-08,有友食品,0603697,14.80,14.85,14.40,14.44,-0.36,-2.43,"42,838","6,262",3.04,5.39
2019-11-07,有友食品,0603697,14.79,14.82,14.64,14.80,0.06,0.41,"20,360","2,997",1.22,2.56
2019-11-06,有友食品,0603697,14.85,14.90,14.63,14.74,-0.08,-0.54,"28,260","4,168",1.82,3.55
2019-11-05,有友食品,0603697,14.77,15.05,14.62,14.82,0.05,0.34,"49,333","7,322",2.91,6.21
2019-11-04,有友食品,0603697,14.43,14.82,14.37,14.77,0.37,2.57,"45,904","6,714",3.13,5.77
2019-11-01,有友食品,0603697,14.27,14.48,14.20,14.40,0.19,1.34,"23,791","3,416",1.97,2.99
2019-10-31,有友食品,0603697,14.58,14.58,14.20,14.21,-0.31,-2.14,"35,676","5,124",2.62,4.49
2019-10-30,有友食品,0603697,14.58,14.74,14.50,14.52,-0.29,-1.96,"37,252","5,431",1.62,4.69
2019-10-29,有友食品,0603697,14.70,15.14,14.61,14.81,0.38,2.63,"91,908","13,702",3.67,11.56
2019-10-28,有友食品,0603697,14.28,14.47,14.12,14.43,0.09,0.63,"36,450","5,216",2.44,4.58
2019-10-25,有友食品,0603697,14.41,14.46,14.11,14.34,-0.08,-0.55,"41,347","5,900",2.43,5.20
2019-10-24,有友食品,0603697,14.61,14.66,14.34,14.42,-0.20,-1.37,"33,637","4,877",2.19,4.23
2019-10-23,有友食品,0603697,14.71,14.87,14.60,14.62,-0.15,-1.02,"30,769","4,529",1.83,3.87
2019-10-22,有友食品,0603697,14.70,14.87,14.59,14.77,-0.02,-0.14,"38,294","5,633",1.89,4.82
2019-10-21,有友食品,0603697,15.18,15.18,14.50,14.79,-0.58,-3.77,"64,451","9,464",4.42,8.11
2019-10-18,有友食品,0603697,14.94,15.80,14.94,15.37,0.44,2.95,"103,338","16,018",5.76,13.00
2019-10-17,有友食品,0603697,15.09,15.19,14.91,14.93,-0.20,-1.32,"34,813","5,230",1.85,4.38
2019-10-16,有友食品,0603697,15.15,15.35,15.08,15.13,-0.01,-0.07,"33,375","5,076",1.78,4.20
2019-10-15,有友食品,0603697,15.17,15.30,15.06,15.14,-0.11,-0.72,"30,245","4,584",1.57,3.80
2019-10-14,有友食品,0603697,15.00,15.38,14.97,15.25,0.28,1.87,"46,329","7,040",2.74,5.83
2019-10-11,有友食品,0603697,15.09,15.12,14.76,14.97,-0.11,-0.73,"42,033","6,284",2.39,5.29
2019-10-10,有友食品,0603697,14.83,15.12,14.81,15.08,0.17,1.14,"39,759","5,961",2.08,5.00
2019-10-09,有友食品,0603697,14.73,14.94,14.52,14.91,0.10,0.68,"40,908","6,024",2.84,5.15
2019-10-08,有友食品,0603697,15.32,15.45,14.73,14.81,-0.46,-3.01,"59,487","8,950",4.72,7.48
2019-09-30,有友食品,0603697,15.65,15.85,15.25,15.27,-0.40,-2.55,"51,770","8,018",3.83,6.51
2019-09-27,有友食品,0603697,15.68,16.05,15.20,15.67,0.00,0.00,"65,270","10,248",5.42,8.21
2019-09-26,有友食品,0603697,16.50,16.71,15.50,15.67,-1.13,-6.73,"126,409","20,290",7.20,15.90
2019-09-25,有友食品,0603697,16.12,17.20,16.00,16.80,0.70,4.35,"150,388","25,051",7.45,18.92
2019-09-24,有友食品,0603697,16.59,16.73,16.28,16.28,-0.26,-1.57,"81,084","13,366",2.72,10.20
2019-09-23,有友食品,0603697,16.78,17.05,16.42,16.54,-0.40,-2.36,"97,118","16,196",3.72,12.22
2019-09-20,有友食品,0603697,17.00,17.66,16.65,16.94,-0.09,-0.53,"160,621","27,596",5.93,20.20
2019-09-19,有友食品,0603697,16.65,17.10,16.40,17.03,0.39,2.34,"165,206","27,769",4.21,20.78
2019-09-18,有友食品,0603697,15.78,16.96,15.70,16.64,0.86,5.45,"184,852","30,548",7.98,23.25
2019-09-17,有友食品,0603697,16.20,16.22,15.70,15.78,-0.54,-3.31,"74,014","11,789",3.19,9.31
2019-09-16,有友食品,0603697,16.45,16.45,16.22,16.32,-0.13,-0.79,"84,142","13,740",1.40,10.58
2019-09-12,有友食品,0603697,16.00,16.48,15.73,16.45,0.53,3.33,"136,192","22,043",4.71,17.13
2019-09-11,有友食品,0603697,16.08,16.31,15.91,15.92,-0.12,-0.75,"81,486","13,132",2.49,10.25
2019-09-10,有友食品,0603697,15.82,16.09,15.69,16.04,0.19,1.20,"77,161","12,297",2.52,9.71
