日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,梅花生物,0600873,5.69,5.71,5.66,5.67,-0.04,-0.70,"242,327","13,779",0.88,0.78
2017-06-29,梅花生物,0600873,5.67,5.75,5.66,5.71,0.00,0.00,"403,288","22,967",1.58,1.30
2017-06-28,梅花生物,0600873,5.68,5.80,5.68,5.71,0.09,1.60,"869,841","49,862",2.14,2.80
2017-06-27,梅花生物,0600873,5.62,5.66,5.59,5.62,0.00,0.00,"265,726","14,930",1.25,0.85
2017-06-26,梅花生物,0600873,5.53,5.69,5.51,5.62,0.08,1.44,"385,991","21,589",3.25,1.24
2017-06-23,梅花生物,0600873,5.55,5.57,5.44,5.54,-0.02,-0.36,"336,650","18,542",2.34,1.08
2017-06-22,梅花生物,0600873,5.57,5.60,5.55,5.56,-0.02,-0.36,"288,955","16,112",0.90,0.93
2017-06-21,梅花生物,0600873,5.58,5.60,5.54,5.58,0.02,0.36,"260,512","14,510",1.08,0.84
2017-06-20,梅花生物,0600873,5.60,5.61,5.55,5.56,-0.03,-0.54,"420,012","23,446",1.07,1.35
2017-06-19,梅花生物,0600873,5.59,5.61,5.57,5.59,0.00,0.00,"246,863","13,789",0.72,0.79
2017-06-16,梅花生物,0600873,5.64,5.64,5.58,5.59,-0.05,-0.89,"255,083","14,291",1.06,0.82
2017-06-15,梅花生物,0600873,5.58,5.67,5.57,5.64,0.04,0.71,"374,525","21,084",1.79,1.20
2017-06-14,梅花生物,0600873,5.58,5.62,5.55,5.60,0.01,0.18,"286,932","16,030",1.25,0.92
2017-06-13,梅花生物,0600873,5.52,5.61,5.50,5.59,0.07,1.27,"414,222","23,044",1.99,1.33
2017-06-12,梅花生物,0600873,5.52,5.60,5.50,5.52,-0.01,-0.18,"319,910","17,742",1.81,1.03
2017-06-09,梅花生物,0600873,5.61,5.62,5.52,5.53,-0.07,-1.25,"440,360","24,456",1.79,1.42
2017-06-08,梅花生物,0600873,5.62,5.63,5.58,5.60,-0.03,-0.53,"353,852","19,848",0.89,1.14
2017-06-07,梅花生物,0600873,5.56,5.64,5.54,5.63,0.06,1.08,"398,942","22,352",1.80,1.28
2017-06-06,梅花生物,0600873,5.54,5.57,5.51,5.57,0.02,0.36,"268,949","14,893",1.08,0.87
2017-06-05,梅花生物,0600873,5.52,5.58,5.50,5.55,0.03,0.54,"277,682","15,414",1.45,0.89
2017-06-02,梅花生物,0600873,5.57,5.59,5.43,5.52,-0.07,-1.25,"380,072","20,944",2.86,1.22
2017-06-01,梅花生物,0600873,5.55,5.61,5.51,5.59,0.02,0.36,"475,315","26,448",1.80,1.53
2017-05-31,梅花生物,0600873,5.51,5.59,5.47,5.57,0.06,1.09,"591,471","32,768",2.18,1.90
2017-05-26,梅花生物,0600873,5.70,5.70,5.51,5.51,-0.61,-9.97,"1,547,029","85,854",3.10,4.98
2017-05-25,梅花生物,0600873,6.07,6.15,5.94,6.12,0.03,0.49,"518,811","31,420",3.45,1.67
2017-05-24,梅花生物,0600873,6.10,6.12,6.00,6.09,-0.05,-0.81,"375,407","22,705",1.95,1.21
2017-05-23,梅花生物,0600873,6.18,6.19,6.03,6.14,-0.09,-1.44,"442,975","27,048",2.57,1.43
2017-05-22,梅花生物,0600873,6.28,6.31,6.11,6.23,-0.07,-1.11,"374,040","23,121",3.17,1.20
2017-05-19,梅花生物,0600873,6.29,6.42,6.25,6.30,-0.03,-0.47,"244,072","15,406",2.69,0.79
2017-05-18,梅花生物,0600873,6.37,6.42,6.27,6.33,-0.10,-1.56,"198,839","12,624",2.33,0.64
2017-05-17,梅花生物,0600873,6.40,6.53,6.40,6.43,0.00,0.00,"213,759","13,810",2.02,0.69
2017-05-16,梅花生物,0600873,6.31,6.45,6.21,6.43,0.11,1.74,"245,268","15,502",3.80,0.79
2017-05-15,梅花生物,0600873,6.29,6.37,6.22,6.32,0.03,0.48,"166,686","10,530",2.38,0.54
2017-05-12,梅花生物,0600873,6.34,6.37,6.28,6.29,-0.09,-1.41,"164,709","10,404",1.41,0.53
2017-05-11,梅花生物,0600873,6.29,6.43,6.09,6.38,0.10,1.59,"521,521","32,605",5.41,1.68
2017-05-10,梅花生物,0600873,6.70,6.72,6.28,6.28,-0.43,-6.41,"398,334","25,823",6.56,1.28
2017-05-09,梅花生物,0600873,6.71,6.74,6.64,6.71,-0.03,-0.45,"182,571","12,212",1.48,0.59
2017-05-08,梅花生物,0600873,6.58,6.75,6.54,6.74,0.09,1.35,"349,051","23,193",3.16,1.12
2017-05-05,梅花生物,0600873,6.59,6.66,6.47,6.65,0.01,0.15,"318,419","20,951",2.86,1.02
2017-05-04,梅花生物,0600873,6.63,6.71,6.58,6.64,0.00,0.00,"177,397","11,801",1.96,0.57
2017-05-03,梅花生物,0600873,6.67,6.73,6.59,6.64,-0.03,-0.45,"216,291","14,388",2.10,0.70
2017-05-02,梅花生物,0600873,6.65,6.68,6.58,6.67,-0.01,-0.15,"169,191","11,226",1.50,0.54
2017-04-28,梅花生物,0600873,6.68,6.74,6.64,6.68,0.00,0.00,"224,826","15,067",1.50,0.72
2017-04-27,梅花生物,0600873,6.59,6.71,6.42,6.68,0.06,0.91,"341,948","22,440",4.38,1.10
2017-04-26,梅花生物,0600873,6.67,6.73,6.57,6.62,-0.06,-0.90,"289,303","19,274",2.40,0.93
2017-04-25,梅花生物,0600873,6.72,6.76,6.64,6.68,-0.08,-1.18,"264,675","17,713",1.78,0.85
2017-04-24,梅花生物,0600873,6.71,6.78,6.57,6.76,-0.02,-0.30,"378,992","25,237",3.10,1.22
2017-04-21,梅花生物,0600873,6.73,6.80,6.67,6.78,0.05,0.74,"316,607","21,326",1.93,1.02
2017-04-20,梅花生物,0600873,6.52,6.85,6.52,6.73,0.31,4.83,"610,106","40,831",5.14,1.96
2017-04-19,梅花生物,0600873,6.54,6.59,6.30,6.42,-0.18,-2.73,"449,618","28,834",4.39,1.45
2017-04-18,梅花生物,0600873,6.63,6.66,6.60,6.60,-0.03,-0.45,"265,154","17,574",0.91,0.85
2017-04-17,梅花生物,0600873,6.56,6.67,6.52,6.63,0.03,0.45,"301,440","19,953",2.27,0.97
2017-04-14,梅花生物,0600873,6.76,6.78,6.57,6.60,-0.17,-2.51,"372,198","24,762",3.10,1.20
2017-04-13,梅花生物,0600873,6.79,6.82,6.73,6.77,-0.01,-0.15,"222,699","15,086",1.33,0.72
2017-04-12,梅花生物,0600873,6.80,6.85,6.72,6.78,-0.03,-0.44,"300,874","20,454",1.91,0.97
2017-04-11,梅花生物,0600873,6.97,6.97,6.70,6.81,-0.22,-3.13,"761,879","51,824",3.84,2.45
2017-04-10,梅花生物,0600873,7.42,7.44,7.30,7.33,-0.11,-1.48,"441,468","32,442",1.88,1.42
2017-04-07,梅花生物,0600873,7.37,7.49,7.29,7.44,0.04,0.54,"552,501","40,703",2.70,1.78
2017-04-06,梅花生物,0600873,7.55,7.57,7.36,7.40,-0.23,-3.01,"750,039","55,717",2.75,2.41
2017-04-05,梅花生物,0600873,7.42,7.75,7.32,7.63,0.31,4.24,"925,111","69,474",5.87,2.98
2017-03-31,梅花生物,0600873,7.40,7.40,7.27,7.32,-0.10,-1.35,"299,374","21,922",1.75,0.96
2017-03-30,梅花生物,0600873,7.36,7.46,7.31,7.42,0.11,1.50,"496,787","36,765",2.05,1.60
2017-03-29,梅花生物,0600873,7.42,7.45,7.27,7.31,-0.06,-0.81,"341,369","25,158",2.44,1.10
2017-03-28,梅花生物,0600873,7.32,7.44,7.23,7.37,0.04,0.55,"365,137","26,824",2.86,1.17
2017-03-27,梅花生物,0600873,7.46,7.51,7.29,7.33,-0.18,-2.40,"453,001","33,412",2.93,1.46
2017-03-24,梅花生物,0600873,7.62,7.68,7.35,7.51,-0.10,-1.31,"609,942","45,751",4.34,1.96
2017-03-23,梅花生物,0600873,7.40,7.75,7.39,7.61,0.22,2.98,"857,090","65,018",4.87,2.76
2017-03-22,梅花生物,0600873,7.35,7.43,7.21,7.39,-0.03,-0.40,"459,469","33,661",2.97,1.48
2017-03-21,梅花生物,0600873,7.48,7.50,7.33,7.42,-0.03,-0.40,"435,976","32,215",2.28,1.40
2017-03-20,梅花生物,0600873,7.37,7.52,7.32,7.45,0.07,0.95,"659,461","49,039",2.71,2.12
2017-03-17,梅花生物,0600873,7.36,7.55,7.32,7.38,0.01,0.14,"941,597","69,950",3.12,3.03
2017-03-16,梅花生物,0600873,7.28,7.55,7.28,7.37,0.19,2.65,"1,622,591","120,056",3.76,5.22
2017-03-15,梅花生物,0600873,6.99,7.20,6.97,7.18,0.17,2.43,"890,113","63,354",3.28,2.86
2017-03-14,梅花生物,0600873,6.86,7.06,6.84,7.01,0.14,2.04,"692,849","48,500",3.20,2.23
2017-03-13,梅花生物,0600873,6.77,6.87,6.75,6.87,0.09,1.33,"196,563","13,419",1.77,0.63
2017-03-10,梅花生物,0600873,6.81,6.84,6.77,6.78,-0.04,-0.59,"165,955","11,302",1.03,0.53
2017-03-09,梅花生物,0600873,6.81,6.85,6.79,6.82,0.00,0.00,"222,653","15,198",0.88,0.72
2017-03-08,梅花生物,0600873,6.85,6.87,6.80,6.82,-0.02,-0.29,"217,276","14,850",1.02,0.70
2017-03-07,梅花生物,0600873,6.84,6.88,6.80,6.84,0.01,0.15,"223,502","15,271",1.17,0.72
2017-03-06,梅花生物,0600873,6.79,6.84,6.78,6.83,0.03,0.44,"186,788","12,742",0.88,0.60
2017-03-03,梅花生物,0600873,6.81,6.83,6.78,6.80,-0.04,-0.58,"244,226","16,618",0.73,0.79
2017-03-02,梅花生物,0600873,6.92,6.93,6.81,6.84,-0.07,-1.01,"271,637","18,650",1.74,0.87
2017-03-01,梅花生物,0600873,6.95,6.95,6.88,6.91,-0.03,-0.43,"303,717","20,997",1.01,0.98
2017-02-28,梅花生物,0600873,7.00,7.02,6.91,6.94,-0.03,-0.43,"289,547","20,137",1.58,0.93
2017-02-27,梅花生物,0600873,6.96,6.98,6.93,6.97,0.01,0.14,"207,022","14,386",0.72,0.67
2017-02-24,梅花生物,0600873,7.06,7.07,6.92,6.96,-0.12,-1.69,"452,657","31,572",2.12,1.46
2017-02-23,梅花生物,0600873,7.00,7.10,6.94,7.08,0.09,1.29,"431,751","30,286",2.29,1.39
2017-02-22,梅花生物,0600873,7.04,7.05,6.95,6.99,-0.04,-0.57,"282,875","19,796",1.42,0.91
2017-02-21,梅花生物,0600873,7.07,7.08,6.97,7.03,-0.02,-0.28,"440,104","30,850",1.56,1.42
2017-02-20,梅花生物,0600873,6.95,7.06,6.92,7.05,0.11,1.59,"406,228","28,403",2.02,1.31
2017-02-17,梅花生物,0600873,6.93,7.07,6.90,6.94,0.01,0.14,"372,467","25,967",2.45,1.20
2017-02-16,梅花生物,0600873,6.90,6.94,6.87,6.93,0.03,0.43,"213,182","14,744",1.01,0.69
2017-02-15,梅花生物,0600873,6.99,7.03,6.88,6.90,-0.09,-1.29,"304,159","21,150",2.15,0.98
2017-02-14,梅花生物,0600873,7.07,7.09,6.97,6.99,-0.10,-1.41,"360,175","25,253",1.69,1.16
2017-02-13,梅花生物,0600873,7.04,7.10,7.01,7.09,0.05,0.71,"319,211","22,549",1.28,1.03
2017-02-10,梅花生物,0600873,7.01,7.14,6.98,7.04,0.03,0.43,"502,599","35,508",2.28,1.62
2017-02-09,梅花生物,0600873,7.00,7.06,6.97,7.01,0.01,0.14,"464,454","32,559",1.29,1.49
2017-02-08,梅花生物,0600873,7.02,7.08,6.95,7.00,0.02,0.29,"557,516","39,077",1.86,1.79
2017-02-07,梅花生物,0600873,6.85,7.00,6.79,6.98,0.14,2.05,"399,858","27,519",3.07,1.29
2017-02-06,梅花生物,0600873,6.90,6.95,6.82,6.84,0.04,0.59,"428,986","29,534",1.91,1.38
2017-02-03,梅花生物,0600873,6.82,6.83,6.76,6.80,-0.01,-0.15,"144,619","9,823",1.03,0.47
2017-01-26,梅花生物,0600873,6.88,6.93,6.77,6.81,-0.06,-0.87,"311,844","21,296",2.33,1.00
2017-01-25,梅花生物,0600873,6.86,6.94,6.86,6.87,-0.01,-0.15,"208,255","14,362",1.16,0.67
2017-01-24,梅花生物,0600873,6.87,6.97,6.86,6.88,-0.04,-0.58,"381,762","26,323",1.59,1.23
2017-01-23,梅花生物,0600873,6.82,6.94,6.82,6.92,0.04,0.58,"512,409","35,273",1.74,1.65
2017-01-20,梅花生物,0600873,6.71,6.97,6.71,6.88,0.13,1.93,"535,702","36,732",3.85,1.72
2017-01-19,梅花生物,0600873,6.75,6.86,6.68,6.75,-0.03,-0.44,"333,860","22,656",2.65,1.07
2017-01-18,梅花生物,0600873,6.72,6.79,6.65,6.78,0.04,0.59,"237,676","15,990",2.08,0.76
2017-01-17,梅花生物,0600873,6.73,6.78,6.59,6.74,-0.06,-0.88,"281,644","18,849",2.79,0.91
2017-01-16,梅花生物,0600873,6.66,6.82,6.45,6.80,0.14,2.10,"484,211","32,073",5.56,1.56
2017-01-13,梅花生物,0600873,6.62,6.68,6.62,6.66,0.02,0.30,"179,427","11,936",0.90,0.58
2017-01-12,梅花生物,0600873,6.67,6.70,6.61,6.64,0.00,0.00,"179,243","11,933",1.36,0.58
2017-01-11,梅花生物,0600873,6.71,6.76,6.63,6.64,-0.07,-1.04,"228,800","15,292",1.94,0.74
2017-01-10,梅花生物,0600873,6.87,6.87,6.71,6.71,-0.16,-2.33,"278,423","18,863",2.33,0.90
2017-01-09,梅花生物,0600873,6.76,6.93,6.75,6.87,0.08,1.18,"361,045","24,767",2.65,1.16
2017-01-06,梅花生物,0600873,6.74,6.82,6.66,6.79,0.05,0.74,"369,632","24,966",2.37,1.19
2017-01-05,梅花生物,0600873,6.73,6.83,6.71,6.74,-0.02,-0.30,"273,695","18,499",1.78,0.88
2017-01-04,梅花生物,0600873,6.77,6.87,6.72,6.76,0.16,2.42,"668,350","45,318",2.27,2.15
