日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2019-06-28,蔚蓝生物,0603739,28.01,28.01,26.51,26.84,-1.21,-4.31,"43,019","11,687",5.35,11.13
2019-06-27,蔚蓝生物,0603739,27.79,28.39,27.55,28.05,0.25,0.90,"46,838","13,082",3.02,12.11
2019-06-26,蔚蓝生物,0603739,27.27,28.25,27.14,27.80,0.00,0.00,"39,089","10,880",3.99,10.11
2019-06-25,蔚蓝生物,0603739,28.62,28.77,27.67,27.80,-1.30,-4.47,"61,281","17,237",3.78,15.85
2019-06-24,蔚蓝生物,0603739,28.30,29.50,27.24,29.10,0.97,3.45,"106,042","30,158",8.03,27.42
2019-06-21,蔚蓝生物,0603739,27.90,28.50,27.86,28.13,0.11,0.39,"59,589","16,779",2.28,15.41
2019-06-20,蔚蓝生物,0603739,28.20,28.44,27.57,28.02,-0.84,-2.91,"75,383","21,083",3.01,19.50
2019-06-19,蔚蓝生物,0603739,28.09,29.69,27.31,28.86,1.37,4.98,"114,553","32,397",8.66,29.63
2019-06-18,蔚蓝生物,0603739,27.13,28.19,26.99,27.49,0.29,1.07,"61,564","16,970",4.41,15.92
2019-06-17,蔚蓝生物,0603739,27.27,27.90,26.69,27.20,-0.05,-0.18,"60,562","16,535",4.44,15.66
2019-06-14,蔚蓝生物,0603739,29.21,29.76,26.81,27.25,-2.28,-7.72,"103,282","29,072",9.99,26.71
2019-06-13,蔚蓝生物,0603739,30.80,30.80,29.00,29.53,-1.27,-4.12,"93,279","27,587",5.84,24.12
2019-06-12,蔚蓝生物,0603739,29.96,32.50,29.95,30.80,0.36,1.18,"146,659","45,924",8.38,37.93
2019-06-11,蔚蓝生物,0603739,29.15,30.88,28.76,30.44,0.75,2.53,"127,305","38,203",7.14,32.92
2019-06-10,蔚蓝生物,0603739,29.18,30.45,28.12,29.69,0.59,2.03,"119,123","34,715",8.01,30.81
2019-06-06,蔚蓝生物,0603739,29.60,30.96,28.20,29.10,-1.02,-3.39,"111,170","32,870",9.16,28.75
2019-06-05,蔚蓝生物,0603739,30.67,31.98,29.33,30.12,-1.36,-4.32,"150,019","45,789",8.42,38.80
2019-06-04,蔚蓝生物,0603739,32.50,34.54,31.48,31.48,-3.50,-10.01,"195,315","62,309",8.75,50.51
2019-06-03,蔚蓝生物,0603739,42.76,42.76,34.98,34.98,-3.89,-10.01,"221,144","86,949",20.02,57.19
2019-05-31,蔚蓝生物,0603739,37.98,38.87,37.51,38.87,3.53,9.99,"81,530","31,417",3.85,21.09
2019-05-30,蔚蓝生物,0603739,34.00,35.34,32.15,35.34,3.21,9.99,"105,097","36,181",9.93,27.18
2019-05-29,蔚蓝生物,0603739,30.53,32.13,30.01,32.13,2.92,10.00,"155,271","48,934",7.26,40.16
2019-05-28,蔚蓝生物,0603739,26.15,29.41,26.10,29.41,2.67,9.99,"141,113","39,679",12.38,36.49
2019-05-27,蔚蓝生物,0603739,27.61,27.61,25.88,26.74,1.64,6.53,"139,437","37,793",6.89,36.06
2019-05-24,蔚蓝生物,0603739,22.58,25.10,22.58,25.10,2.28,9.99,"44,192","10,666",11.04,11.43
2019-05-23,蔚蓝生物,0603739,23.05,23.81,22.68,22.82,-0.38,-1.64,"24,182","5,630",4.87,6.25
2019-05-22,蔚蓝生物,0603739,23.70,24.10,22.96,23.20,-0.45,-1.90,"22,240","5,220",4.82,5.75
2019-05-21,蔚蓝生物,0603739,22.95,23.88,22.95,23.65,0.74,3.23,"27,303","6,427",4.06,7.06
