日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,鄂资Ｂ股,0900936,1.00,1.00,0.99,0.99,0.00,0.30,"2,279",23,1.41,0.05
2017-03-30,鄂资Ｂ股,0900936,0.99,1.00,0.99,0.99,-0.00,-0.30,"3,013",30,1.11,0.07
2017-03-29,鄂资Ｂ股,0900936,1.00,1.00,0.99,0.99,-0.01,-0.60,"3,567",36,0.90,0.08
2017-03-28,鄂资Ｂ股,0900936,1.00,1.01,1.00,1.00,-0.01,-0.50,"1,415",14,1.39,0.03
2017-03-27,鄂资Ｂ股,0900936,1.01,1.02,1.00,1.01,-0.01,-0.79,"3,070",31,1.97,0.07
2017-03-24,鄂资Ｂ股,0900936,1.01,1.02,1.00,1.01,0.01,0.70,"4,164",42,1.99,0.10
2017-03-23,鄂资Ｂ股,0900936,1.03,1.04,0.99,1.01,-0.02,-2.24,"7,954",81,4.28,0.19
2017-03-22,鄂资Ｂ股,0900936,1.04,1.04,1.03,1.03,-0.02,-1.53,"4,572",47,1.72,0.11
2017-03-21,鄂资Ｂ股,0900936,1.05,1.05,1.04,1.05,0.00,0.00,"4,024",42,1.15,0.10
2017-03-20,鄂资Ｂ股,0900936,1.05,1.05,1.04,1.05,0.00,0.38,"6,314",66,0.96,0.15
2017-03-17,鄂资Ｂ股,0900936,1.03,1.04,1.03,1.04,0.01,1.17,"7,218",75,1.55,0.17
2017-03-16,鄂资Ｂ股,0900936,1.03,1.03,1.03,1.03,0.00,0.19,"1,406",14,0.49,0.03
2017-03-15,鄂资Ｂ股,0900936,1.01,1.03,1.01,1.03,0.01,0.69,"1,992",20,1.86,0.05
2017-03-14,鄂资Ｂ股,0900936,1.03,1.04,1.02,1.02,-0.01,-0.78,"3,605",37,1.65,0.09
2017-03-13,鄂资Ｂ股,0900936,1.02,1.03,1.02,1.03,-0.00,-0.10,"1,276",13,1.07,0.03
2017-03-10,鄂资Ｂ股,0900936,1.03,1.03,1.02,1.03,-0.00,-0.10,"2,085",21,1.26,0.05
2017-03-09,鄂资Ｂ股,0900936,1.03,1.03,1.02,1.03,-0.01,-0.68,"2,798",29,1.25,0.07
2017-03-08,鄂资Ｂ股,0900936,1.04,1.05,1.03,1.04,-0.00,-0.19,"1,755",18,1.64,0.04
2017-03-07,鄂资Ｂ股,0900936,1.03,1.04,1.03,1.04,0.01,0.97,"2,768",29,1.17,0.07
2017-03-06,鄂资Ｂ股,0900936,1.03,1.04,1.03,1.03,0.00,0.19,"1,681",17,0.97,0.04
2017-03-03,鄂资Ｂ股,0900936,1.03,1.04,1.03,1.03,-0.00,-0.29,"2,407",25,1.17,0.06
2017-03-02,鄂资Ｂ股,0900936,1.04,1.05,1.03,1.03,-0.02,-1.44,"3,928",41,1.82,0.09
2017-03-01,鄂资Ｂ股,0900936,1.03,1.05,1.03,1.05,0.01,1.06,"6,932",72,2.22,0.17
2017-02-28,鄂资Ｂ股,0900936,1.02,1.04,1.02,1.03,0.01,0.88,"2,879",30,1.07,0.07
2017-02-27,鄂资Ｂ股,0900936,1.04,1.04,1.02,1.03,-0.02,-1.54,"2,977",31,1.73,0.07
2017-02-24,鄂资Ｂ股,0900936,1.05,1.05,1.03,1.04,-0.00,-0.38,"5,069",53,1.34,0.12
2017-02-23,鄂资Ｂ股,0900936,1.04,1.05,1.04,1.05,0.01,0.48,"6,082",63,1.15,0.14
2017-02-22,鄂资Ｂ股,0900936,1.03,1.04,1.03,1.04,0.00,0.00,"3,966",41,1.15,0.09
2017-02-21,鄂资Ｂ股,0900936,1.03,1.04,1.03,1.04,0.00,0.00,"5,775",60,1.06,0.14
2017-02-20,鄂资Ｂ股,0900936,1.03,1.04,1.02,1.04,0.01,1.07,"4,174",43,1.85,0.10
2017-02-17,鄂资Ｂ股,0900936,1.04,1.04,1.03,1.03,-0.01,-0.87,"4,349",45,1.25,0.10
2017-02-16,鄂资Ｂ股,0900936,1.03,1.04,1.02,1.04,0.01,1.07,"7,461",77,1.85,0.18
2017-02-15,鄂资Ｂ股,0900936,1.03,1.04,1.03,1.03,-0.00,-0.29,"6,310",65,1.65,0.15
2017-02-14,鄂资Ｂ股,0900936,1.03,1.03,1.02,1.03,-0.00,-0.10,"3,104",32,0.97,0.07
2017-02-13,鄂资Ｂ股,0900936,1.02,1.03,1.02,1.03,0.01,0.49,"4,564",47,1.36,0.11
2017-02-10,鄂资Ｂ股,0900936,1.01,1.03,1.01,1.03,0.02,1.58,"8,922",91,2.48,0.21
2017-02-09,鄂资Ｂ股,0900936,1.01,1.01,1.00,1.01,0.01,0.60,"4,659",47,1.20,0.11
2017-02-08,鄂资Ｂ股,0900936,1.00,1.01,0.99,1.00,0.01,0.50,"2,405",24,1.70,0.06
2017-02-07,鄂资Ｂ股,0900936,1.00,1.00,0.99,1.00,-0.00,-0.40,"1,322",13,1.00,0.03
2017-02-06,鄂资Ｂ股,0900936,0.99,1.00,0.99,1.00,0.01,0.80,"1,551",15,1.51,0.04
2017-02-03,鄂资Ｂ股,0900936,1.00,1.00,0.99,1.00,-0.01,-0.90,"3,035",30,1.59,0.07
2017-01-26,鄂资Ｂ股,0900936,1.00,1.01,1.00,1.00,0.01,0.70,"1,213",12,0.80,0.03
2017-01-25,鄂资Ｂ股,0900936,1.00,1.01,1.00,1.00,-0.00,-0.40,407,4,1.00,0.01
2017-01-24,鄂资Ｂ股,0900936,0.99,1.01,0.99,1.00,0.01,0.60,"2,420",24,1.51,0.06
2017-01-23,鄂资Ｂ股,0900936,1.00,1.01,0.99,1.00,0.01,1.02,"2,487",25,2.03,0.06
2017-01-20,鄂资Ｂ股,0900936,0.98,0.99,0.98,0.99,0.01,0.92,"1,111",11,1.02,0.03
2017-01-19,鄂资Ｂ股,0900936,0.98,0.98,0.97,0.98,0.00,0.00,990,10,1.64,0.02
2017-01-18,鄂资Ｂ股,0900936,0.98,0.98,0.97,0.98,0.00,0.10,948,9,0.72,0.02
2017-01-17,鄂资Ｂ股,0900936,0.98,0.98,0.96,0.98,0.00,0.31,"1,294",13,2.37,0.03
2017-01-16,鄂资Ｂ股,0900936,0.98,1.00,0.95,0.97,-0.02,-2.21,"4,999",49,4.23,0.12
2017-01-13,鄂资Ｂ股,0900936,1.00,1.00,0.99,0.99,-0.00,-0.20,682,7,1.51,0.02
2017-01-12,鄂资Ｂ股,0900936,0.99,1.00,0.99,1.00,-0.00,-0.40,"2,535",25,1.50,0.06
2017-01-11,鄂资Ｂ股,0900936,1.00,1.00,1.00,1.00,0.00,0.30,"2,202",22,0.80,0.05
2017-01-10,鄂资Ｂ股,0900936,1.00,1.00,0.99,1.00,0.00,0.30,877,9,1.01,0.02
2017-01-09,鄂资Ｂ股,0900936,0.99,1.00,0.98,0.99,0.00,0.30,"1,045",10,1.41,0.02
2017-01-06,鄂资Ｂ股,0900936,1.00,1.00,0.99,0.99,-0.01,-0.80,"1,028",10,1.00,0.02
2017-01-05,鄂资Ｂ股,0900936,1.00,1.01,0.99,1.00,0.00,0.30,"2,878",29,1.41,0.07
2017-01-04,鄂资Ｂ股,0900936,0.98,1.00,0.98,1.00,0.01,1.01,"2,452",24,1.83,0.06
2017-01-03,鄂资Ｂ股,0900936,0.99,0.99,0.98,0.99,0.01,0.51,"2,465",24,1.33,0.06
2017-09-29,鄂资Ｂ股,0900936,1.09,1.10,1.09,1.10,0.00,0.37,"10,188",111,1.10,0.24
2017-09-28,鄂资Ｂ股,0900936,1.09,1.10,1.09,1.09,-0.00,-0.09,"3,520",38,1.00,0.08
2017-09-27,鄂资Ｂ股,0900936,1.09,1.10,1.08,1.10,0.01,1.01,"9,543",104,1.29,0.23
2017-09-26,鄂资Ｂ股,0900936,1.07,1.09,1.07,1.08,0.02,1.40,"6,930",75,1.40,0.17
2017-09-25,鄂资Ｂ股,0900936,1.07,1.08,1.07,1.07,-0.01,-0.56,"11,510",123,1.21,0.27
2017-09-22,鄂资Ｂ股,0900936,1.08,1.09,1.07,1.08,-0.01,-0.83,"8,416",91,2.03,0.20
2017-09-21,鄂资Ｂ股,0900936,1.10,1.10,1.08,1.08,-0.02,-1.54,"11,474",125,1.73,0.27
2017-09-20,鄂资Ｂ股,0900936,1.10,1.11,1.08,1.10,0.01,0.64,"10,094",111,2.29,0.24
2017-09-19,鄂资Ｂ股,0900936,1.09,1.11,1.09,1.09,0.00,0.37,"8,543",94,1.56,0.20
2017-09-18,鄂资Ｂ股,0900936,1.08,1.10,1.08,1.09,0.00,0.18,"7,437",81,2.02,0.18
2017-09-15,鄂资Ｂ股,0900936,1.11,1.11,1.08,1.09,-0.03,-2.33,"19,403",212,2.69,0.46
2017-09-14,鄂资Ｂ股,0900936,1.14,1.15,1.11,1.11,-0.03,-2.62,"28,641",322,3.23,0.68
2017-09-13,鄂资Ｂ股,0900936,1.14,1.15,1.13,1.14,-0.00,-0.09,"6,705",77,1.66,0.16
2017-09-12,鄂资Ｂ股,0900936,1.14,1.17,1.14,1.15,0.01,0.44,"19,697",227,2.19,0.47
2017-09-11,鄂资Ｂ股,0900936,1.13,1.14,1.12,1.14,0.01,0.44,"12,849",146,2.03,0.31
2017-09-08,鄂资Ｂ股,0900936,1.11,1.15,1.10,1.14,0.04,3.65,"25,816",291,4.66,0.61
2017-09-07,鄂资Ｂ股,0900936,1.11,1.11,1.08,1.10,-0.01,-0.82,"19,866",218,2.63,0.47
2017-09-06,鄂资Ｂ股,0900936,1.10,1.11,1.09,1.10,0.00,0.00,"9,038",100,1.54,0.22
2017-09-05,鄂资Ｂ股,0900936,1.10,1.11,1.09,1.10,0.01,0.55,"8,560",94,2.00,0.20
